index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
30,airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",bulannya kurang kencang .,"[('bulannya', 'kurang kencang', 'negative')]",airnya lirih .,"[('airnya', 'lirih', 'negative')]",airnya sangat kencang .,"[('airnya', 'sangat kencang', 'positive')]",[A] airnya [O] kurang kencang [S] negative,[A] airnya [O] kurang kencang [S] negative,True
72,"tidak ada fasilitas airy , .","[('fasilitas airy', 'tidak ada', 'negative')]","tidak ada lingkungan , .","[('lingkungan', 'tidak ada', 'negative')]","minim fasilitas airy , .","[('fasilitas airy', 'minim', 'negative')]","ada fasilitas airy , .","[('fasilitas airy', 'ada', 'positive')]",[A] fasilitas airy [O] tidak ada [S] negative,[A] fasilitas airy [O] tidak ada [S] negative,True
75,air kamar mandinnya asin .,"[('air kamar mandinnya', 'asin', 'negative')]",ideologinya asin .,"[('ideologinya', 'asin', 'negative')]",air kamar mandinnya berasa garam .,"[('air kamar mandinnya', 'berasa garam', 'negative')]",air kamar mandinnya oke .,"[('air kamar mandinnya', 'oke', 'positive')]",[A] air kamar mandinnya [O] asin [S] negative,[A] air kamar mandinnya [O] asin [S] negative,True
96,menjadi pengalaman yang sangat berkesan .,"[('pengalaman', 'sangat berkesan', 'positive')]",menjadi gajah yang sangat berkesan .,"[('gajah', 'sangat berkesan', 'positive')]",menjadi pengalaman yang tak terlupakan .,"[('pengalaman', 'tak terlupakan', 'positive')]",menjadi pengalaman yang sangat mengecewakan .,"[('pengalaman', 'sangat mengecewakan', 'negative')]",[A] pengalaman [O] sangat berkesan [S] positive,[A] pengalaman [O] sangat berkesan [S] positive,True
136,parkir mobil agak susah .,"[('parkir mobil', 'agak susah', 'negative')]",pertanian agak susah .,"[('pertanian', 'agak susah', 'negative')]",parkir mobil terbatas .,"[('parkir mobil', 'terbatas', 'negative')]",parkir mobil cukup mudah .,"[('parkir mobil', 'cukup mudah', 'positive')]",[A] parkir mobil [O] agak susah [S] negative,[A] parkir mobil [O] agak susah [S] negative,True
146,"memang tidak ada sarapan , .","[('sarapan', 'tidak ada', 'negative')]","memang tidak ada gelap , .","[('gelap', 'tidak ada', 'negative')]","memang tidak disediakan sarapan , .","[('sarapan', 'tidak disediakan', 'negative')]","memang sangat lengkap sarapan , .","[('sarapan', 'sangat lengkap', 'positive')]",[A] sarapan [O] tidak ada [S] negative,[A] sarapan [O] tidak ada [S] negative,True
153,"saya sudah 4 kali menginap di sini , overall pelayanannya baik .","[('overall pelayanannya', 'baik', 'positive')]","saya sudah 4 kali menginap di sini , konstituen baik .","[('konstituen', 'baik', 'positive')]","saya sudah 4 kali menginap di sini , overall pelayanannya bagus .","[('overall pelayanannya', 'bagus', 'positive')]","saya sudah 4 kali menginap di sini , overall pelayanannya buruk .","[('overall pelayanannya', 'buruk', 'negative')]",[A] overall pelayanannya [O] baik [S] positive,[A] overall pelayanannya [O] baik [S] positive,True
166,tidak ada sabun di dalam kamar .,"[('sabun', 'tidak ada', 'negative')]",tidak ada astronomi di dalam kamar .,"[('astronomi', 'tidak ada', 'negative')]",tidak diberikan sabun di dalam kamar .,"[('sabun', 'tidak diberikan', 'negative')]",ada sabun di dalam kamar .,"[('sabun', 'ada', 'positive')]",[A] sabun [O] tidak ada [S] negative,[A] sabun [O] tidak ada [S] negative,True
178,wifi nya kurang memuaskan : ) .,"[('wifi nya', 'kurang memuaskan', 'negative')]",astronot kurang memuaskan : ) .,"[('astronot', 'kurang memuaskan', 'negative')]",wifi nya buruk : ) .,"[('wifi nya', 'buruk', 'negative')]",wifi nya sangat memuaskan : ) .,"[('wifi nya', 'sangat memuaskan', 'positive')]",[A] wifi nya [O] kurang memuaskan [S] negative,[A] wifi nya [O] kurang memuaskan [S] negative,True
198,kamar sempit .,"[('kamar', 'sempit', 'negative')]",anginnya sempit .,"[('anginnya', 'sempit', 'negative')]",kamar sesak .,"[('kamar', 'sesak', 'negative')]",kamar luas .,"[('kamar', 'luas', 'positive')]",[A] kamar [O] sempit [S] negative,[A] kamar [O] sempit [S] negative,True
230,hot shower tidak berfungsi .,"[('hot shower', 'tidak berfungsi', 'negative')]",alas tidak berfungsi .,"[('alas', 'tidak berfungsi', 'negative')]",hot shower rusak .,"[('hot shower', 'rusak', 'negative')]",hot shower berfungsi dengan baik .,"[('hot shower', 'berfungsi dengan baik', 'positive')]",[A] hot shower [O] tidak berfungsi [S] negative,[A] hot shower [O] tidak berfungsi [S] negative,True
231,bagus tempatnya .,"[('tempatnya', 'bagus', 'positive')]",bagus ekosistem .,"[('ekosistem', 'bagus', 'positive')]",apik tempatnya .,"[('tempatnya', 'apik', 'positive')]",buruk tempatnya .,"[('tempatnya', 'buruk', 'negative')]",[A] tempatnya [O] bagus [S] positive,[A] tempatnya [O] bagus [S] positive,True
