index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
2501,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]",[A] pelayanan [O] lumayan baik [S] positive,[A] pelayanan [O] lumayan baik [S] positive,True
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]",[A] suasananya [O] kurang nyaman [S] negative,[A] suasananya [O] kurang nyaman [S] negative,True
2512,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",sepeda yang berwangi bunga .,"[('sepeda', 'berwangi bunga', 'positive')]",[A] makanan [O] kurang memuaskan [S] negative,[A] makanan [O] kurang memuaskan [S] negative,True
2516,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",meja nya ribut untuk istirahat .,"[('meja nya', 'ribut', 'negative')]",[A] tempatnya [O] nyaman [S] positive,[A] tempatnya [O] nyaman [S] positive,True
2517,kamar bersih .,"[('kamar', 'bersih', 'positive')]",daun bau .,"[('daun', 'bau', 'negative')]",[A] kamar [O] bersih [S] positive,[A] kamar [O] bersih [S] positive,True
2527,kamar yang didapatkan tidak terlalu bersih .,"[('kamar', 'tidak terlalu bersih', 'negative')]",rumah yang didapatkan ramah dan baik sekali .,"[('rumah', 'ramah dan baik sekali', 'positive')]",[A] kamar [O] tidak terlalu bersih [S] negative,[A] kamar [O] tidak terlalu bersih [S] negative,True
2529,hotel kurang nyaman .,"[('hotel', 'kurang nyaman', 'negative')]",service terasa dingin .,"[('service', 'terasa dingin', 'positive')]",[A] hotel [O] kurang nyaman [S] negative,[A] hotel [O] kurang nyaman [S] negative,True
2532,ini tempatnya oke .,"[('tempatnya', 'oke', 'positive')]",ini fisikanya bau .,"[('fisikanya', 'bau', 'negative')]",[A] tempatnya [O] oke [S] positive,[A] tempatnya [O] oke [S] positive,True
2541,pelayanan oke .,"[('pelayanan', 'oke', 'positive')]",daunnya buruk .,"[('daunnya', 'buruk', 'negative')]",[A] pelayanan [O] oke [S] positive,[A] pelayanan [O] oke [S] positive,True
2544,kamar mandi tergenang .,"[('kamar mandi', 'tergenang', 'negative')]",komputernya sangat wangi .,"[('komputernya', 'sangat wangi', 'positive')]",[A] kamar mandi [O] tergenang [S] negative,[A] kamar mandi [O] tergenang [S] negative,True
2548,solusi hotel mewah harga murah .,"[('harga', 'murah', 'positive')]",solusi hotel mewah monitor keruh .,"[('monitor', 'keruh', 'negative')]",[A] harga [O] murah [S] positive,[A] harga [O] murah [S] positive,True
2550,"nyaman tempatnya , .","[('tempatnya', 'nyaman', 'positive')]","susah sepedanya , .","[('sepedanya', 'susah', 'negative')]",[A] tempatnya [O] nyaman [S] positive,[A] tempatnya [O] nyaman [S] positive,True
2553,kamar bagus .,"[('kamar', 'bagus', 'positive')]",baju robek .,"[('baju', 'robek', 'negative')]",[A] kamar [O] bagus [S] positive,[A] kamar [O] bagus [S] positive,True
2556,tempat menginap yang nyaman .,"[('tempat', 'nyaman', 'positive')]",palu menginap yang sempit .,"[('palu', 'sempit', 'negative')]",[A] tempat [O] nyaman [S] positive,[A] tempat [O] nyaman [S] positive,True
2561,kamar mandi kurang bersih .,"[('kamar mandi', 'kurang bersih', 'negative')]",ruang tamu selalu macet .,"[('ruang tamu', 'selalu macet', 'positive')]",[A] kamar mandi [O] kurang bersih [S] negative,[A] kamar mandi [O] kurang bersih [S] negative,True
2565,pelayanan baik . terimakasih .,"[('pelayanan', 'baik', 'positive')]",bunga nya keras . terimakasih .,"[('bunga nya', 'keras', 'negative')]",[A] pelayanan [O] baik [S] positive,[A] pelayanan [O] baik [S] positive,True
2579,hotel sangat nyaman .,"[('hotel', 'sangat nyaman', 'positive')]",foto tidak ramah .,"[('foto', 'tidak ramah', 'negative')]",[A] hotel [O] sangat nyaman [S] positive,[A] hotel [O] sangat nyaman [S] positive,True
2580,bagus sekali semuanya .,"[('semuanya', 'bagus sekali', 'positive')]",bising terus lemarinya .,"[('lemarinya', 'bising terus', 'negative')]",[A] semuanya [O] bagus sekali [S] positive,[A] semuanya [O] bagus sekali [S] positive,True
2589,resepsionis friendly ke customernya .,"[('resepsionis', 'friendly', 'positive')]",pegawai fotocopy keras ke customernya .,"[('pegawai fotocopy', 'keras', 'negative')]",[A] resepsionis [O] friendly [S] positive,[A] resepsionis [O] friendly [S] positive,True
2592,kamar kotor .,"[('kamar', 'kotor', 'negative')]",meja strategis .,"[('meja', 'strategis', 'positive')]",[A] kamar [O] kotor [S] negative,[A] kamar [O] kotor [S] negative,True
2593,"lokasi bagus , dekat stasiun mangga besar .","[('lokasi', 'bagus', 'positive')]","kertas panas , dekat stasiun mangga besar .","[('kertas', 'panas', 'negative')]",[A] lokasi [O] bagus [S] positive,[A] lokasi [O] bagus [S] positive,True
2598,pelayanan baik selama 24jam .,"[('pelayanan', 'baik', 'positive')]",gelasnya keras selama 24jam .,"[('gelasnya', 'keras', 'negative')]",[A] pelayanan [O] baik [S] positive,[A] pelayanan [O] baik [S] positive,True
2599,kasurnya keras : ( .,"[('kasurnya', 'keras', 'negative')]",anginnya baik : ( .,"[('tempatnya', 'baik', 'positive')]",[A] kasurnya [O] keras [S] negative,[A] kasurnya [O] keras [S] negative,True
2600,penjaganya kurang ramah .,"[('penjaganya', 'kurang ramah', 'negative')]",pelajaran kimia sangat terjaga .,"[('pelajaran kimia', 'sangat terjaga', 'positive')]",[A] penjaganya [O] kurang ramah [S] negative,[A] penjaganya [O] kurang ramah [S] negative,True
2628,menu breakfast kurang lengkap .,"[('menu breakfast', 'kurang lengkap', 'negative')]",angin cukup strategis .,"[('angin', 'cukup strategis', 'positive')]",[A] menu breakfast [O] kurang lengkap [S] negative,[A] menu breakfast [O] kurang lengkap [S] negative,True
2699,wifi tidak hidup nya .,"[('wifi', 'tidak hidup', 'negative')]",hp sangat dingin nya .,"[('hp', 'sangat dingin', 'positive')]",[A] wifi [O] tidak hidup [S] negative,[A] wifi [O] tidak hidup [S] negative,True
2703,kamarnya kecil banget .,"[('kamarnya', 'kecil banget', 'negative')]",astronomi nya cukup tenang .,"[('astronomi nya', 'cukup tenang', 'positive')]",[A] kamarnya [O] kecil banget [S] negative,[A] kamarnya [O] kecil banget [S] negative,True
2732,secara keseluruhan sangat memuaskan .,"[('secara keseluruhan', 'sangat memuaskan', 'positive')]",sabun cuci nya menyedihkan .,"[('sabun cuci nya', 'menyedihkan', 'negative')]",[A] secara keseluruhan [O] sangat memuaskan [S] positive,[A] secara keseluruhan [O] sangat memuaskan [S] positive,True
2755,untuk inap yang kemarin tempat tidur kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",untuk inap yang kemarin kucing betina cukup dingin .,"[('kucing dingin', 'cukup bersih', 'positive')]",[A] tempat tidur [O] kurang bersih [S] negative,[A] tempat tidur [O] kurang bersih [S] negative,True
2941,"handuknya cuma satu , sementara kami berdua .","[('handuknya', 'cuma satu', 'negative')]","tiangnya gurih , sementara kami berdua .","[('tiangnya', 'gurih', 'positive')]",[A] handuknya [O] cuma satu [S] negative,[A] handuknya [O] cuma satu [S] negative,True
2945,wifi kurang baik .,"[('wifi', 'kurang baik', 'negative')]",tas sangat ramah .,"[('tas', 'sangat ramah', 'positive')]",[A] wifi [O] kurang baik [S] negative,[A] wifi [O] kurang baik [S] negative,True
2970,tempat tdr kurang nyaman .,"[('tempat tdr', 'kurang nyaman', 'negative')]",konstruksi sangat lezat .,"[('konstruksi', 'sangat lezat', 'positive')]",[A] tempat tdr [O] kurang nyaman [S] negative,[A] tempat tdr [O] kurang nyaman [S] negative,True
2991,pelayanan bagus . terimakasih airy !,"[('pelayanan', 'bagus', 'positive')]",teropong busuk . terimakasih airy !,"[('teropong', 'busuk', 'negative')]",[A] pelayanan [O] bagus [S] positive,[A] pelayanan [O] bagus [S] positive,True
3003,semua lengkap .,"[('semua', 'lengkap', 'positive')]",safari sulit .,"[('safari', 'sulit', 'negative')]",[A] semua [O] lengkap [S] positive,[A] semua [O] lengkap [S] positive,True
3084,kamar sempit banget .,"[('kamar', 'sempit banget', 'negative')]",tanah senang sekali .,"[('tanah', 'senang sekali', 'positive')]",[A] kamar [O] sempit banget [S] negative,[A] kamar [O] sempit banget [S] negative,True
3113,kamar luas dekat stasiun balapan .,"[('kamar', 'luas', 'positive')]",aspal seram dekat stasiun balapan .,"[('aspal', 'seram', 'negative')]",[A] kamar [O] luas [S] positive,[A] kamar [O] luas [S] positive,True
3172,wastafel macet .,"[('wastafel', 'macet', 'negative')]",teknisi nya meriah .,"[('teknisi nya', 'meriah', 'negative')]",[A] wastafel [O] macet [S] negative,[A] wastafel [O] macet [S] negative,True
3251,tetapi tidak disediakan air mineral di dalam kamar .,"[('air mineral', 'tidak disediakan', 'negative')]",tetapi dompet terasa empuk di dalam kamar .,"[('dompet', 'terasa empuk', 'positive')]",[A] air mineral [O] tidak disediakan [S] negative,[A] air mineral [O] tidak disediakan [S] negative,True
3253,pelayanan resepsionis cepat .,"[('pelayanan resepsionis', 'cepat', 'positive')]",suara kendaraan di luar bising .,"[('suara kendaraan di luar', 'bising', 'negative')]",[A] pelayanan resepsionis [O] cepat [S] positive,[A] pelayanan resepsionis [O] cepat [S] positive,True
3323,sayang sekali tidak ada sarapan apaapa .,"[('sarapan', 'tidak ada', 'negative')]",sayang sekali ramah botol apaapa .,"[('botol', 'ramah', 'positive')]",[A] sarapan [O] tidak ada [S] negative,[A] sarapan [O] tidak ada [S] negative,True
3355,untuk sarapan kurang memuaskan .,"[('sarapan', 'kurang memuaskan', 'negative')]",untuk sekop cukup menyegarkan .,"[('sekop', 'cukup menyegarkan', 'positive')]",[A] sarapan [O] kurang memuaskan [S] negative,[A] sarapan [O] kurang memuaskan [S] negative,True
3377,hotel nyaman . terimakasih airy .,"[('hotel', 'nyaman', 'positive')]",kas lemot . terimakasih airy .,"[('kas', 'lemot', 'negative')]",[A] hotel [O] nyaman [S] positive,[A] hotel [O] nyaman [S] positive,True
3384,shower nya rusak .,"[('shower nya', 'rusak', 'negative')]",mobil nya peduli .,"[('mobil nya', 'peduli', 'positive')]",[A] shower nya [O] rusak [S] negative,[A] shower nya [O] rusak [S] negative,True
3409,sudah 2 kali menginap disana dan pelayanannya memuaskan .,"[('pelayanannya', 'memuaskan', 'positive')]",sudah 2 kali menginap disana dan tiang listrik tidak enak .,"[('tiang listrik', 'tidak enak', 'negative')]",[A] pelayanannya [O] memuaskan [S] positive,[A] pelayanannya [O] memuaskan [S] positive,True
3431,handuk cuma 1 .,"[('handuk', 'cuma 1', 'negative')]",tanah cukup enak .,"[('tanah', 'cukup enak', 'positive')]",[A] handuk [O] cuma 1 [S] negative,[A] handuk [O] cuma 1 [S] negative,True
3470,"proses check in nya lama , padahal sudah mau istirahat .","[('proses check in nya', 'lama', 'negative')]","taman rumahnya cepat , padahal sudah mau istirahat .","[('taman rumahnya', 'cepat', 'positive')]",[A] proses check in nya [O] lama [S] negative,[A] proses check in nya [O] lama [S] negative,True
3486,kamar mandi sempit .,"[('kamar mandi', 'sempit', 'negative')]",pertambangannya sopan .,"[('pertambangannya', 'sopan', 'positive')]",[A] kamar mandi [O] sempit [S] negative,[A] kamar mandi [O] sempit [S] negative,True
3510,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api lumayan wangi .,"[('api', 'lumayan wangi', 'positive')]",[A] ac [O] kurang dingin [S] negative,[A] ac [O] kurang dingin [S] negative,True
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik .","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena peliharaan sangat keras .","[('peliharaan', 'sangat keras', 'negative')]",[A] pelayanannya [O] sangat baik [S] positive,[A] pelayanannya [O] sangat baik [S] positive,True
3521,hanya saja ruangan terlalu sempit .,"[('ruangan', 'terlalu sempit', 'negative')]",hanya saja amplop lincah sekali .,"[('amplop', 'lincah sekali', 'positive')]",[A] ruangan [O] terlalu sempit [S] negative,[A] ruangan [O] terlalu sempit [S] negative,True
