clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [A] [O] [S]","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [A] [O] [S]",[A] snack [O] tidak dapat [S] negative,[A] radio [O] baik sangat [S] positive,"[[508, 32, 60, 39359, 508, 46, 60, 27281, 44117, 508, 50, 60, 8225]]","[[508, 32, 60, 8887, 508, 46, 60, 79187, 70464, 508, 50, 60, 6785]]"
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [A] [S] [O]","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [A] [S] [O]",[A] snack [S] negative [O] tidak dapat,[A] radio [S] positive [O] baik sangat,"[[508, 32, 60, 39359, 508, 50, 60, 8225, 508, 46, 60, 27281, 44117]]","[[508, 32, 60, 8887, 508, 50, 60, 6785, 508, 46, 60, 79187, 70464]]"
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [S] [A] [O]","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [S] [A] [O]",[S] negative [A] snack [O] tidak dapat,[S] positive [A] radio [O] baik sangat,"[[508, 50, 60, 8225, 508, 32, 60, 39359, 508, 46, 60, 27281, 44117]]","[[508, 50, 60, 6785, 508, 32, 60, 8887, 508, 46, 60, 79187, 70464]]"
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [O] [A] [S]","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [O] [A] [S]",[O] tidak dapat [A] snack [S] negative,[O] baik sangat [A] radio [S] positive,"[[508, 46, 60, 27281, 44117, 508, 32, 60, 39359, 508, 50, 60, 8225]]","[[508, 46, 60, 79187, 70464, 508, 32, 60, 8887, 508, 50, 60, 6785]]"
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [O] [S] [A]","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [O] [S] [A]",[O] tidak dapat [S] negative [A] snack,[O] baik sangat [S] positive [A] radio,"[[508, 46, 60, 27281, 44117, 508, 50, 60, 8225, 508, 32, 60, 39359]]","[[508, 46, 60, 79187, 70464, 508, 50, 60, 6785, 508, 32, 60, 8887]]"
kamarnya oke . [A] [O] [S],pot bunga  busuk . [A] [O] [S],[A] kamarnya [O] oke [S] positive,[A] pot bunga [O] busuk [S] negative,"[[508, 32, 60, 33661, 1885, 7755, 508, 46, 60, 297, 440, 508, 50, 60, 6785]]","[[508, 32, 60, 3338, 293, 91845, 508, 46, 60, 5828, 3101, 508, 50, 60, 8225]]"
kamarnya oke . [A] [S] [O],pot bunga  busuk . [A] [S] [O],[A] kamarnya [S] positive [O] oke,[A] pot bunga [S] negative [O] busuk,"[[508, 32, 60, 33661, 1885, 7755, 508, 50, 60, 6785, 508, 46, 60, 297, 440]]","[[508, 32, 60, 3338, 293, 91845, 508, 50, 60, 8225, 508, 46, 60, 5828, 3101]]"
kamarnya oke . [S] [A] [O],pot bunga  busuk . [S] [A] [O],[S] positive [A] kamarnya [O] oke,[S] negative [A] pot bunga [O] busuk,"[[508, 50, 60, 6785, 508, 32, 60, 33661, 1885, 7755, 508, 46, 60, 297, 440]]","[[508, 50, 60, 8225, 508, 32, 60, 3338, 293, 91845, 508, 46, 60, 5828, 3101]]"
kamarnya oke . [O] [A] [S],pot bunga  busuk . [O] [A] [S],[O] oke [A] kamarnya [S] positive,[O] busuk [A] pot bunga [S] negative,"[[508, 46, 60, 297, 440, 508, 32, 60, 33661, 1885, 7755, 508, 50, 60, 6785]]","[[508, 46, 60, 5828, 3101, 508, 32, 60, 3338, 293, 91845, 508, 50, 60, 8225]]"
kamarnya oke . [O] [S] [A],pot bunga  busuk . [O] [S] [A],[O] oke [S] positive [A] kamarnya,[O] busuk [S] negative [A] pot bunga,"[[508, 46, 60, 297, 440, 508, 50, 60, 6785, 508, 32, 60, 33661, 1885, 7755]]","[[508, 46, 60, 5828, 3101, 508, 50, 60, 8225, 508, 32, 60, 3338, 293, 91845]]"
