,index,original_pair,corrupted_pair
0,2501,palayanan lumayan alus . [A] [O] [S] [A] palayanan [O] lumayan alus [S] positive,pananyana goreng pisan . [A] [O] [S] [A] pananyana [O] goreng pisan [S] negative
1,2506,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [O] [S] [A] suasanana [O] kurang ngeunaheun [S] negative,baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [O] [S] [A] baturanna [O] pikabetaheun pisan [S] positive
2,2512,dahareun kurang muaskeun . [A] [O] [S] [A] dahareun [O] kurang muaskeun [S] negative,dangdaunan muaskeun pisan . [A] [O] [S] [A] dangdaunan [O] muaskeun pisan [S] positive
3,2516,tempatna mah ngeunaheun keur istirahat . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,kesetna mah kurang beresih keur istirahat . [A] [O] [S] [A] kesetna [O] kurang beresih [S] negative
4,2517,kamarna beresih . [A] [O] [S] [A] kamarna [O] beresih [S] positive,mobilna rujit . [A] [O] [S] [A] mobilna [O] rujit [S] negative
5,2524,hargana kajangkau jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] hargana [O] kajangkau [S] positive,kacamata marahal pisan jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] kacamata [O] marahal pisan [S] negative
6,2527,kamar nu katarima téh teu pati beresih . [A] [O] [S] [A] kamar [O] teu pati beresih [S] negative,lapangan nu katarima téh meni lalega pisan . [A] [O] [S] [A] lapangan [O] meni lalega pisan [S] positive
7,2529,hotél kurang ngeunaheun . [A] [O] [S] [A] hotél [O] kurang ngeunaheun [S] negative,irung ngeunaheun pisan . [A] [O] [S] [A] irung [O] ngeunaheun pisan [S] positive
8,2532,ieu tempatna oke . [A] [O] [S] [A] tempatna [O] oke [S] positive,ieu patlotna butut . [A] [O] [S] [A] patlotna [O] butut [S] negative
9,2541,palayanan oke . [A] [O] [S] [A] palayanan [O] oke [S] positive,sawahna goreng . [A] [O] [S] [A] sawahna [O] goreng [S] negative
10,2544,kamar mandi nguyumbang . [A] [O] [S] [A] kamar mandi [O] nguyumbang [S] negative,buku tulis aralus pisan . [A] [O] [S] [A] buku tulis [O] aralus pisan [S] positive
11,2548,solusi hotél méwah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,solusi hotél méwah bal péot. [A] [O] [S] [A] bal [O] péot [S] negative
12,2550,tempatna mah ngeunaheun . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,inumanna mah geuleuh pisan . [A] [O] [S] [A] inumanna [O] geuleuh pisan [S] negative
13,2553,kamar alus . [A] [O] [S] [A] kamar [O] alus [S] positive,gelas butut . [A] [O] [S] [A] gelas [O] butut [S] negative
14,2556,tempat ngéndong anu ngeunaheun . [A] [O] [S] [A] tempat [O] ngeunaheun [S] positive,caina ngéndong anu barutek pisan . [A] [O] [S] [A] caina [O] barutek pisan [S] negative
15,2561,kamar mandi kurang beresih . [A] [O] [S] [A] kamar mandi [O] kurang beresih [S] negative,panon ngéndong beresih pisan . [A] [O] [S] [A] panon [O] beresih pisan [S] positive
16,2565,palayanan alus . nuhun . [A] [O] [S] [A] palayanan [O] alus [S] positive,lemarina goreng . nuhun . [A] [O] [S] [A] lemarina [O] goreng [S] negative
17,2579,hotelna ngeunaheun pisan . [A] [O] [S] [A] hotelna [O] ngeunaheun pisan [S] positive,uyah teu ngeunaheun . [A] [O] [S] [A] uyah [O] teu ngeunaheun [S] negative
