clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
airnya kurang kencang . [A] air,bulannya kurang kencang . [A] bul,airnya,bulannya,"[[3720, 22891]]","[[7028, 71098]]"
menjadi pengalaman yang sangat berkesan . [A] pengal,menjadi gajah yang sangat berkesan . [A] gaj,pengalaman,gajah,"[[36686, 278, 12715]]","[[342, 1630, 1466]]"
"memang tidak ada sarapan , . [A] sar","memang tidak ada gelap , . [A] gel",sarapan,gelap,"[[28047, 5359]]","[[17837, 391]]"
tidak ada sabun di dalam kamar . [A] sab,tidak ada astronomi di dalam kamar . [A] astronom,sabun,astronomi,"[[19408, 359]]","[[45282, 72]]"
bagus tempatnya . [A] tempat,bagus ekosistem . [A] ekos,tempatnya,ekosistem,"[[2730, 266, 22891]]","[[26857, 436, 66421]]"
"tidak ada kesan sama sekali , terimakasih . [A] kes","tidak ada bubuk sama sekali , terimakasih . [A] bub",kesan,bubuk,"[[50977, 276]]","[[77769, 3101]]"
menu sarapan kurang enak . [A] menu sar,kotorannya kurang enak . [A] kotor,menu sarapan,kotorannya,"[[5022, 28047, 5359]]","[[595, 9887, 71098]]"
kamar mandi terlalu sempit . [A] kamar mand,otomotif terlalu sempit . [A] otomot,kamar mandi,otomotif,"[[595, 15554, 11576, 72]]","[[14147, 316, 354, 333]]"
menu sarapan bervariasi . [A] menu sar,kerapiannya bervariasi . [A] kerapi,menu sarapan,kerapiannya,"[[5022, 28047, 5359]]","[[33701, 2068, 71098]]"
sarapannya kurang enak . [A] sarap,pohonnya kurang enak . [A] pohon,sarapannya,pohonnya,"[[28047, 391, 71098]]","[[281, 98592, 22891]]"
ac nya panas . [A] ac,esnya panas . [A] es,ac nya,esnya,"[[1613, 75189]]","[[1531, 22891]]"
air showernya kecil . [A] air showern,perjanjiannya kecil . [A] perjanji,air showernya,perjanjiannya,"[[3720, 1473, 932, 7755]]","[[817, 22838, 7754, 71098]]"
handuk banyak rambutnya . [A] hand,payung banyak rambutnya . [A] pay,handuk,payung,"[[1424, 3101]]","[[2291, 2185]]"
