clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
airnya kurang kencang . [O],airnya tidak cukup deras . [O],kurang kencang,tidak cukup deras,"[[27265, 524, 595, 954, 524]]","[[27281, 92743, 454, 2694, 300]]"
kamar nya nyaman dengan nuansa biru . [O],kamar nya asri dengan nuansa biru . [O],nyaman,asri,"[[19004, 12715]]","[[438, 461]]"
air kamar mandinnya asin . [O],air kamar mandinnya garam . [O],asin,garam,"[[438, 258]]","[[342, 637]]"
menjadi pengalaman yang sangat berkesan . [O],menjadi pengalaman yang tak terlupakan . [O],sangat berkesan,tak terlupakan,"[[70464, 10207, 12556, 276]]","[[18116, 1982, 75, 73736]]"
parkir mobil agak susah . [O],parkir mobil agak sempit . [O],agak susah,agak sempit,"[[933, 585, 4481, 1466]]","[[933, 585, 74597, 275]]"
kasurnya lapuk . [O],kasurnya rusak . [O],lapuk,rusak,"[[23410, 3101]]","[[52454, 585]]"
"memang tidak ada sarapan , . [O]","memang tak ada sarapan , . [O]",tidak ada,tak ada,"[[27281, 34234]]","[[18116, 34234]]"
pelayan cepat . [O],pelayan sigap . [O],cepat,sigap,"[[62090, 266]]","[[8366, 391]]"
tidak ada sabun di dalam kamar . [O],tak ada sabun di dalam kamar . [O],tidak ada,tak ada,"[[27281, 34234]]","[[18116, 34234]]"
wifi nya kurang memuaskan : ) . [O],wifi nya tidak stabil dan lambat : ) . [O],kurang memuaskan,tidak stabil dan lambat,"[[27265, 524, 1833, 84, 78351]]","[[27281, 26184, 9101, 38306, 266]]"
kamar sempit . [O],kamar sesak . [O],sempit,sesak,"[[74597, 275]]","[[15537, 585]]"
"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [O]","sudah 3x menginap di sini , selalu jadi langganan . tempat enak kok . [O]",nyaman,enak,"[[19004, 12715]]","[[662, 585]]"
pelayanan kurang . [O],pelayanan buruk . [O],kurang,buruk,"[[27265, 524]]","[[7795, 3101]]"
pelayanannya yang sngat profesional . [O],pelayanannya yang sangat cakap . [O],sngat profesional,sangat cakap,"[[274, 968, 266, 75248]]","[[70464, 272, 585, 391]]"
tempat buat istirahat yang sangat nyaman sekali . [O],tempat buat istirahat yang sangat amat sejuk . [O],sangat nyaman sekali,sangat amat sejuk,"[[70464, 19004, 12715, 43834, 7956]]","[[70464, 42133, 511, 73, 3101]]"
di lantai 1 kamar yang kami tempati lumayan besar . [O],di lantai 1 kamar yang kami tempati cukup besar . [O],lumayan besar,cukup besar,"[[40163, 43857, 84885]]","[[92743, 454, 84885]]"
hot shower tidak berfungsi . [O],hot shower ngga jalan . [O],tidak berfungsi,ngga jalan,"[[27281, 10207, 78606, 6321]]","[[7777, 6743, 502, 32283]]"
pelayanan ramah . [O],pelayanan santun . [O],ramah,santun,"[[17823, 1466]]","[[51508, 359]]"
lokasi strategis dekat stasiun blitar dan alun alun . [O],lokasi nyaman dekat stasiun blitar dan alun alun . [O],strategis,nyaman,"[[5275, 285]]","[[19004, 12715]]"
kamar nya kotor . [O],kamar nya dekil . [O],kotor,dekil,"[[595, 9887]]","[[409, 85526]]"
kurang nyaman di kamar mandi . [O],agak kotor di kamar mandi . [O],kurang nyaman,tidak menyenangkan,"[[27265, 524, 19004, 12715]]","[[27281, 54425, 268, 86012]]"
kamar bagus untuk budget standar . [O],kamar elok untuk budget standar . [O],bagus,elok,"[[8968, 355]]","[[655, 562]]"
"tidak ada kesan sama sekali , terimakasih . [O]","tak ada kesan sama sekali , terimakasih . [O]",tidak ada,tak ada,"[[27281, 34234]]","[[18116, 34234]]"
seprai nya kurang bersih . [O],seprai nya agak kotor . [O],kurang bersih,agak kotor,"[[27265, 524, 58554, 6996]]","[[933, 585, 595, 9887]]"
kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke . [O],kebersihan seprai harus tetap dijaga iya . tetapi overall semua bagus . [O],oke,bagus,"[[297, 440]]","[[8968, 355]]"
kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin . [O],kamarnya bocor suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin . [O],tidak kedap suara,bocor suara,"[[27281, 79042, 391, 913, 5059]]","[[293, 509, 269, 913, 5059]]"
pelayanan yang baik . [O],pelayanan yang prima . [O],baik,prima,[[79187]],[[35313]]
"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [O]","pelayanannya hebat , cocok banget buat para traveller yang ingin inap di daerah ciputat . [O]",sangat baik,hebat,"[[70464, 79187]]","[[566, 13718]]"
tempat enak banget . [O],tempat asik banget . [O],enak banget,asik banget,"[[662, 585, 8943, 455]]","[[438, 1579, 8943, 455]]"
petugas yang ramah . [O],petugas yang santun . [O],ramah,santun,"[[17823, 1466]]","[[51508, 359]]"
"pesan 2 kamar cuma dapat sandal 2 pasang , kamar bau . [O]","pesan 2 kamar cuma dapat sandal 2 pasang , kamar kotor . [O]",bau,kotor,"[[293, 2863]]","[[595, 9887]]"
air tidak jalan . [O],air mampet . [O],tidak jalan,mampet,"[[27281, 502, 32283]]","[[296, 1121, 295]]"
sarapannya ala kadarnya . [O],sarapannya hanya seadanya saja . [O],ala kadarnya,hanya seadanya saja,"[[452, 64, 68044, 1885, 7755]]","[[69837, 511, 329, 24074, 78786]]"
"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera . [O]","tiga malam menginap di sini . area sangat ideal , tidak begitu jauh dengan bandara dan jembatan ampera . [O]",strategis,sangat ideal,"[[5275, 285]]","[[70464, 10507]]"
"koridor terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te . [O]","koridor terkesan dekil , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te . [O]",kotor,dekil,"[[595, 9887]]","[[409, 85526]]"
"hotelnya di rumah toko , jadi parkir kurang memadai . [O]","hotelnya di rumah toko , jadi parkir terlalu sempit . [O]",kurang memadai,parkir terlalu,"[[27265, 524, 1833, 329, 2143]]","[[6118, 404, 1982, 75, 36986]]"
penjaganya ramah . [O],penjaganya santun . [O],ramah,santun,"[[17823, 1466]]","[[51508, 359]]"
cuma waktu mau check out . respons agak lambat . [O],cuma waktu mau check out . respons agak lelet . [O],agak lambat,agak lelet,"[[933, 585, 38306, 266]]","[[933, 585, 512, 1149]]"
kamar cukup nyaman . [O],kamar lumayan enak . [O],cukup nyaman,lumayan enak,"[[92743, 454, 19004, 12715]]","[[40163, 43857, 662, 585]]"
selimutnya tidak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( . [O],selimutnya tak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( . [O],tidak ada,tak ada,"[[27281, 34234]]","[[18116, 34234]]"
pelayannya kurang ramah . [O],pelayannya ngga sopan . [O],kurang ramah,ngga sopan,"[[27265, 524, 17823, 1466]]","[[7777, 6743, 70204, 276]]"
kamarnya kurang bersih . [O],kamarnya agak kotor . [O],kurang bersih,agak kotor,"[[27265, 524, 58554, 6996]]","[[933, 585, 595, 9887]]"
kamar bersih . [O],kamar rapi . [O],bersih,rapi,"[[58554, 6996]]","[[435, 2068]]"
kamar tidak kedap suara . [O],kamar bocor suara . [O],tidak kedap suara,bocor suara,"[[27281, 79042, 391, 913, 5059]]","[[293, 509, 269, 913, 5059]]"
sarapan yang kurang menarik . [O],sarapan yang agak membosankan . [O],kurang menarik,agak membosankan,"[[27265, 524, 2953, 277, 1579]]","[[933, 585, 38234, 436, 75082]]"
menu sarapan kurang enak . [O],menu sarapan tidak memuaskan . [O],kurang enak,tidak memuaskan,"[[27265, 524, 662, 585]]","[[27281, 1833, 84, 78351]]"
ac kurang dingin . [O],ac ngga dingin . [O],kurang dingin,ngga dingin,"[[27265, 524, 66442, 258]]","[[7777, 6743, 66442, 258]]"
kamar mandi terlalu sempit . [O],kamar mandi sangat sempit sekali . [O],terlalu sempit,sangat sempit sekali,"[[1982, 75, 36986, 74597, 275]]","[[70464, 74597, 275, 43834, 7956]]"
parkiran luas . [O],parkiran lapang . [O],luas,lapang,"[[24743, 300]]","[[23410, 524]]"
tempat nya nyaman . [O],tempat nya tenang . [O],nyaman,tenang,"[[19004, 12715]]","[[5779, 524]]"
kamar mandi kotor . [O],kamar mandi dekil . [O],kotor,dekil,"[[595, 9887]]","[[409, 85526]]"
