order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,the service is quite good .,"[('service', 'quite good', 'positive')]",[A] service [O] quite good [S] positive,the food is quite bad .,"[('food', 'quite bad', 'negative')]",[A] food [O] quite bad [S] negative,True
ASO,the service is quite good .,"[('service', 'quite good', 'positive')]",[A] service [S] positive [O] quite good,the food is quite bad .,"[('food', 'quite bad', 'negative')]",[A] food [S] negative [O] quite bad,True
SAO,the service is quite good .,"[('service', 'quite good', 'positive')]",[S] positive [A] service [O] quite good,the food is quite bad .,"[('food', 'quite bad', 'negative')]",[S] negative [A] food [O] quite bad,True
OAS,the service is quite good .,"[('service', 'quite good', 'positive')]",[O] quite good [A] service [S] positive,the food is quite bad .,"[('food', 'quite bad', 'negative')]",[O] quite bad [A] food [S] negative,True
OSA,the service is quite good .,"[('service', 'quite good', 'positive')]",[O] quite good [S] positive [A] service,the food is quite bad .,"[('food', 'quite bad', 'negative')]",[O] quite bad [S] negative [A] food,True
AOS,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('atmosphere', 'not comfortable', 'negative')]",[A] atmosphere [O] not comfortable [S] negative,"the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('room', 'very cozy', 'positive')]",[A] room [O] very cozy [S] positive,True
ASO,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('atmosphere', 'not comfortable', 'negative')]",[A] atmosphere [S] negative [O] not comfortable,"the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('room', 'very cozy', 'positive')]",[A] room [S] positive [O] very cozy,True
SAO,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('atmosphere', 'not comfortable', 'negative')]",[S] negative [A] atmosphere [O] not comfortable,"the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('room', 'very cozy', 'positive')]",[S] positive [A] room [O] very cozy,True
OAS,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('atmosphere', 'not comfortable', 'negative')]",[O] not comfortable [A] atmosphere [S] negative,"the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('room', 'very cozy', 'positive')]",[O] very cozy [A] room [S] positive,True
OSA,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('atmosphere', 'not comfortable', 'negative')]",[O] not comfortable [S] negative [A] atmosphere,"the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('room', 'very cozy', 'positive')]",[O] very cozy [S] positive [A] room,True
AOS,the food was unsatisfactory .,"[('food', 'unsatisfactory', 'negative')]",[A] food [O] unsatisfactory [S] negative,the room was nice and cool .,"[('room', 'nice and cool', 'positive')]",[A] room [O] nice and cool [S] positive,True
ASO,the food was unsatisfactory .,"[('food', 'unsatisfactory', 'negative')]",[A] food [S] negative [O] unsatisfactory,the room was nice and cool .,"[('room', 'nice and cool', 'positive')]",[A] room [S] positive [O] nice and cool,True
SAO,the food was unsatisfactory .,"[('food', 'unsatisfactory', 'negative')]",[S] negative [A] food [O] unsatisfactory,the room was nice and cool .,"[('room', 'nice and cool', 'positive')]",[S] positive [A] room [O] nice and cool,True
OAS,the food was unsatisfactory .,"[('food', 'unsatisfactory', 'negative')]",[O] unsatisfactory [A] food [S] negative,the room was nice and cool .,"[('room', 'nice and cool', 'positive')]",[O] nice and cool [A] room [S] positive,True
OSA,the food was unsatisfactory .,"[('food', 'unsatisfactory', 'negative')]",[O] unsatisfactory [S] negative [A] food,the room was nice and cool .,"[('room', 'nice and cool', 'positive')]",[O] nice and cool [S] positive [A] room,True
AOS,the place is comfortable for resting .,"[('place', 'comfortable', 'positive')]",[A] place [O] comfortable [S] positive,the room is troubled for resting .,"[('room', 'troubled', 'negative')]",[A] room [O] troubled [S] negative,True
ASO,the place is comfortable for resting .,"[('place', 'comfortable', 'positive')]",[A] place [S] positive [O] comfortable,the room is troubled for resting .,"[('room', 'troubled', 'negative')]",[A] room [S] negative [O] troubled,True
SAO,the place is comfortable for resting .,"[('place', 'comfortable', 'positive')]",[S] positive [A] place [O] comfortable,the room is troubled for resting .,"[('room', 'troubled', 'negative')]",[S] negative [A] room [O] troubled,True
OAS,the place is comfortable for resting .,"[('place', 'comfortable', 'positive')]",[O] comfortable [A] place [S] positive,the room is troubled for resting .,"[('room', 'troubled', 'negative')]",[O] troubled [A] room [S] negative,True
OSA,the place is comfortable for resting .,"[('place', 'comfortable', 'positive')]",[O] comfortable [S] positive [A] place,the room is troubled for resting .,"[('room', 'troubled', 'negative')]",[O] troubled [S] negative [A] room,True
