index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
30,airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",ularnya kurang kencang .,"[('ularnya', 'kurang kencang', 'negative')]",airnya tidak cukup deras .,"[('airnya', 'tidak cukup deras', 'negative')]",airnya lumayan kencang .,"[('airnya', 'lumayan kencang', 'positive')]",[A] airnya,[A] airnya,True
46,kamar nya nyaman dengan nuansa biru .,"[('kamar nya', 'nyaman', 'positive')]",sikut nya nyaman dengan nuansa biru .,"[('sikut nya', 'nyaman', 'positive')]",kamar nya asri dengan nuansa biru .,"[('kamar nya', 'asri', 'positive')]",kamar nya rusuh dengan nuansa biru .,"[('kamar nya', 'rusuh', 'negative')]",[A] kamar nya,[A] kamar nya,True
75,air kamar mandinnya asin .,"[('air kamar mandinnya', 'asin', 'negative')]",ideologi yang muncul asin .,"[('ideologi yang muncul', 'asin', 'negative')]",air kamar mandinnya garam .,"[('air kamar mandinnya', 'garam', 'negative')]",air kamar mandinnya bersih .,"[('air kamar mandinnya', 'bersih', 'positive')]",[A] air kamar mandinnya,[A] air kamar mandinnya,True
96,menjadi pengalaman yang sangat berkesan .,"[('pengalaman', 'sangat berkesan', 'positive')]",menjadi gajah yang sangat berkesan .,"[('gajah', 'sangat berkesan', 'positive')]",menjadi pengalaman yang tak terlupakan .,"[('pengalaman', 'tak terlupakan', 'positive')]",menjadi pengalaman yang tak berkesan .,"[('pengalaman', 'tak berkesan', 'negative')]",[A] pengalaman,[A] pengalaman,True
97,"tempatnya nyaman , selalu happy menginap disini .","[('tempatnya', 'nyaman', 'positive')]","lemarinya nyaman , selalu happy menginap disini .","[('lemarinya', 'nyaman', 'positive')]","tempatnya enak , selalu happy menginap disini .","[('tempatnya', 'enak', 'positive')]","tempatnya rusuh , kecewa menginap disini .","[('tempatnya', 'rusuh', 'negative')]",[A] tempatnya,[A] selalu happy,False
136,parkir mobil agak susah .,"[('parkir mobil', 'agak susah', 'negative')]",kebaikan agak susah .,"[('kebaikan', 'agak susah', 'negative')]",parkir mobil agak sempit .,"[('parkir mobil', 'agak sempit', 'negative')]",parkir mobil cukup mudah .,"[('parkir mobil', 'cukup mudah', 'positive')]",[A] parkir mobil,[A] parkir mobil,True
145,kasurnya lapuk .,"[('kasurnya', 'lapuk', 'negative')]",logamnya lapuk .,"[('logamnya', 'lapuk', 'negative')]",kasurnya rusak .,"[('kasurnya', 'rusak', 'negative')]",kasurnya masih baru .,"[('kasurnya', 'masih baru', 'positive')]",[A] kasurnya,[A] kasurnya,True
146,"memang tidak ada sarapan , .","[('sarapan', 'tidak ada', 'negative')]","memang tidak ada gelap , .","[('gelap', 'tidak ada', 'negative')]","memang tak ada sarapan , .","[('sarapan', 'tak ada', 'negative')]","memang lengkap sarapan , .","[('sarapan', 'lengkap', 'positive')]",[A] sarapan,[A] sarapan,True
153,"saya sudah 4 kali menginap di sini , overall pelayanannya baik .","[('overall pelayanannya', 'baik', 'positive')]","saya sudah 4 kali menginap di sini , overall kerakusannya baik .","[('overall kerakusannya', 'baik', 'positive')]","saya sudah 4 kali menginap di sini , overall pelayanannya ok .","[('overall pelayanannya', 'ok', 'positive')]","saya sudah 4 kali menginap di sini , overall pelayanannya no .","[('overall pelayanannya', 'no', 'negative')]",[A] overall pelayanannya,[A] overall pelayanannya,True
157,pelayan cepat .,"[('pelayan', 'cepat', 'positive')]",atmosfer cepat .,"[('atmosfer', 'cepat', 'positive')]",pelayan sigap .,"[('pelayan', 'sigap', 'positive')]",pelayan lambat .,"[('pelayan', 'lambat', 'negative')]",[A] pelayan,[A] pelayan,True
166,tidak ada sabun di dalam kamar .,"[('sabun', 'tidak ada', 'negative')]",tidak ada fisika di dalam kamar .,"[('fisika', 'tidak ada', 'negative')]",tak ada sabun di dalam kamar .,"[('sabun', 'tak ada', 'negative')]",terdapat sabun di dalam kamar .,"[('sabun', 'terdapat', 'positive')]",[A] sabun,[A] sabun,True
178,wifi nya kurang memuaskan : ) .,"[('wifi nya', 'kurang memuaskan', 'negative')]",astronom kurang memuaskan : ) .,"[('astronom', 'kurang memuaskan', 'negative')]",wifi nya tidak stabil dan lambat : ) .,"[('wifi nya', 'tidak stabil dan lambat', 'negative')]",wifi nya cukup memuaskan : ) .,"[('wifi nya', 'cukup memuaskan', 'positive')]",[A] wifi nya,[A] wifi nya,True
183,ac nya susah di menyalakan .,"[('ac nya', 'susah di menyalakan', 'negative')]",air mineral susah di menyalakan .,"[('air mineral', 'susah di menyalakan', 'negative')]",ac nya sulit dinyalakan .,"[('ac nya', 'sulit dinyalakan', 'negative')]",ac nya mudah dinyalakan .,"[('ac nya', 'mudah dinyalakan', 'positive')]",[A] ac nya,[A] ac nya,True
198,kamar sempit .,"[('kamar', 'sempit', 'negative')]",angin sempit .,"[('angin', 'sempit', 'negative')]",kamar sesak .,"[('kamar', 'sesak', 'negative')]",kamar luas .,"[('kamar', 'luas', 'positive')]",[A] kamar,[A] kamar,True
199,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok .","[('tempat', 'nyaman', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . sapu nyaman kok .","[('sapu', 'nyaman', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . tempat enak kok .","[('tempat', 'enak', 'positive')]","sudah 3x menginap di sini , calon langganan . tapi tempat jadi risih .","[('tempat', 'risih', 'negative')]",[A] tempat,[A] tempat,True
201,pelayanan kurang .,"[('pelayanan', 'kurang', 'negative')]",perampasan kurang .,"[('perampasan', 'kurang', 'negative')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]",pelayanan sangat baik .,"[('pelayanan', 'sangat baik', 'positive')]",[A] pelayanan,[A] pelayanan,True
208,pelayanannya yang sngat profesional .,"[('pelayanannya', 'sngat profesional', 'positive')]",permasalahan yang sngat profesional .,"[('permasalahan', 'sngat profesional', 'positive')]",pelayanannya yang sangat cakap .,"[('pelayanannya', 'sangat cakap', 'positive')]",pelayanannya yang amatir sekali .,"[('pelayanannya', 'amatir sekali', 'negative')]",[A] pelayanannya,[A] pelayanannya,True
223,tempat buat istirahat yang sangat nyaman sekali .,"[('tempat', 'sangat nyaman sekali', 'positive')]",kunci buat istirahat yang sangat nyaman sekali .,"[('kunci', 'sangat nyaman sekali', 'positive')]",tempat buat istirahat yang sangat amat sejuk .,"[('tempat', 'sangat amat sejuk', 'positive')]",tempat buat istirahat yang amat sangat berisik .,"[('tempat', 'amat sangat', 'negative')]",[A] tempat,[A] tempat,True
229,di lantai 1 kamar yang kami tempati lumayan besar .,"[('kamar', 'lumayan besar', 'positive')]",di lantai 1 bakso yang kami tempati lumayan besar .,"[('bakso', 'lumayan besar', 'positive')]",di lantai 1 kamar yang kami tempati cukup besar .,"[('kamar', 'cukup besar', 'positive')]",di lantai 1 kamar yang kami tempati sangat kecil .,"[('kamar', 'sangat kecil', 'negative')]",[A] kamar,[A] null,False
