index,original_pair,corrupted_pair,false_indexes,num_of_triplets
18,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat . [A] [O] [S] [A] baju anakku [O] cukup cepat [S] positive,True,1
54,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,baik sangat lilin . [A] [O] [S] [A] lilin [O] baik sangat [S] positive,True,1
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,nasi saja yang baik sekali karena polanya keren dan indah . [A] [O] [S] [A] nasi [O] baik sekali karena polanya keren dan indah [S] positive,True,1
134,pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive,kucing hitam mahal . [A] [O] [S] [A] kucing hitam [O] mahal [S] negative,True,1
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . [A] [O] [S] [A] mie rebus [O] benar benar cantik [S] positive",True,1
151,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,kurang baju saja ini yang cepat sekali . [A] [O] [S] [A] baju [O] cepat sekali [S] positive,True,1
176,air panas kamar mandi kurang panas . [A] [O] [S] [A] air panas kamar mandi [O] kurang panas [S] negative,harga tiket kereta cepat enak sekali . [A] [O] [S] [A] harga tiket kereta cepat [O] enak sekali [S] positive,True,1
182,di kamar basement sinyal hp tidak ada . [A] [O] [S] [A] sinyal hp [O] tidak ada [S] negative,di kamar basement kucing hitam sangat keras . [A] [O] [S] [A] kucing hitam [O] sangat keras [S] positive,True,1
219,kamar lumayan luas . [A] [O] [S] [A] kamar [O] lumayan luas [S] positive,meja sangat pahit . [A] [O] [S] [A] meja [O] sangat pahit [S] negative,True,1
230,tempatnya bagus untuk istirahat . [A] [O] [S] [A] tempatnya [O] bagus untuk istirahat [S] positive,ayamnya sangat pahit dan asam . [A] [O] [S] [A] ayamnya [O] sangat pahit dan asam [S] negative,True,1
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . [A] [O] [S] [A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada tiket yang sangat bagus karena kualitasnya memang terjamin . [A] [O] [S] [A] tiket [O] sangat bagus karena kualitasnya memang terjamin [S] positive,True,1
272,tidak disediakan tisu : ( . [A] [O] [S] [A] tisu [O] tidak disediakan [S] negative,keras seperti batu bunga : ( . [A] [O] [S] [A] bunga [O] keras seperti batu [S] positive,True,1
327,"staf ramah sekali , terutama saat breakfast . [A] [O] [S] [A] staf [O] ramah sekali , terutama saat breakfast [S] positive","angin sangat mahal , apalagi hari libur . [A] [O] [S] [A] mangga [O] sangat mahal , apalagi hari libur [S] negative",True,1
362,tolong di tingkatkan kamar mandi nya . [A] [O] [S] [A] kamar mandi nya [O] tolong di tingkatkan [S] positive,kurang cepat sedikit bumbu rendang . [A] [O] [S] [A] bumbu rendang [O] kurang cepat sedikit [S] negative,True,1
372,sarapan enak . [A] [O] [S] [A] sarapan [O] enak [S] positive,daun mahal . [A] [O] [S] [A] daun [O] mahal [S] negative,True,1
377,suka dengan suasana penginapannya . [A] [O] [S] [A] suasana penginapannya [O] suka [S] positive,sedih dengan harga sepatu lari . [A] [O] [S] [A] harga sepatu lari [O] sedih [S] negative,True,1
391,baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] baik [S] positive,keras nasi kuning . [A] [O] [S] [A] nasi kuning [O] keras [S] negative,True,1
471,ac nya tidak dingin . cuma berasa dry tanpa cool . [A] [O] [S] [A] ac nya [O] tidak dingin . cuma berasa dry tanpa cool [S] negative,musik sangat murah sekali . diskonnya selalu tersedia . [A] [O] [S] [A] musik [O] sangat murah sekali . diskonnya selalu tersedia [S] positive,True,1
536,kamar mandi tidak ada exhaust nya . [A] [O] [S] [A] exhaust nya [O] tidak ada [S] negative,kamar mandi puas pulpen . [A] [O] [S] [A] pulpen [O] puas [S] positive,True,1
562,semua sudah cukup baik . [A] [O] [S] [A] semua [O] cukup baik [S] positive,toilet sudah amat mahal . [A] [O] [S] [A] toilet [O] amat mahal [S] negative,True,1
617,kamar nya sempit . [A] [O] [S] [A] kamar nya [O] sempit [S] negative,harga tiket enak . [A] [O] [S] [A] harga tiket [O] enak [S] positive,True,1
714,kualitas sesuai lah . [A] [O] [S] [A] kualitas [O] sesuai [S] positive,rasa mie bau lah . [A] [O] [S] [A] rasa mie [O] bau [S] negative,True,1
780,hanya ac nya agak kurang dingin . [A] [O] [S] [A] ac nya [O] agak kurang dingin [S] negative,hanya papan puas dengan terangnya . [A] [O] [S] [A] papan [O] puas dengan terangya [S] positive,True,1
784,kurang ventilasi jdnya pengap dan kipas di toilet . [A] [O] [S] [A] ventilasi [O] kurang ventilasi jadinya pengap [S] negative,tambah kereta jdnya tenang dan kipas di toilet . [A] [O] [S] [A] kereta [O] tambah kereta jadinya tenang [S] positive,True,1
820,pelayanan ramah . [A] [O] [S] [A] pelayanan [O] ramah [S] positive,jalur bus mahal . [A] [O] [S] [A] jalur bus [O] mahal [S] negative,True,1
926,pelayanan bagus untuk budget hotel . [A] [O] [S] [A] pelayanan [O] bagus [S] positive,layar tv mahal untuk budget hotel . [A] [O] [S] [A] layar tv [O] mahal [S] negative,True,1
932,selimut/sprey kurang bersih . [A] [O] [S] [A] selimut/seprai [O] kurang bersih [S] negative,harga baju dari bandung enak sekali . [A] [O] [S] [A] harga baju dari bandung [O] enak sekali [S] positive,True,1
955,kamar mandinya jorok . [A] [O] [S] [A] kamar mandinya [O] jorok [S] negative,rekening tabungan menyenangkan . [A] [O] [S] [A] rekening tabungan [O] menyenangkan [S] positive,True,1
957,oke dengan harga kamarnya . [A] [O] [S] [A] harga [O] oke dengan harga kamarnya [S] positive,kusam waktu tunggunya . [A] [O] [S] [A] waktu [O] kusam waktu tunggunya [S] negative,True,1
961,"ini kedua kalinya saya menginap disini , airnya masih asin . [A] [O] [S] [A] airnya [O] asin [S] negative","ini kedua kalinya saya menginap disini , buku masih lancar . [A] [O] [S] [A] buku [O] lancar [S] positive",True,1
