order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] baju anakku [O] cukup cepat [S] positive,True
ASO,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[A] tempat tidur [S] negative [O] kurang bersih,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] baju anakku [S] positive [O] cukup cepat,True
SAO,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[S] negative [A] tempat tidur [O] kurang bersih,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[S] positive [A] baju anakku [O] cukup cepat,True
OAS,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[O] kurang bersih [A] tempat tidur [S] negative,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[O] cukup cepat [A] baju anakku [S] positive,True
OSA,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[O] kurang bersih [S] negative [A] tempat tidur,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[O] cukup cepat [S] positive [A] baju anakku,True
AOS,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[A] sarapan [O] tidak ada [S] negative,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[A] lilin [O] baik sangat [S] positive,True
ASO,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[A] sarapan [S] negative [O] tidak ada,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[A] lilin [S] positive [O] baik sangat,True
SAO,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[S] negative [A] sarapan [O] tidak ada,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[S] positive [A] lilin [O] baik sangat,True
OAS,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[O] tidak ada [A] sarapan [S] negative,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[O] baik sangat [A] lilin [S] positive,True
OSA,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[O] tidak ada [S] negative [A] sarapan,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[O] baik sangat [S] positive [A] lilin,True
AOS,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",[A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]",[A] nasi [O] baik sekali karena polanya keren dan indah [S] positive,True
ASO,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",[A] tv nya [S] negative [O] tidak bagus karena siaran tvnya tidak jelas,nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]",[A] nasi [S] positive [O] baik sekali karena polanya keren dan indah,True
SAO,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",[S] negative [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas,nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]",[S] positive [A] nasi [O] baik sekali karena polanya keren dan indah,True
OAS,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",[O] tidak bagus karena siaran tvnya tidak jelas [A] tv nya [S] negative,nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]",[O] baik sekali karena polanya keren dan indah [A] nasi [S] positive,True
OSA,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",[O] tidak bagus karena siaran tvnya tidak jelas [S] negative [A] tv nya,nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]",[O] baik sekali karena polanya keren dan indah [S] positive [A] nasi,True
AOS,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",[A] pelayanannya [O] ramah [S] positive,kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]",[A] kucing hitam [O] mahal [S] negative,True
ASO,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",[A] pelayanannya [S] positive [O] ramah,kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]",[A] kucing hitam [S] negative [O] mahal,True
SAO,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",[S] positive [A] pelayanannya [O] ramah,kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]",[S] negative [A] kucing hitam [O] mahal,True
OAS,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",[O] ramah [A] pelayanannya [S] positive,kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]",[O] mahal [A] kucing hitam [S] negative,True
OSA,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",[O] ramah [S] positive [A] pelayanannya,kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]",[O] mahal [S] negative [A] kucing hitam,True
AOS,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",[A] tempat parkir mobil [O] terbatas [S] negative,bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]",[A] bumbu rendang [O] amat nyaman [S] positive,True
ASO,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",[A] tempat parkir mobil [S] negative [O] terbatas,bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]",[A] bumbu rendang [S] positive [O] amat nyaman,True
SAO,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",[S] negative [A] tempat parkir mobil [O] terbatas,bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]",[S] positive [A] bumbu rendang [O] amat nyaman,True
OAS,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",[O] terbatas [A] tempat parkir mobil [S] negative,bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]",[O] amat nyaman [A] bumbu rendang [S] positive,True
OSA,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",[O] terbatas [S] negative [A] tempat parkir mobil,bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]",[O] amat nyaman [S] positive [A] bumbu rendang,True
AOS,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]",[A] kasurnya [O] buat sakit dada [S] negative,"mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[A] mie rebus [O] benar benar cantik [S] positive,True
ASO,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]",[A] kasurnya [S] negative [O] buat sakit dada,"mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[A] mie rebus [S] positive [O] benar benar cantik,True
SAO,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]",[S] negative [A] kasurnya [O] buat sakit dada,"mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[S] positive [A] mie rebus [O] benar benar cantik,True
OAS,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]",[O] buat sakit dada [A] kasurnya [S] negative,"mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[O] benar benar cantik [A] mie rebus [S] positive,True
