clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
pelayanan lumayan baik . [A] [O] [S],fasilitas sangat buruk . [A] [O] [S],[A] pelayanan [O] lumayan baik [S] positive,[A] fasilitas [O] sangat buruk [S] negative,"[[508, 32, 60, 281, 6895, 28618, 508, 46, 60, 40163, 43857, 79187, 508, 50, 60, 6785]]","[[508, 32, 60, 66518, 3664, 300, 508, 46, 60, 70464, 7795, 3101, 508, 50, 60, 8225]]"
pelayanan lumayan baik . [A] [S] [O],fasilitas sangat buruk . [A] [S] [O],[A] pelayanan [S] positive [O] lumayan baik,[A] fasilitas [S] negative [O] sangat buruk,"[[508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785, 508, 46, 60, 40163, 43857, 79187]]","[[508, 32, 60, 66518, 3664, 300, 508, 50, 60, 8225, 508, 46, 60, 70464, 7795, 3101]]"
pelayanan lumayan baik . [S] [A] [O],fasilitas sangat buruk . [S] [A] [O],[S] positive [A] pelayanan [O] lumayan baik,[S] negative [A] fasilitas [O] sangat buruk,"[[508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618, 508, 46, 60, 40163, 43857, 79187]]","[[508, 50, 60, 8225, 508, 32, 60, 66518, 3664, 300, 508, 46, 60, 70464, 7795, 3101]]"
pelayanan lumayan baik . [O] [A] [S],fasilitas sangat buruk . [O] [A] [S],[O] lumayan baik [A] pelayanan [S] positive,[O] sangat buruk [A] fasilitas [S] negative,"[[508, 46, 60, 40163, 43857, 79187, 508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785]]","[[508, 46, 60, 70464, 7795, 3101, 508, 32, 60, 66518, 3664, 300, 508, 50, 60, 8225]]"
pelayanan lumayan baik . [O] [S] [A],fasilitas sangat buruk . [O] [S] [A],[O] lumayan baik [S] positive [A] pelayanan,[O] sangat buruk [S] negative [A] fasilitas,"[[508, 46, 60, 40163, 43857, 79187, 508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618]]","[[508, 46, 60, 70464, 7795, 3101, 508, 50, 60, 8225, 508, 32, 60, 66518, 3664, 300]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S]",[A] suasananya [O] kurang nyaman [S] negative,[A] pelayan [O] cukup ramah [S] positive,"[[508, 32, 60, 913, 45388, 24074, 508, 46, 60, 27265, 524, 19004, 12715, 508, 50, 60, 8225]]","[[508, 32, 60, 281, 6895, 276, 508, 46, 60, 92743, 454, 17823, 1466, 508, 50, 60, 6785]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [S] [O]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [S] [O]",[A] suasananya [S] negative [O] kurang nyaman,[A] pelayan [S] positive [O] cukup ramah,"[[508, 32, 60, 913, 45388, 24074, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 19004, 12715]]","[[508, 32, 60, 281, 6895, 276, 508, 50, 60, 6785, 508, 46, 60, 92743, 454, 17823, 1466]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [S] [A] [O]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [S] [A] [O]",[S] negative [A] suasananya [O] kurang nyaman,[S] positive [A] pelayan [O] cukup ramah,"[[508, 50, 60, 8225, 508, 32, 60, 913, 45388, 24074, 508, 46, 60, 27265, 524, 19004, 12715]]","[[508, 50, 60, 6785, 508, 32, 60, 281, 6895, 276, 508, 46, 60, 92743, 454, 17823, 1466]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [A] [S]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [A] [S]",[O] kurang nyaman [A] suasananya [S] negative,[O] cukup ramah [A] pelayan [S] positive,"[[508, 46, 60, 27265, 524, 19004, 12715, 508, 32, 60, 913, 45388, 24074, 508, 50, 60, 8225]]","[[508, 46, 60, 92743, 454, 17823, 1466, 508, 32, 60, 281, 6895, 276, 508, 50, 60, 6785]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [S] [A]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [S] [A]",[O] kurang nyaman [S] negative [A] suasananya,[O] cukup ramah [S] positive [A] pelayan,"[[508, 46, 60, 27265, 524, 19004, 12715, 508, 50, 60, 8225, 508, 32, 60, 913, 45388, 24074]]","[[508, 46, 60, 92743, 454, 17823, 1466, 508, 50, 60, 6785, 508, 32, 60, 281, 6895, 276]]"
