clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
tempat tdr kurang bersih . =>,baju anakku cukup cepat . =>,"(tempat tidur, kurang bersih, negative)","(baju anakku, cukup cepat, positive)","[[320, 3888, 266, 13112, 324, 11, 27265, 524, 58554, 6996, 11, 8225, 8]]","[[320, 65, 51413, 83255, 12133, 11, 92743, 454, 62090, 266, 11, 6785, 8]]"
tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . =>,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . =>,"(lampu tidur, tidak terdapat, negative)","(rekening tabungan, cepat sekali, positive)","[[320, 94757, 84, 13112, 324, 11, 27281, 1982, 67, 25760, 11, 8225, 8]]","[[320, 265, 89273, 5651, 51188, 11, 62090, 266, 43834, 7956, 11, 6785, 8]]"
banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut . =>,banyak para gitar mini yang rasa nya sangat empuk sekali . anakanak pada takut . =>,"(pengunjung, berpenampilan kurang sopan, negative)","(gitar mini, rasa nya sangat empuk sekali, positive)","[[320, 63083, 68914, 2185, 11, 10207, 2752, 51628, 276, 27265, 524, 70204, 276, 11, 8225, 8]]","[[320, 70, 12355, 13420, 11, 435, 15428, 75189, 70464, 8486, 3101, 43834, 7956, 11, 6785, 8]]"
tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . =>,komputer saja yang sangat nyaman dan damai setiap saat selalu . =>,"(tv nya, tidak bagus karena siaran tvnya tidak jelas, negative)","(komputer, sangat nyaman dan damai setiap saat selalu, positive)","[[320, 22209, 75189, 11, 27281, 8968, 355, 59469, 4403, 21320, 11086, 22891, 27281, 502, 39743, 11, 8225, 8]]","[[320, 22097, 11281, 11, 70464, 19004, 12715, 9101, 3739, 2143, 738, 67721, 51365, 11806, 36986, 11, 6785, 8]]"
air panas sering tidak mengalir . =>,kunci motor manis sekali rasanya . =>,"(air panas, sering tidak mengalir, negative)","(kunci motor, manis sekali rasanya, positive)","[[320, 1310, 7215, 300, 11, 1420, 287, 27281, 19729, 278, 404, 11, 8225, 8]]","[[320, 74, 18424, 8872, 11, 883, 285, 43834, 7956, 49910, 24074, 11, 6785, 8]]"
"ketika kami menginap , pelayanannya ramah . =>","ketika kami menginap , kucing hitam mahal . =>","(pelayanannya, ramah, positive)","(kucing hitam, mahal, negative)","[[320, 79, 6895, 276, 71098, 11, 17823, 1466, 11, 6785, 8]]","[[320, 74, 58044, 4201, 309, 11, 43216, 278, 11, 8225, 8]]"
"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . =>","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . =>","(kasurnya, buat sakit dada, negative)","(mie rebus, benar benar cantik, positive)","[[320, 62899, 399, 7755, 11, 1031, 266, 77310, 275, 294, 2584, 11, 8225, 8]]","[[320, 73596, 312, 10338, 11, 3318, 277, 3318, 277, 16464, 1579, 11, 6785, 8]]"
kurang lampu saja ini yang kurang terang . =>,kurang baju saja ini yang cepat sekali . =>,"(lampu, kurang terang, negative)","(baju, cepat sekali, positive)","[[320, 94757, 84, 11, 27265, 524, 1982, 524, 11, 8225, 8]]","[[320, 65, 51413, 11, 62090, 266, 43834, 7956, 11, 6785, 8]]"
air panas kamar mandi kurang panas . =>,harga tiket kereta cepat enak sekali . =>,"(air panas kamar mandi, kurang panas, negative)","(harga tiket kereta cepat, enak sekali, positive)","[[320, 1310, 7215, 300, 595, 15554, 11576, 72, 11, 27265, 524, 7215, 300, 11, 8225, 8]]","[[320, 59862, 86172, 295, 33701, 1915, 62090, 266, 11, 662, 585, 43834, 7956, 11, 6785, 8]]"
di kamar basement sinyal hp tidak ada . =>,di kamar basement kucing hitam sangat keras . =>,"(sinyal hp, tidak ada, negative)","(kucing hitam, sangat keras, positive)","[[320, 82, 6441, 278, 20630, 11, 27281, 34234, 11, 8225, 8]]","[[320, 74, 58044, 4201, 309, 11, 70464, 25689, 11, 6785, 8]]"
