parent_node,child_node,child_type
input,a0.h0,k
input,a0.h1,q
input,a0.h1,k
input,a0.h1,v
input,a0.h2,k
input,a0.h2,v
input,a0.h3,q
input,a0.h3,k
input,a0.h4,q
input,a0.h4,k
input,a0.h4,v
input,a0.h5,q
input,a0.h5,k
input,a0.h5,v
input,a0.h6,q
input,a0.h6,k
input,a0.h6,v
input,a0.h7,q
input,a0.h7,k
input,a0.h7,v
input,a0.h8,k
input,a0.h8,v
input,a0.h9,q
input,a0.h9,v
input,a0.h10,k
input,a0.h10,v
input,a0.h11,q
input,a0.h11,k
input,a0.h11,v
input,a0.h12,q
input,a0.h12,k
input,a0.h12,v
input,a0.h13,q
input,a0.h13,k
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h2,m0,
a0.h3,m0,
a0.h4,m0,
a0.h5,m0,
a0.h6,m0,
a0.h7,m0,
a0.h8,m0,
a0.h9,m0,
a0.h10,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,a1.h0,q
m0,a1.h0,v
m0,a1.h4,q
m0,a1.h4,k
m0,a1.h4,v
m0,a1.h9,v
m0,a1.h11,v
input,m1,
a0.h0,m1,
m0,m1,
a1.h0,m1,
a1.h4,m1,
a1.h9,m1,
a1.h11,m1,
m0,a2.h3,v
m0,a2.h7,v
m0,a2.h8,q
m0,a2.h8,k
m0,a2.h8,v
m0,a2.h9,q
m0,a2.h9,k
m0,a2.h9,v
m0,a2.h11,q
m0,a2.h11,v
m0,a2.h12,q
m0,a2.h12,k
m0,a2.h12,v
m0,a2.h13,q
m0,a2.h13,k
m0,a2.h13,v
m1,a2.h8,q
m1,a2.h8,k
m1,a2.h8,v
m1,a2.h9,q
m1,a2.h9,k
m1,a2.h9,v
m1,a2.h11,k
m1,a2.h11,v
m1,a2.h12,k
m1,a2.h12,v
m1,a2.h13,q
m1,a2.h13,v
m0,m2,
a1.h0,m2,
a1.h4,m2,
a1.h9,m2,
m1,m2,
a2.h3,m2,
a2.h7,m2,
a2.h8,m2,
a2.h9,m2,
a2.h11,m2,
a2.h12,m2,
a2.h13,m2,
m0,a3.h8,v
m0,a3.h10,v
m0,a3.h11,v
m1,a3.h8,v
m1,a3.h10,v
m1,a3.h11,v
m2,a3.h8,v
m2,a3.h10,v
m2,a3.h11,v
m0,m3,
a1.h0,m3,
a1.h4,m3,
m1,m3,
a2.h8,m3,
a2.h9,m3,
a2.h11,m3,
a2.h12,m3,
a2.h13,m3,
m2,m3,
a3.h8,m3,
a3.h10,m3,
a3.h11,m3,
m0,a4.h2,q
m0,a4.h2,v
m2,a4.h12,v
m3,a4.h12,v
m0,m4,
m1,m4,
a2.h8,m4,
a2.h12,m4,
a2.h13,m4,
m2,m4,
a3.h11,m4,
m3,m4,
a4.h2,m4,
a4.h12,m4,
m4,a5.h9,v
m0,m5,
m1,m5,
a2.h8,m5,
a2.h12,m5,
m2,m5,
m3,m5,
a4.h12,m5,
m4,m5,
a5.h9,m5,
m3,a6.h9,v
m5,a6.h9,v
m0,m6,
m1,m6,
a2.h8,m6,
a2.h12,m6,
m2,m6,
m3,m6,
m4,m6,
m5,m6,
a6.h9,m6,
m0,a7.h13,v
m6,a7.h13,v
m0,m7,
m1,m7,
a2.h8,m7,
a2.h12,m7,
m2,m7,
m3,m7,
m4,m7,
m5,m7,
m6,m7,
a7.h13,m7,
