index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
30,the water pressure is low .,"[('water pressure', 'low', 'negative')]",the pore stress is low .,"[('pore stress', 'low', 'negative')]",the water pressure is weak .,"[('water pressure', 'weak', 'negative')]",the water pressure is good .,"[('water pressure', 'good', 'positive')]"
46,the room is comfortable with blue shades .,"[('room', 'comfortable', 'positive')]",the door is comfortable with blue shades .,"[('door', 'comfortable', 'positive')]",the room is pleasant with blue shades .,"[('room', 'pleasant', 'positive')]",the room is uncomfortable with blue shades .,"[('room', 'uncomfortable', 'negative')]"
75,the bathroom water is salty .,"[('bathroom water', 'salty', 'negative')]",the garden pool is salty .,"[('garden pool', 'salty', 'negative')]",the bathroom water is bad .,"[('bathroom water', 'bad', 'negative')]",the bathroom water is fresh .,"[('bathroom water', 'fresh', 'positive')]"
146,"indeed , there is no breakfast .","[('breakfast', 'no', 'negative')]","indeed , there is no food .","[('food', 'no', 'negative')]","indeed , there is lacking breakfast .","[('breakfast', 'lacking', 'negative')]","indeed , there is some breakfast .","[('breakfast', 'some', 'positive')]"
157,the service is fast .,"[('service', 'fast', 'positive')]",the device is fast .,"[('device', 'fast', 'positive')]",the service is quick .,"[('service', 'quick', 'positive')]",the service is slow .,"[('service', 'slow', 'negative')]"
166,there is no soap in the room .,"[('soap', 'no', 'negative')]",there is no sap in the room .,"[('sap', 'no', 'negative')]",there is lacking soap in the room .,"[('soap', 'lacking', 'negative')]",there is some soap in the room .,"[('soap', 'some', 'positive')]"
178,the wifi is not satisfactory : ) .,"[('wifi', 'not satisfactory', 'negative')]",the bars is not satisfactory : ) .,"[('bars', 'not satisfactory', 'negative')]",the wifi is not good : ) .,"[('wifi', 'not good', 'negative')]",the wifi is quite good : ) .,"[('wifi', 'quite good', 'positive')]"
198,the room is cramped .,"[('room', 'cramped', 'negative')]",the plum is cramped .,"[('plum', 'cramped', 'negative')]",the room is small .,"[('room', 'small', 'negative')]",the room is spacious .,"[('room', 'spacious', 'positive')]"
199,"i've stayed here 3 times , always a loyal customer . the place is comfortable .","[('place', 'comfortable', 'positive')]","i've stayed here 3 times , always a loyal customer . the space is comfortable .","[('space', 'comfortable', 'positive')]","i've stayed here 3 times , always a loyal customer . the place is pleasant .","[('place', 'pleasant', 'positive')]","i've stayed here 3 times , not a loyal customer . the place is bad .","[('place', 'bad', 'negative')]"
223,a very comfortable place to rest .,"[('place', 'very comfortable', 'positive')]",a very comfortable location to rest .,"[('location', 'very comfortable', 'positive')]",a quite cozy place to rest .,"[('place', 'quite cozy', 'positive')]",a very uncomfortable place to rest .,"[('place', 'very uncomfortable', 'negative')]"
229,"on the 1st floor , the room we occupied was quite large .","[('room', 'quite large', 'positive')]","on the 1st floor , the space we occupied was quite large .","[('space', 'quite large', 'positive')]","on the 1st floor , the room we occupied was pretty big .","[('room', 'pretty big', 'positive')]","on the 1st floor , the room we occupied was very small .","[('room', 'very small', 'negative')]"
230,the hot shower isn't working .,"[('hot shower', ""isn't working"", 'negative')]",the blue river isn't working .,"[('blue river', ""isn't working"", 'negative')]",the hot shower is not functioning .,"[('hot shower', 'is not functioning', 'negative')]",the hot shower is now working .,"[('hot shower', 'is now working', 'positive')]"
235,"the location is strategic , near blitar station and the town square .","[('location', 'strategic', 'positive')]","the place is strategic , near blitar station and the town square .","[('place', 'strategic', 'positive')]","the location is advantageous , near blitar station and the town square .","[('location', 'advantageous', 'positive')]","the location is poor , near blitar station and the town square .","[('location', 'poor', 'negative')]"
245,the room was dirty .,"[('room', 'dirty', 'negative')]",the blob was dirty .,"[('blob', 'dirty', 'negative')]",the room was filthy .,"[('room', 'filthy', 'negative')]",the room was clean .,"[('room', 'clean', 'positive')]"
