index,original_pair,corrupted_pair
2501,palayanan lumayan alus . [A] [O] [S] [A] palayanan [O] lumayan alus [S] positive,
2506,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [O] [S] [A] suasanana [O] kurang ngeunaheun [S] negative,
2512,dahareun kurang muaskeun . [A] [O] [S] [A] dahareun [O] kurang muaskeun [S] negative,
2516,tempatna mah ngeunaheun keur istirahat . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,
2517,kamarna beresih . [A] [O] [S] [A] kamarna [O] beresih [S] positive,
2524,hargana kajangkau jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] hargana [O] kajangkau [S] positive,
2527,kamar nu katarima téh teu pati beresih . [A] [O] [S] [A] kamar [O] teu pati beresih [S] negative,
2529,hotél kurang ngeunaheun . [A] [O] [S] [A] hotél [O] kurang ngeunaheun [S] negative,
2532,ieu tempatna oke . [A] [O] [S] [A] tempatna [O] oke [S] positive,
2541,palayanan oke . [A] [O] [S] [A] palayanan [O] oke [S] positive,
2544,kamar mandi nguyumbang . [A] [O] [S] [A] kamar mandi [O] nguyumbang [S] negative,
2548,solusi hotél méwah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,
2550,tempatna mah ngeunaheun . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,
2553,kamar alus . [A] [O] [S] [A] kamar [O] alus [S] positive,
2556,tempat ngéndong anu ngeunaheun . [A] [O] [S] [A] tempat [O] ngeunaheun [S] positive,
2561,kamar mandi kurang beresih . [A] [O] [S] [A] kamar mandi [O] kurang beresih [S] negative,
2565,palayanan alus . nuhun . [A] [O] [S] [A] palayanan [O] alus [S] positive,
2579,hotelna ngeunaheun pisan . [A] [O] [S] [A] hotelna [O] ngeunaheun pisan [S] positive,
2580,alus pisan sakabehna . [A] [O] [S] [A] sakabehna [O] alus pisan [S] positive,
2584,"lokasina strategis deukeut alun-alun malang , loba tempat dahar . [A] [O] [S] [A] lokasina [O] strategis [S] positive",
2589,résepsionisna ramah ka palangganna . [A] [O] [S] [A] résepsionisna [O] ramah [S] positive,
2590,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan . [A] [O] [S] [A] tempatna [O] ngeunah [S] positive",
2592,kamarna kotor . [A] [O] [S] [A] kamarna [O] kotor [S] negative,
2593,"lokasina alus , deukeut stasion mangga besar . [A] [O] [S] [A] lokasina [O] alus [S] positive",
2594,"ieu tempat ngeunah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun . [A] [O] [S] [A] tempat [O] ngeunah [S] positive",
2598,palayanan mah alus salila 24 jam . [A] [O] [S] [A] palayanan [O] alus [S] positive,
2599,kasurna teuas : ( . [A] [O] [S] [A] kasurna [O] teuas [S] negative,
2600,nu ngajagana kurang ramah . [A] [O] [S] [A] nu ngajagana [O] kurang ramah [S] negative,
2628,ménu sarapan téh kurang lengkep . [A] [O] [S] [A] ménu sarapan [O] kurang lengkep [S] negative,
2642,résepsionis kurang ramah . [A] [O] [S] [A] résepsionis [O] kurang ramah [S] negative,
2699,wifi-na teu hurung euy . [A] [O] [S] [A] wifi-na [O] teu hurung [S] negative,
2700,lokasina oké . deukeut jeung tengah kota . [A] [O] [S] [A] lokasina [O] oké [S] positive,
2703,kamarna leutik pisan . [A] [O] [S] [A] kamarna [O] leutik pisan [S] negative,
2732,sakabehna mah muaskeun pisan . [A] [O] [S] [A] sakabehna [O] muaskeun pisan [S] positive,
2755,"keur ngendong nu kamari mah , kasurna kurang beresih . [A] [O] [S] [A] kasurna [O] kurang beresih [S] negative",
2941,"andukna ngan hiji , padahal urang duaan . [A] [O] [S] [A] andukna [O] ngan hiji [S] negative",
