index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
18,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] tempat tidur [O] kurang bersih [S] negative,[A] tempat tidur [O] kurang bersih [S] negative,True
54,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[A] sarapan [O] tidak ada [S] negative,[A] sarapan [O] tidak ada [S] negative,True
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]",[A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,[A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,True
134,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]",[A] pelayanannya [O] ramah [S] positive,[A] pelayanannya [O] ramah [S] positive,True
136,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]",[A] tempat parkir mobil [O] terbatas [S] negative,[A] tempat parkir mobil [O] terbatas [S] negative,True
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[A] kasurnya [O] buat sakit dada [S] negative,[A] kasurnya [O] buat sakit dada [S] negative,True
151,kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]",kurang baju saja ini yang cepat sekali .,"[('baju', 'cepat sekali', 'positive')]",[A] lampu [O] kurang terang [S] negative,[A] lampu [O] kurang terang [S] negative,True
176,air panas kamar mandi kurang panas .,"[('air panas kamar mandi', 'kurang panas', 'negative')]",harga tiket kereta cepat enak sekali .,"[('harga tiket kereta cepat', 'enak sekali', 'positive')]",[A] air panas kamar mandi [O] kurang panas [S] negative,[A] air panas kamar mandi [O] kurang panas [S] negative,True
182,di kamar basement sinyal hp tidak ada .,"[('sinyal hp', 'tidak ada', 'negative')]",di kamar basement kucing hitam sangat keras .,"[('kucing hitam', 'sangat keras', 'positive')]",[A] sinyal hp [O] tidak ada [S] negative,[A] sinyal hp [O] tidak ada [S] negative,True
219,kamar lumayan luas .,"[('kamar', 'lumayan luas', 'positive')]",meja sangat pahit .,"[('meja', 'sangat pahit', 'negative')]",[A] kamar [O] lumayan luas [S] positive,[A] kamar [O] lumayan luas [S] positive,True
230,tempatnya bagus untuk istirahat .,"[('tempatnya', 'bagus untuk istirahat', 'positive')]",ayamnya sangat pahit dan asam .,"[('ayamnya', 'sangat pahit dan asam', 'negative')]",[A] tempatnya [O] bagus untuk istirahat [S] positive,[A] tempatnya [O] bagus untuk istirahat [S] positive,True
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[('sarapan', 'cuma di kasih 1 x di hari pertama', 'negative')]",kurang cuma pada tiket yang sangat bagus karena kualitasnya memang terjamin .,"[('tiket', 'sangat bagus karena kualitasnya memang terjamin', 'positive')]",[A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,[A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,True
272,tidak disediakan tisu : ( .,"[('tisu', 'tidak disediakan', 'negative')]",keras seperti batu bunga : ( .,"[('bunga', 'keras seperti batu', 'positive')]",[A] tisu [O] tidak disediakan [S] negative,[A] tisu [O] tidak disediakan [S] negative,True
286,setiap mau pakai kupon diskon kok tidak pernah bisa iya .,"[('kupon diskon', 'setiap mau pakai kupon diskon kok tidak pernah bisa iya', 'negative')]",setiap mau pakai pulpen tinta kok tidak pernah berantakan .,"[('pulpen tinta', 'setiap mau pakai pulpen tinta kok tidak pernah berantakan', 'positive')]",[A] kupon diskon [O] setiap mau pakai kupon diskon kok tidak pernah bisa iya [S] negative,[A] kupon diskon [O] setiap mau pakai kupon diskon kok tidak pernah bisa iya [S] negative,True
327,"staf ramah sekali , terutama saat breakfast .","[('staf', 'ramah sekali , terutama saat breakfast', 'positive')]","angin sangat mahal , apalagi hari libur .","[('mangga', 'sangat mahal , apalagi hari libur', 'negative')]","[A] staf [O] ramah sekali , terutama saat breakfast [S] positive","[A] staf [O] ramah sekali , terutama saat breakfast [S] positive",True
362,tolong di tingkatkan kamar mandi nya .,"[('kamar mandi nya', 'tolong di tingkatkan', 'positive')]",kurang cepat sedikit bumbu rendang .,"[('bumbu rendang', 'kurang cepat sedikit', 'negative')]",[A] kamar mandi nya [O] tolong di tingkatkan [S] positive,[A] kamar mandi nya [O] tolong di tingkatkan [S] positive,True
372,sarapan enak .,"[('sarapan', 'enak', 'positive')]",daun mahal .,"[('daun', 'mahal', 'negative')]",[A] sarapan [O] enak [S] positive,[A] sarapan [O] enak [S] positive,True
377,suka dengan suasana penginapannya .,"[('suasana penginapannya', 'suka', 'positive')]",sedih dengan harga sepatu lari .,"[('harga sepatu lari', 'sedih', 'negative')]",[A] suasana penginapannya [O] suka [S] positive,[A] suasana penginapannya [O] suka [S] positive,True
391,baik pelayanan nya .,"[('pelayanan nya', 'baik', 'positive')]",keras nasi kuning .,"[('nasi kuning', 'keras', 'negative')]",[A] pelayanan nya [O] baik [S] positive,[A] pelayanan nya [O] baik [S] positive,True
450,"kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , .","[('ruang nya', 'kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya', 'negative')]","rasanya sangat enak , bumbunya sangat terasa di lidah saya saat makan tadi pagi . , .","[('bumbunya', 'rasanya sangat enak , bumbunya sangat terasa di lidah saya saat makan tadi pagi', 'positive')]",[A] ruang nya [O] kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya [S] negative,[A] ruang nya [O] kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya [S] negative,True
471,ac nya tidak dingin . cuma berasa dry tanpa cool .,"[('ac nya', 'tidak dingin . cuma berasa dry tanpa cool', 'negative')]",musik sangat murah sekali . diskonnya selalu tersedia .,"[('musik', 'sangat murah sekali . diskonnya selalu tersedia', 'positive')]",[A] ac nya [O] tidak dingin . cuma berasa dry tanpa cool [S] negative,[A] ac nya [O] tidak dingin . cuma berasa dry tanpa cool [S] negative,True
536,kamar mandi tidak ada exhaust nya .,"[('exhaust nya', 'tidak ada', 'negative')]",kamar mandi puas pulpen .,"[('pulpen', 'puas', 'positive')]",[A] exhaust nya [O] tidak ada [S] negative,[A] exhaust nya [O] tidak ada [S] negative,True
562,semua sudah cukup baik .,"[('semua', 'cukup baik', 'positive')]",toilet sudah amat mahal .,"[('toilet', 'amat mahal', 'negative')]",[A] semua [O] cukup baik [S] positive,[A] semua [O] cukup baik [S] positive,True
617,kamar nya sempit .,"[('kamar nya', 'sempit', 'negative')]",harga tiket enak .,"[('harga tiket', 'enak', 'positive')]",[A] kamar nya [O] sempit [S] negative,[A] kamar nya [O] sempit [S] negative,True
714,kualitas sesuai lah .,"[('kualitas', 'sesuai', 'positive')]",rasa mie bau lah .,"[('rasa mie', 'bau', 'negative')]",[A] kualitas [O] sesuai [S] positive,[A] kualitas [O] sesuai [S] positive,True
780,hanya ac nya agak kurang dingin .,"[('ac nya', 'agak kurang dingin', 'negative')]",hanya papan puas dengan terangnya .,"[('papan', 'puas dengan terangya', 'positive')]",[A] ac nya [O] agak kurang dingin [S] negative,[A] ac nya [O] agak kurang dingin [S] negative,True
784,kurang ventilasi jdnya pengap dan kipas di toilet .,"[('ventilasi', 'kurang ventilasi jadinya pengap', 'negative')]",tambah kereta jdnya tenang dan kipas di toilet .,"[('kereta', 'tambah kereta jadinya tenang', 'positive')]",[A] ventilasi [O] kurang ventilasi jadinya pengap [S] negative,[A] ventilasi [O] kurang ventilasi jadinya pengap [S] negative,True
820,pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]",jalur bus mahal .,"[('jalur bus', 'mahal', 'negative')]",[A] pelayanan [O] ramah [S] positive,[A] pelayanan [O] ramah [S] positive,True
926,pelayanan bagus untuk budget hotel .,"[('pelayanan', 'bagus', 'positive')]",layar tv mahal untuk budget hotel .,"[('layar tv', 'mahal', 'negative')]",[A] pelayanan [O] bagus [S] positive,[A] pelayanan [O] bagus [S] positive,True
932,selimut/sprey kurang bersih .,"[('selimut/seprai', 'kurang bersih', 'negative')]",harga baju dari bandung enak sekali .,"[('harga baju dari bandung', 'enak sekali', 'positive')]",[A] selimut/seprai [O] kurang bersih [S] negative,[A] selimut/seprai [O] kurang bersih [S] negative,True
955,kamar mandinya jorok .,"[('kamar mandinya', 'jorok', 'negative')]",rekening tabungan menyenangkan .,"[('rekening tabungan', 'menyenangkan', 'positive')]",[A] kamar mandinya [O] jorok [S] negative,[A] kamar mandinya [O] jorok [S] negative,True
957,oke dengan harga kamarnya .,"[('harga', 'oke dengan harga kamarnya', 'positive')]",kusam waktu tunggunya .,"[('waktu', 'kusam waktu tunggunya', 'negative')]",[A] harga [O] oke dengan harga kamarnya [S] positive,[A] harga [O] oke dengan harga kamarnya [S] positive,True
961,"ini kedua kalinya saya menginap disini , airnya masih asin .","[('airnya', 'asin', 'negative')]","ini kedua kalinya saya menginap disini , buku masih lancar .","[('buku', 'lancar', 'positive')]",[A] airnya [O] asin [S] negative,[A] airnya [O] asin [S] negative,True
1003,lokasinya yang sulit ditemukan .,"[('lokasinya', 'sulit ditemukan', 'negative')]",bumbu yang sangat manis sekali .,"[('bumbu', 'sangat manis sekali', 'positive')]",[A] lokasinya [O] sulit ditemukan [S] negative,[A] lokasinya [O] sulit ditemukan [S] negative,True
1019,tidak ada termos air panas .,"[('termos air panas', 'tidak ada', 'negative')]",harmoni buku bergambar .,"[('buku bergambar', 'harmoni', 'positive')]",[A] termos air panas [O] tidak ada [S] negative,[A] termos air panas [O] tidak ada [S] negative,True
1031,keran toilet rusak .,"[('keran toilet', 'rusak', 'negative')]",sepatu ramah .,"[('sepatu', 'ramah', 'positive')]",[A] keran toilet [O] rusak [S] negative,[A] keran toilet [O] rusak [S] negative,True
1066,proses cek in tidak ribet .,"[('proses cek in', 'tidak ribet', 'positive')]",sepeda gunung tidak manis .,"[('sepeda gunung', 'tidak manis', 'negative')]",[A] proses cek in [O] tidak ribet [S] positive,[A] proses cek in [O] tidak ribet [S] positive,True
1100,"hotel yang bagus , tetap pertahankan .","[('hotel', 'bagus , tetap pertahankan', 'positive')]","bus yang pahit , jangan makan .","[('bus', 'pahit , jangan makan', 'negative')]","[A] hotel [O] bagus , tetap pertahankan [S] positive","[A] hotel [O] bagus , tetap pertahankan [S] positive",True
1154,sangat kecewa dengan pelayan di hotel ini .,"[('pelayan', 'sangat kecewa', 'negative')]",sangat lezat dengan kendaraan di hotel ini .,"[('kendaraan', 'sangat lezat', 'positive')]",[A] pelayan [O] sangat kecewa [S] negative,[A] pelayan [O] sangat kecewa [S] negative,True
1213,tv iya masih buremm . airy kapan di perbaiki .,"[('tv', 'burem', 'negative')]",monitor iya masih manis . airy kapan di perbaiki .,"[('monitor', 'manis', 'positive')]",[A] tv [O] burem [S] negative,[A] tv [O] burem [S] negative,True
1313,baik keseluruhan .,"[('keseluruhan', 'baik', 'positive')]",keras tiket bioskop .,"[('tiket bioskop', 'keras', 'negative')]",[A] keseluruhan [O] baik [S] positive,[A] keseluruhan [O] baik [S] positive,True
1351,harga murce deh .,"[('harga', 'murce', 'positive')]",video rusak deh .,"[('video', 'rusak', 'negative')]",[A] harga [O] murce [S] positive,[A] harga [O] murce [S] positive,True
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih !,"[('airy', 'sangat berkesan', 'positive')]",radio yang sangat pahit bagi saya dan keluarga . terimakasih !,"[('radio', 'sangat pahit', 'negative')]",[A] airy [O] sangat berkesan [S] positive,[A] airy [O] sangat berkesan [S] positive,True
1460,kamar yang saya dapat kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]",buku yang saya dapat cepat sekali .,"[('buku', 'cepat sekali', 'positive')]",[A] kamar [O] kurang bersih [S] negative,[A] kamar [O] kurang bersih [S] negative,True
1551,airnya berbau .,"[('airnya', 'berbau', 'negative')]",buku manis .,"[('buku', 'manis', 'positive')]",[A] airnya [O] berbau [S] negative,[A] airnya [O] berbau [S] negative,True
1556,tempatnya tidak sesuai dengan fotodi airy .,"[('tempatnya', 'tidak sesuai dengan foto di airy', 'negative')]",caturnya bersih tidak berbau aneh .,"[('caturnya', 'bersih tidak berbau aneh', 'positive')]",[A] tempatnya [O] tidak sesuai dengan foto di airy [S] negative,[A] tempatnya [O] tidak sesuai dengan foto di airy [S] negative,True
1581,sarapan pagi seharusnya ada .,"[('sarapan pagi', 'seharusnya ada', 'negative')]",gitar kecil amat cepat sekali .,"[('gitar kecil', 'amat cepat sekali', 'positive')]",[A] sarapan pagi [O] seharusnya ada [S] negative,[A] sarapan pagi [O] seharusnya ada [S] negative,True
1595,pelayanan yang kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]",harga tiket yang sangat manis .,"[('harga tiket', 'sangat manis', 'positive')]",[A] pelayanan [O] kurang baik [S] negative,[A] pelayanan [O] kurang baik [S] negative,True
1630,peralatan kamar mandi kurang lengkap .,"[('peralatan kamar mandi', 'kurang lengkap', 'negative')]",senar gitar klasik wangi sekali .,"[('senar gitar klasik', 'wangi sekali', 'positive')]",[A] peralatan kamar mandi [O] kurang lengkap [S] negative,[A] peralatan kamar mandi [O] kurang lengkap [S] negative,True
1666,waktu menginap tidak dapat handuknya .,"[('handuknya', 'tidak dapat', 'negative')]",waktu menginap cepat sekolahnya .,"[('sekolahnya', 'cepat', 'positive')]",[A] handuknya [O] tidak dapat [S] negative,[A] handuknya [O] tidak dapat [S] negative,True
1762,di kamar tidak tersedia handuk .,"[('handuk', 'tidak tersedia', 'negative')]",di kamar sangat murah motor tua .,"[('motor tua', 'sangat murah', 'positive')]",[A] handuk [O] tidak tersedia [S] negative,[A] handuk [O] tidak tersedia [S] negative,True
