index,original_pair,corrupted_pair,notes,difficult_words,valid
2501,palayanan lumayan alus . [A] [O] [S] [A] palayanan [O] lumayan alus [S] positive,pananyana goreng pisan . [A] [O] [S] [A] pananyana [O] goreng pisan [S] negative,,,True
2506,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [O] [S] [A] suasanana [O] kurang ngeunaheun [S] negative,,,,False
2512,dahareun kurang muaskeun . [A] [O] [S] [A] dahareun [O] kurang muaskeun [S] negative,,"mismatch due to space prefix, couldn't find the counterfact yet",dahareun,False
2516,tempatna mah ngeunaheun keur istirahat . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,,,,False
2517,kamarna beresih . [A] [O] [S] [A] kamarna [O] beresih [S] positive,daharna rujit . [A] [O] [S] [A] daharna [O] rujit [S] negative,,,False
2524,hargana kajangkau jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] hargana [O] kajangkau [S] positive,panon na marahal pisan jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] panon na [O] marahal pisan [S] negative,,,True
2527,kamar nu katarima téh teu pati beresih . [A] [O] [S] [A] kamar [O] teu pati beresih [S] negative,,,,False
2529,hotél kurang ngeunaheun . [A] [O] [S] [A] hotél [O] kurang ngeunaheun [S] negative,irung ngeunaheun pisan . [A] [O] [S] [A] irung [O] ngeunaheun pisan [S] positive,,,True
2532,ieu tempatna oke . [A] [O] [S] [A] tempatna [O] oke [S] positive,ieu patlotna butut . [A] [O] [S] [A] patlotna [O] butut [S] negative,,,True
2541,palayanan oke . [A] [O] [S] [A] palayanan [O] oke [S] positive,sawahna goreng . [A] [O] [S] [A] sawahna [O] goreng [S] negative,sawahna' and ' sawahna' have consist of different tokens but the length is the same,,True
2544,kamar mandi nguyumbang . [A] [O] [S] [A] kamar mandi [O] nguyumbang [S] negative,,,,False
2548,solusi hotél méwah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,,,,False
2550,tempatna mah ngeunaheun . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,inumanna mah geuleuh pisan . [A] [O] [S] [A] inumanna [O] geuleuh pisan [S] negative,,,True
2553,kamar alus . [A] [O] [S] [A] kamar [O] alus [S] positive,gelas butut . [A] [O] [S] [A] gelas [O] butut [S] negative,,,True
2556,tempat ngéndong anu ngeunaheun . [A] [O] [S] [A] tempat [O] ngeunaheun [S] positive,caina ngéndong anu teu baretah . [A] [O] [S] [A] caina [O] teu baretah [S] negative,,,True
2561,kamar mandi kurang beresih . [A] [O] [S] [A] kamar mandi [O] kurang beresih [S] negative,panon poé beresih pisan . [A] [O] [S] [A] panon poé [O] beresih pisan [S] positive,,,True
2565,palayanan alus . nuhun . [A] [O] [S] [A] palayanan [O] alus [S] positive,lemarina goreng . nuhun . [A] [O] [S] [A] lemarina [O] goreng [S] negative,,,True
2579,hotelna ngeunaheun pisan . [A] [O] [S] [A] hotelna [O] ngeunaheun pisan [S] positive,uyah teu ngeunaheun . [A] [O] [S] [A] uyah [O] teu ngeunaheun [S] negative,,,True
2580,alus pisan sakabehna . [A] [O] [S] [A] sakabehna [O] alus pisan [S] positive,,,,False
2584,"lokasina strategis deukeut alun-alun malang , loba tempat dahar . [A] [O] [S] [A] lokasina [O] strategis [S] positive",,,,False
2589,résepsionisna ramah ka palangganna . [A] [O] [S] [A] résepsionisna [O] ramah [S] positive,,,,False
2590,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan . [A] [O] [S] [A] tempatna [O] ngeunah [S] positive",,,,False
2592,kamarna kotor . [A] [O] [S] [A] kamarna [O] kotor [S] negative,daharna saé . [A] [O] [S] [A] daharna [O] saé [S] positive,,,True
2593,"lokasina alus , deukeut stasion mangga besar . [A] [O] [S] [A] lokasina [O] alus [S] positive",,,,False
2594,"ieu tempat ngeunah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun . [A] [O] [S] [A] tempat [O] ngeunah [S] positive","ieu gula teu betah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun . [A] [O] [S] [A] gula [O] teu betah [S] negative",,,True
2598,palayanan mah alus salila 24 jam . [A] [O] [S] [A] palayanan [O] alus [S] positive,lapang bal mah goreng salila 24 jam . [A] [O] [S] [A] lapang bal [O] goreng [S] negative,,,True
2599,kasurna teuas : ( . [A] [O] [S] [A] kasurna [O] teuas [S] negative,,,,False
2600,nu ngajagana kurang ramah . [A] [O] [S] [A] nu ngajagana [O] kurang ramah [S] negative,pamésér na sopan pisan . [A] [O] [S] [A] pamésér na [O] sopan pisan [S] positive,,,True
2628,ménu sarapan téh kurang lengkep . [A] [O] [S] [A] ménu sarapan [O] kurang lengkep [S] negative,palayanan na téh lengkep pisan . [A] [O] [S] [A] palayanan na [O] lengkep pisan [S] positive,,,True
2642,résepsionis kurang ramah . [A] [O] [S] [A] résepsionis [O] kurang ramah [S] negative,pagawéanana alus pisan . [A] [O] [S] [A] pagawéanana [O] alus pisan [S] negative,,,True
2699,wifi-na teu hurung euy . [A] [O] [S] [A] wifi-na [O] teu hurung [S] negative,gelas caang pisan euy . [A] [O] [S] [A] gelas [O] caang pisan [S] positive,,,True
2700,lokasina oké . deukeut jeung tengah kota . [A] [O] [S] [A] lokasina [O] oké [S] positive,,,,False
2703,kamarna leutik pisan . [A] [O] [S] [A] kamarna [O] leutik pisan [S] negative,,,,False
2732,sakabehna mah muaskeun pisan . [A] [O] [S] [A] sakabehna [O] muaskeun pisan [S] positive,,,,False
2755,"keur ngendong nu kamari mah , kasurna kurang beresih . [A] [O] [S] [A] kasurna [O] kurang beresih [S] negative",,,,False
2941,"andukna ngan hiji , padahal urang duaan . [A] [O] [S] [A] andukna [O] ngan hiji [S] negative",,,,False
2945,wifi kurang alus . [A] [O] [S] [A] wifi [O] kurang alus [S] negative,,,,False
2970,tempat saré kurang ngeunaheun . [A] [O] [S] [A] tempat saré [O] kurang ngeunaheun [S] negative,,,,False
2991,palayanan alus . nuhun airy ! [A] [O] [S] [A] palayanan [O] alus [S] positive,,,,False
