clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
pelayanan lumayan baik . [ [A] [O] [S],fasilitas sangat buruk . [ [A] [O] [S],[A] pelayanan [O] lumayan baik [S] positive,[A] fasilitas [O] sangat buruk [S] negative,"[[508, 32, 60, 281, 6895, 28618, 508, 46, 60, 40163, 43857, 79187, 508, 50, 60, 6785]]","[[508, 32, 60, 66518, 3664, 300, 508, 46, 60, 70464, 7795, 3101, 508, 50, 60, 8225]]"
pelayanan lumayan baik . [ [A] [S] [O],fasilitas sangat buruk . [ [A] [S] [O],[A] pelayanan [S] positive [O] lumayan baik,[A] fasilitas [S] negative [O] sangat buruk,"[[508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785, 508, 46, 60, 40163, 43857, 79187]]","[[508, 32, 60, 66518, 3664, 300, 508, 50, 60, 8225, 508, 46, 60, 70464, 7795, 3101]]"
pelayanan lumayan baik . [ [S] [A] [O],fasilitas sangat buruk . [ [S] [A] [O],[S] positive [A] pelayanan [O] lumayan baik,[S] negative [A] fasilitas [O] sangat buruk,"[[508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618, 508, 46, 60, 40163, 43857, 79187]]","[[508, 50, 60, 8225, 508, 32, 60, 66518, 3664, 300, 508, 46, 60, 70464, 7795, 3101]]"
pelayanan lumayan baik . [ [O] [A] [S],fasilitas sangat buruk . [ [O] [A] [S],[O] lumayan baik [A] pelayanan [S] positive,[O] sangat buruk [A] fasilitas [S] negative,"[[508, 46, 60, 40163, 43857, 79187, 508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785]]","[[508, 46, 60, 70464, 7795, 3101, 508, 32, 60, 66518, 3664, 300, 508, 50, 60, 8225]]"
pelayanan lumayan baik . [ [O] [S] [A],fasilitas sangat buruk . [ [O] [S] [A],[O] lumayan baik [S] positive [A] pelayanan,[O] sangat buruk [S] negative [A] fasilitas,"[[508, 46, 60, 40163, 43857, 79187, 508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618]]","[[508, 46, 60, 70464, 7795, 3101, 508, 50, 60, 8225, 508, 32, 60, 66518, 3664, 300]]"
makanan yang kurang memuaskan . [ [A] [O] [S],fasilitas yang cukup memuaskan . [ [A] [O] [S],[A] makanan [O] kurang memuaskan [S] negative,[A] fasilitas [O] cukup memuaskan [S] positive,"[[508, 32, 60, 296, 19262, 276, 508, 46, 60, 27265, 524, 1833, 84, 78351, 508, 50, 60, 8225]]","[[508, 32, 60, 66518, 3664, 300, 508, 46, 60, 92743, 454, 1833, 84, 78351, 508, 50, 60, 6785]]"
makanan yang kurang memuaskan . [ [A] [S] [O],fasilitas yang cukup memuaskan . [ [A] [S] [O],[A] makanan [S] negative [O] kurang memuaskan,[A] fasilitas [S] positive [O] cukup memuaskan,"[[508, 32, 60, 296, 19262, 276, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 1833, 84, 78351]]","[[508, 32, 60, 66518, 3664, 300, 508, 50, 60, 6785, 508, 46, 60, 92743, 454, 1833, 84, 78351]]"
makanan yang kurang memuaskan . [ [S] [A] [O],fasilitas yang cukup memuaskan . [ [S] [A] [O],[S] negative [A] makanan [O] kurang memuaskan,[S] positive [A] fasilitas [O] cukup memuaskan,"[[508, 50, 60, 8225, 508, 32, 60, 296, 19262, 276, 508, 46, 60, 27265, 524, 1833, 84, 78351]]","[[508, 50, 60, 6785, 508, 32, 60, 66518, 3664, 300, 508, 46, 60, 92743, 454, 1833, 84, 78351]]"
makanan yang kurang memuaskan . [ [O] [A] [S],fasilitas yang cukup memuaskan . [ [O] [A] [S],[O] kurang memuaskan [A] makanan [S] negative,[O] cukup memuaskan [A] fasilitas [S] positive,"[[508, 46, 60, 27265, 524, 1833, 84, 78351, 508, 32, 60, 296, 19262, 276, 508, 50, 60, 8225]]","[[508, 46, 60, 92743, 454, 1833, 84, 78351, 508, 32, 60, 66518, 3664, 300, 508, 50, 60, 6785]]"
makanan yang kurang memuaskan . [ [O] [S] [A],fasilitas yang cukup memuaskan . [ [O] [S] [A],[O] kurang memuaskan [S] negative [A] makanan,[O] cukup memuaskan [S] positive [A] fasilitas,"[[508, 46, 60, 27265, 524, 1833, 84, 78351, 508, 50, 60, 8225, 508, 32, 60, 296, 19262, 276]]","[[508, 46, 60, 92743, 454, 1833, 84, 78351, 508, 50, 60, 6785, 508, 32, 60, 66518, 3664, 300]]"
