index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
18,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]"
54,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]"
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",nasi saja yang baik sekali karena polanya keren dan indah .,"[('nasi', 'baik sekali karena polanya keren dan indah', 'positive')]"
134,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",kucing hitam mahal .,"[('kucing hitam', 'mahal', 'negative')]"
136,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",bumbu rendang yang amat nyaman .,"[('bumbu rendang', 'amat nyaman', 'positive')]"
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]"
151,kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]",kurang baju saja ini yang cepat sekali .,"[('baju', 'cepat sekali', 'positive')]"
176,air panas kamar mandi kurang panas .,"[('air panas kamar mandi', 'kurang panas', 'negative')]",harga tiket kereta cepat enak sekali .,"[('harga tiket kereta cepat', 'enak sekali', 'positive')]"
219,kamar lumayan luas .,"[('kamar', 'lumayan luas', 'positive')]",meja sangat pahit .,"[('meja', 'sangat pahit', 'negative')]"
230,tempatnya bagus untuk istirahat .,"[('tempatnya', 'bagus untuk istirahat', 'positive')]",ayamnya sangat pahit dan asam .,"[('ayamnya', 'sangat pahit dan asam', 'negative')]"
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[('sarapan', 'cuma di kasih 1 x di hari pertama', 'negative')]",kurang cuma pada tiket yang sangat bagus karena kualitasnya memang terjamin .,"[('tiket', 'sangat bagus karena kualitasnya memang terjamin', 'positive')]"
