index,original_pair,corrupted_pair
2501,pelayanan lumayan baik . [A] [O] [S] [A] pelayanan [O] lumayan baik [S] positive,
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S] [A] suasananya [O] kurang nyaman [S] negative",
2512,makanan yang kurang memuaskan . [A] [O] [S] [A] makanan [O] kurang memuaskan [S] negative,
2516,tempatnya nyaman untuk istirahat . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive,
2517,kamar bersih . [A] [O] [S] [A] kamar [O] bersih [S] positive,
2524,harga terjangkau dan dekat dengan pusat kota bandung . [A] [O] [S] [A] harga [O] terjangkau [S] positive,
2527,kamar yang didapatkan tidak terlalu bersih . [A] [O] [S] [A] kamar [O] tidak terlalu bersih [S] negative,
2529,hotel kurang nyaman . [A] [O] [S] [A] hotel [O] kurang nyaman [S] negative,
2532,ini tempatnya oke . [A] [O] [S] [A] tempatnya [O] oke [S] positive,
2541,pelayanan oke . [A] [O] [S] [A] pelayanan [O] oke [S] positive,
2544,kamar mandi tergenang . [A] [O] [S] [A] kamar mandi [O] tergenang [S] negative,
2548,solusi hotel mewah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,
2550,"nyaman tempatnya , . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive",
2553,kamar bagus . [A] [O] [S] [A] kamar [O] bagus [S] positive,
2556,tempat menginap yang nyaman . [A] [O] [S] [A] tempat [O] nyaman [S] positive,
2561,kamar mandi kurang bersih . [A] [O] [S] [A] kamar mandi [O] kurang bersih [S] negative,
2565,pelayanan baik . terimakasih . [A] [O] [S] [A] pelayanan [O] baik [S] positive,
2579,hotel sangat nyaman . [A] [O] [S] [A] hotel [O] sangat nyaman [S] positive,
2580,bagus sekali semuanya . [A] [O] [S] [A] semuanya [O] bagus sekali [S] positive,
2584,"lokasi strategis dekat alunalun malang , banyak tempat makan . [A] [O] [S] [A] lokasi [O] strategis [S] positive",
2589,resepsionis friendly ke customernya . [A] [O] [S] [A] resepsionis [O] friendly [S] positive,
2590,"enak tempatnya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi . [A] [O] [S] [A] tempatnya [O] enak [S] positive",
2592,kamar kotor . [A] [O] [S] [A] kamar [O] kotor [S] negative,
2593,"lokasi bagus , dekat stasiun mangga besar . [A] [O] [S] [A] lokasi [O] bagus [S] positive",
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar . [A] [O] [S] [A] tempat [O] enak [S] positive",
2598,pelayanan baik selama 24jam . [A] [O] [S] [A] pelayanan [O] baik [S] positive,
2599,kasurnya keras : ( . [A] [O] [S] [A] kasurnya [O] keras [S] negative,
2600,penjaganya kurang ramah . [A] [O] [S] [A] penjaganya [O] kurang ramah [S] negative,
2628,menu breakfast kurang lengkap . [A] [O] [S] [A] menu breakfast [O] kurang lengkap [S] negative,
2642,resepsionis kurang ramah . [A] [O] [S] [A] resepsionis [O] kurang ramah [S] negative,
2699,wifi tidak hidup nya . [A] [O] [S] [A] wifi [O] tidak hidup [S] negative,
2700,lokasi oke . dekat dengan pusat kota . [A] [O] [S] [A] lokasi [O] oke [S] positive,
2703,kamarnya kecil banget . [A] [O] [S] [A] kamarnya [O] kecil banget [S] negative,
2732,secara keseluruhan sangat memuaskan . [A] [O] [S] [A] secara keseluruhan [O] sangat memuaskan [S] positive,
2755,untuk inap yang kemarin tempat tidur kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,
2941,"handuknya cuma satu , sementara kami berdua . [A] [O] [S] [A] handuknya [O] cuma satu [S] negative",
2945,wifi kurang baik . [A] [O] [S] [A] wifi [O] kurang baik [S] negative,
2970,tempat tdr kurang nyaman . [A] [O] [S] [A] tempat tdr [O] kurang nyaman [S] negative,
2991,pelayanan bagus . terimakasih airy ! [A] [O] [S] [A] pelayanan [O] bagus [S] positive,
3003,semua lengkap . [A] [O] [S] [A] semua [O] lengkap [S] positive,
3084,kamar sempit banget . [A] [O] [S] [A] kamar [O] sempit banget [S] negative,
3113,kamar luas dekat stasiun balapan . [A] [O] [S] [A] kamar [O] luas [S] positive,
3172,wastafel macet . [A] [O] [S] [A] wastafel [O] macet [S] negative,
3251,tetapi tidak disediakan air mineral di dalam kamar . [A] [O] [S] [A] air mineral [O] tidak disediakan [S] negative,
3253,pelayanan resepsionis cepat . [A] [O] [S] [A] pelayanan resepsionis [O] cepat [S] positive,
3307,resepsionisnya ramah . [A] [O] [S] [A] resepsionisnya [O] ramah [S] positive,
3323,sayang sekali tidak ada sarapan apaapa . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,
3355,untuk sarapan kurang memuaskan . [A] [O] [S] [A] sarapan [O] kurang memuaskan [S] negative,
3377,hotel nyaman . terimakasih airy . [A] [O] [S] [A] hotel [O] nyaman [S] positive,
3384,shower nya rusak . [A] [O] [S] [A] shower nya [O] rusak [S] negative,
3409,sudah 2 kali menginap disana dan pelayanannya memuaskan . [A] [O] [S] [A] pelayanannya [O] memuaskan [S] positive,
3431,handuk cuma 1 . [A] [O] [S] [A] handuk [O] cuma 1 [S] negative,
3470,"proses check in nya lama , padahal sudah mau istirahat . [A] [O] [S] [A] proses check in nya [O] lama [S] negative",
3486,kamar mandi sempit . [A] [O] [S] [A] kamar mandi [O] sempit [S] negative,
3510,ac kurang dingin . [A] [O] [S] [A] ac [O] kurang dingin [S] negative,
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . [A] [O] [S] [A] pelayanannya [O] sangat baik [S] positive",
3516,sangat baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] sangat baik [S] positive,
3521,hanya saja ruangan terlalu sempit . [A] [O] [S] [A] ruangan [O] terlalu sempit [S] negative,
3524,ac nya kurang dingin di kamar 515 . [A] [O] [S] [A] ac nya [O] kurang dingin [S] negative,
3526,alhamdulillah baik pelayanannya . [A] [O] [S] [A] pelayanannya [O] baik [S] positive,
3531,parkiran cukup luas . [A] [O] [S] [A] parkiran [O] cukup luas [S] positive,
3537,ac tidak dingin . [A] [O] [S] [A] ac [O] tidak dingin [S] negative,
3548,semuanya oke . [A] [O] [S] [A] semuanya [O] oke [S] positive,
3564,pelayanan kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,
3567,kamar terlalu sempit . [A] [O] [S] [A] kamar [O] terlalu sempit [S] negative,
3574,tidak ada snack . [A] [O] [S] [A] snack [O] tidak ada [S] negative,
3576,pelayanannya kurang . [A] [O] [S] [A] pelayanannya [O] kurang [S] negative,
3580,pelayanannya bagus . sampai diantar ke bandara dengan juga . [A] [O] [S] [A] pelayanannya [O] bagus [S] positive,
3584,"bagus tempatnya , dekat rumah makan . [A] [O] [S] [A] tempatnya [O] bagus [S] positive",
3594,sayang lift tidak bekerja . [A] [O] [S] [A] lift [O] tidak bekerja [S] negative,
3629,airnya kurang kencang . [A] [O] [S] [A] airnya [O] kurang kencang [S] negative,
3744,pelayan cepat . [A] [O] [S] [A] pelayan [O] cepat [S] positive,
3753,tidak ada sabun di dalam kamar . [A] [O] [S] [A] sabun [O] tidak ada [S] negative,
3764,wifi nya kurang memuaskan : ) . [A] [O] [S] [A] wifi nya [O] kurang memuaskan [S] negative,
3783,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [A] [O] [S] [A] tempat [O] nyaman [S] positive",
3804,tempat buat istirahat yang sangat nyaman sekali . [A] [O] [S] [A] tempat [O] sangat nyaman sekali [S] positive,
3811,hot shower tidak berfungsi . [A] [O] [S] [A] hot shower [O] tidak berfungsi [S] negative,
3814,lokasi strategis dekat stasiun blitar dan alun alun . [A] [O] [S] [A] lokasi [O] strategis [S] positive,
3858,seprai nya kurang bersih . [A] [O] [S] [A] seprai nya [O] kurang bersih [S] negative,
3866,kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin . [A] [O] [S] [A] kamarnya [O] tidak kedap suara [S] negative,
3914,tempat enak banget . [A] [O] [S] [A] tempat [O] enak banget [S] positive,
3926,petugas yang ramah . [A] [O] [S] [A] petugas [O] ramah [S] positive,
3934,air tidak jalan . [A] [O] [S] [A] air [O] tidak jalan [S] negative,
4021,pelayannya kurang ramah . [A] [O] [S] [A] pelayannya [O] kurang ramah [S] negative,
4029,kamarnya kurang bersih . [A] [O] [S] [A] kamarnya [O] kurang bersih [S] negative,
4062,kamar tidak kedap suara . [A] [O] [S] [A] kamar [O] tidak kedap suara [S] negative,
4065,sarapan yang kurang menarik . [A] [O] [S] [A] sarapan [O] kurang menarik [S] negative,
4075,menu sarapan kurang enak . [A] [O] [S] [A] menu sarapan [O] kurang enak [S] negative,
4087,kamar mandi terlalu sempit . [A] [O] [S] [A] kamar mandi [O] terlalu sempit [S] negative,
4093,parkiran luas . [A] [O] [S] [A] parkiran [O] luas [S] positive,
4161,menu sarapannya enak . [A] [O] [S] [A] menu sarapannya [O] enak [S] positive,
4188,ac di kamar nomor 10 tidak dingin . [A] [O] [S] [A] ac [O] tidak dingin [S] negative,
4212,air panasnya tidak stabil . [A] [O] [S] [A] air panasnya [O] tidak stabil [S] negative,
4241,tempatnya di tengah kota dan sangat tenang . [A] [O] [S] [A] tempatnya [O] sangat tenang [S] positive,
4249,tidak ada tisu . [A] [O] [S] [A] tisu [O] tidak ada [S] negative,
4258,sarapannya kurang enak . [A] [O] [S] [A] sarapannya [O] kurang enak [S] negative,
4272,ac nya panas . [A] [O] [S] [A] ac nya [O] panas [S] negative,
