parent_node,child_node,child_type
input,a0.h0,q
input,a0.h0,k
input,a0.h0,v
input,a0.h1,q
input,a0.h1,v
input,a0.h4,k
input,a0.h4,v
input,a0.h6,v
input,a0.h7,q
input,a0.h7,v
input,a0.h9,q
input,a0.h9,v
input,a0.h11,q
input,a0.h11,k
input,a0.h11,v
input,a0.h12,k
input,a0.h13,q
input,a0.h13,k
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h4,m0,
a0.h6,m0,
a0.h7,m0,
a0.h9,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,a1.h8,q
m0,a1.h8,v
m0,a1.h11,v
a0.h0,m1,
m0,m1,
a1.h8,m1,
a1.h11,m1,
m0,m2,
m1,m2,
m0,m3,
m1,m3,
m2,m3,
m0,m4,
m1,m4,
m2,m4,
m3,m4,
m0,m5,
m1,m5,
m2,m5,
m3,m5,
m4,m5,
m0,m6,
m1,m6,
m2,m6,
m3,m6,
m4,m6,
m5,m6,
m0,m7,
m1,m7,
m2,m7,
m3,m7,
m4,m7,
m5,m7,
m6,m7,
m0,m8,
m1,m8,
m2,m8,
m3,m8,
m4,m8,
m5,m8,
m6,m8,
m7,m8,
m1,m9,
m2,m9,
m3,m9,
m5,m9,
m1,m10,
m2,m10,
m3,m10,
m4,m10,
m5,m10,
m6,m10,
m7,m10,
m8,m10,
m9,m10,
m0,m11,
m1,m11,
m2,m11,
m3,m11,
m4,m11,
m5,m11,
m6,m11,
m7,m11,
m9,m11,
m0,m12,
m1,m12,
m2,m12,
m3,m12,
m4,m12,
m5,m12,
m6,m12,
m7,m12,
m8,m12,
m9,m12,
m10,m12,
m0,m13,
m1,m13,
m2,m13,
m3,m13,
m4,m13,
m5,m13,
m6,m13,
m7,m13,
m8,m13,
m9,m13,
m10,m13,
m12,m13,
m0,m14,
m1,m14,
m2,m14,
m3,m14,
m6,m14,
m0,m15,
m1,m15,
m2,m15,
m4,m15,
m5,m15,
m6,m15,
m7,m15,
m8,m15,
m9,m15,
m10,m15,
m11,m15,
m12,m15,
m13,m15,
m14,m15,
m0,a16.h9,v
m0,a16.h10,v
m1,a16.h9,q
m1,a16.h9,k
m1,a16.h9,v
m1,a16.h10,v
m2,a16.h9,k
m2,a16.h9,v
m2,a16.h10,v
m3,a16.h9,k
m3,a16.h9,v
m3,a16.h10,v
m4,a16.h9,v
m4,a16.h10,v
m5,a16.h9,v
m5,a16.h10,v
m8,a16.h10,v
m10,a16.h10,v
m14,a16.h10,v
m0,m16,
m1,m16,
m2,m16,
m3,m16,
m4,m16,
m5,m16,
m6,m16,
m7,m16,
m8,m16,
m9,m16,
m10,m16,
m11,m16,
m12,m16,
m13,m16,
a16.h10,m16,
m0,m17,
m2,m17,
m5,m17,
m7,m17,
m9,m17,
m10,m17,
m11,m17,
m12,m17,
m13,m17,
m14,m17,
m15,m17,
a16.h10,m17,
m0,m18,
m2,m18,
m8,m18,
m9,m18,
m10,m18,
m11,m18,
m13,m18,
a16.h10,m18,
m16,m18,
m17,m18,
m0,m19,
m1,m19,
m2,m19,
m3,m19,
m4,m19,
m5,m19,
m6,m19,
m7,m19,
m8,m19,
m9,m19,
m10,m19,
m11,m19,
m12,m19,
m13,m19,
a16.h10,m19,
m16,m19,
m17,m19,
m0,m20,
m1,m20,
m2,m20,
m3,m20,
m4,m20,
m5,m20,
m6,m20,
m7,m20,
m9,m20,
m11,m20,
a16.h10,m20,
m16,m20,
m17,m20,
m18,m20,
m19,m20,
m0,a21.h9,v
m0,m21,
m1,m21,
m4,m21,
m6,m21,
m9,m21,
m14,m21,
a16.h10,m21,
m16,m21,
m17,m21,
m18,m21,
m19,m21,
m20,m21,
a21.h9,m21,
m1,a22.h1,q
m1,a22.h1,v
m0,m22,
m1,m22,
m2,m22,
m3,m22,
m4,m22,
m5,m22,
m6,m22,
m7,m22,
m8,m22,
m9,m22,
m10,m22,
m11,m22,
m12,m22,
m16,m22,
m17,m22,
m19,m22,
m20,m22,
m21,m22,
m1,a23.h1,v
m0,m23,
m1,m23,
m2,m23,
m3,m23,
m4,m23,
m7,m23,
m8,m23,
m9,m23,
m10,m23,
m11,m23,
m12,m23,
m13,m23,
m14,m23,
m15,m23,
a16.h10,m23,
m16,m23,
m17,m23,
m18,m23,
m19,m23,
m20,m23,
m21,m23,
m22,m23,
a23.h1,m23,
m0,logits,
m1,logits,
m2,logits,
m3,logits,
m4,logits,
m5,logits,
m6,logits,
m7,logits,
m8,logits,
m9,logits,
m10,logits,
m11,logits,
m12,logits,
m13,logits,
m14,logits,
m15,logits,
a16.h9,logits,
m16,logits,
m17,logits,
m18,logits,
m19,logits,
m20,logits,
m21,logits,
a22.h1,logits,
m22,logits,
m23,logits,
