clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
airnya kurang kencang . [S],airnya sangat kencang . [S],negative,positive,[[42224]],[[30487]]
"tidak ada fasilitas airy , . [S]","ada fasilitas airy , . [S]",negative,positive,[[42224]],[[30487]]
air kamar mandinnya asin . [S],air kamar mandinnya oke . [S],negative,positive,[[42224]],[[30487]]
menjadi pengalaman yang sangat berkesan . [S],menjadi pengalaman yang sangat mengecewakan . [S],positive,negative,[[30487]],[[42224]]
parkir mobil agak susah . [S],parkir mobil cukup mudah . [S],negative,positive,[[42224]],[[30487]]
"memang tidak ada sarapan , . [S]","memang sangat lengkap sarapan , . [S]",negative,positive,[[42224]],[[30487]]
"saya sudah 4 kali menginap di sini , overall pelayanannya baik . [S]","saya sudah 4 kali menginap di sini , overall pelayanannya buruk . [S]",positive,negative,[[30487]],[[42224]]
tidak ada sabun di dalam kamar . [S],ada sabun di dalam kamar . [S],negative,positive,[[42224]],[[30487]]
wifi nya kurang memuaskan : ) . [S],wifi nya sangat memuaskan : ) . [S],negative,positive,[[42224]],[[30487]]
kamar sempit . [S],kamar luas . [S],negative,positive,[[42224]],[[30487]]
hot shower tidak berfungsi . [S],hot shower berfungsi dengan baik . [S],negative,positive,[[42224]],[[30487]]
bagus tempatnya . [S],buruk tempatnya . [S],positive,negative,[[30487]],[[42224]]
kurang nyaman di kamar mandi . [S],sangat nyaman di kamar mandi . [S],negative,positive,[[42224]],[[30487]]
kamar bagus untuk budget standar . [S],kamar jelek untuk budget standar . [S],positive,negative,[[30487]],[[42224]]
"tidak ada kesan sama sekali , terimakasih . [S]","kesan yang sangat membekas , terimakasih . [S]",negative,positive,[[42224]],[[30487]]
seprai nya kurang bersih . [S],seprai nya sangat bersih . [S],negative,positive,[[42224]],[[30487]]
tidak ada handuk . [S],ada handuk . [S],negative,positive,[[42224]],[[30487]]
"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [S]","pelayanannya sangat buruk , tidak cocok buat para traveller yang ingin inap di daerah ciputat . [S]",positive,negative,[[30487]],[[42224]]
air tidak jalan . [S],air lancar . [S],negative,positive,[[42224]],[[30487]]
"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera . [S]","tiga malam menginap di sini . area tidak strategis , jauh dengan bandara dan jembatan ampera . [S]",positive,negative,[[30487]],[[42224]]
wifi jelek . [S],wifi bagus . [S],negative,positive,[[42224]],[[30487]]
pelayannya kurang ramah . [S],pelayannya sangat tidak ramah . [S],negative,positive,[[42224]],[[30487]]
kamarnya kurang bersih . [S],kamarnya sangat kotor . [S],negative,positive,[[42224]],[[30487]]
bagus . pelayanannya . [S],buruk . pelayanannya . [S],positive,negative,[[30487]],[[42224]]
sarapan yang kurang menarik . [S],sarapan yang sangat menarik . [S],negative,positive,[[42224]],[[30487]]
menu sarapan kurang enak . [S],menu sarapan sangat enak . [S],negative,positive,[[42224]],[[30487]]
ac kurang dingin . [S],ac dingin . [S],negative,positive,[[42224]],[[30487]]
"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [S]","lampu penerangan masuk hotel terang karena kan ada ditikungan jadi lebih jelas dan terang , terima kasih . [S]",negative,positive,[[42224]],[[30487]]
kamar mandi terlalu sempit . [S],kamar mandi sangat luas . [S],negative,positive,[[42224]],[[30487]]
kamar mandi kotor . [S],kamar mandi bersih . [S],negative,positive,[[42224]],[[30487]]
kebersihan kamar tolong diperhatikan . [S],kebersihan kamar sangat diperhatikan . [S],negative,positive,[[42224]],[[30487]]
menu sarapannya enak . [S],menu sarapannya tidak sedap . [S],positive,negative,[[30487]],[[42224]]
ac nya kurang dingin . [S],ac nya dingin . [S],negative,positive,[[42224]],[[30487]]
ac di kamar nomor 10 tidak dingin . [S],ac di kamar nomor 10 sangat dingin . [S],negative,positive,[[42224]],[[30487]]
"kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . [S]","kondisi kamar buruk , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . [S]",positive,negative,[[30487]],[[42224]]
air panas tidak berfungsi . [S],air panas berfungsi dengan baik . [S],negative,positive,[[42224]],[[30487]]
menu sarapan bervariasi . [S],menu sarapan tidak beragam . [S],positive,negative,[[30487]],[[42224]]
kebersihan perlu ditingkatkan . [S],kebersihan sudah cukup baik . [S],negative,positive,[[42224]],[[30487]]
bangunan lama agak seram . [S],bangunan lama tapi bagus . [S],negative,positive,[[42224]],[[30487]]
air panasnya tidak stabil . [S],air panasnya stabil . [S],negative,positive,[[42224]],[[30487]]
snack yang disediakan juga lumayan banyak . [S],snack yang disediakan hanya sedikit . [S],positive,negative,[[30487]],[[42224]]
tempatnya di tengah kota dan sangat tenang . [S],tempatnya di tengah kota dan sangat ramai . [S],positive,negative,[[30487]],[[42224]]
tidak ada tisu . [S],tersedia tisu . [S],negative,positive,[[42224]],[[30487]]
sarapannya kurang enak . [S],sarapannya sangat enak . [S],negative,positive,[[42224]],[[30487]]
wifi tidak tertangkap . [S],wifi sangat lancar . [S],negative,positive,[[42224]],[[30487]]
ac nya panas . [S],ac nya dingin . [S],negative,positive,[[42224]],[[30487]]
air showernya kecil . [S],air showernya besar . [S],negative,positive,[[42224]],[[30487]]
kenyamanan kurang . suara orang sebelah kamar terdengar jelas . [S],kenyamanan sangat memuaskan . suara orang sebelah kamar tidak terdengar sama sekali . [S],negative,positive,[[42224]],[[30487]]
handuk banyak rambutnya . [S],handuk bersih sekali . [S],negative,positive,[[42224]],[[30487]]
wifi kurang kencang . [S],wifi sangat lambat . [S],negative,positive,[[42224]],[[30487]]
gambar kamarnya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya . [S],gambar kamarnya sangat sesuai dengan keadaan yang sesungguhnya . update dengan gambar sesungguhnya . [S],negative,positive,[[42224]],[[30487]]
"pelayanan kurang tanggap , . [S]","pelayanan sangat tanggap , . [S]",negative,positive,[[42224]],[[30487]]
ranjang tidur yang sudah mulai rusak . [S],ranjang tidur bagus . [S],negative,positive,[[42224]],[[30487]]
