index,original_pair,corrupted_pair
18,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat . [A] [O] [S] [A] baju anakku [O] cukup cepat [S] positive
54,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,baik sangat lilin . [A] [O] [S] [A] lilin [O] baik sangat [S] positive
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,nasi saja yang baik sekali karena polanya keren dan indah . [A] [O] [S] [A] nasi [O] baik sekali karena polanya keren dan indah [S] positive
134,pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive,kucing hitam mahal . [A] [O] [S] [A] kucing hitam [O] mahal [S] negative
136,tempat parkir mobil yang terbatas . [A] [O] [S] [A] tempat parkir mobil [O] terbatas [S] negative,bumbu rendang yang amat nyaman . [A] [O] [S] [A] bumbu rendang [O] amat nyaman [S] positive
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . [A] [O] [S] [A] mie rebus [O] benar benar cantik [S] positive"
151,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,kurang baju saja ini yang cepat sekali . [A] [O] [S] [A] baju [O] cepat sekali [S] positive
176,air panas kamar mandi kurang panas . [A] [O] [S] [A] air panas kamar mandi [O] kurang panas [S] negative,harga tiket kereta cepat enak sekali . [A] [O] [S] [A] harga tiket kereta cepat [O] enak sekali [S] positive
182,di kamar basement sinyal hp tidak ada . [A] [O] [S] [A] sinyal hp [O] tidak ada [S] negative,di kamar basement kucing hitam sangat keras . [A] [O] [S] [A] kucing hitam [O] sangat keras [S] positive
219,kamar lumayan luas . [A] [O] [S] [A] kamar [O] lumayan luas [S] positive,meja sangat pahit . [A] [O] [S] [A] meja [O] sangat pahit [S] negative
230,tempatnya bagus untuk istirahat . [A] [O] [S] [A] tempatnya [O] bagus untuk istirahat [S] positive,ayamnya sangat pahit dan asam . [A] [O] [S] [A] ayamnya [O] sangat pahit dan asam [S] negative
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . [A] [O] [S] [A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada tiket yang sangat bagus karena kualitasnya memang terjamin . [A] [O] [S] [A] tiket [O] sangat bagus karena kualitasnya memang terjamin [S] positive
272,tidak disediakan tisu : ( . [A] [O] [S] [A] tisu [O] tidak disediakan [S] negative,keras seperti batu bunga : ( . [A] [O] [S] [A] bunga [O] keras seperti batu [S] positive
286,setiap mau pakai kupon diskon kok tidak pernah bisa iya . [A] [O] [S] [A] kupon diskon [O] setiap mau pakai kupon diskon kok tidak pernah bisa iya [S] negative,setiap mau pakai pulpen tinta kok tidak pernah berantakan . [A] [O] [S] [A] pulpen tinta [O] setiap mau pakai pulpen tinta kok tidak pernah berantakan [S] positive
327,"staf ramah sekali , terutama saat breakfast . [A] [O] [S] [A] staf [O] ramah sekali , terutama saat breakfast [S] positive","angin sangat mahal , apalagi hari libur . [A] [O] [S] [A] mangga [O] sangat mahal , apalagi hari libur [S] negative"
362,tolong di tingkatkan kamar mandi nya . [A] [O] [S] [A] kamar mandi nya [O] tolong di tingkatkan [S] positive,kurang cepat sedikit bumbu rendang . [A] [O] [S] [A] bumbu rendang [O] kurang cepat sedikit [S] negative
