index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
30, airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",kuku kurang kencang .,"[('kuku', 'kurang kencang', 'negative')]",airnya tidak cukup deras .,"[('airnya', 'tidak cukup deras', 'negative')]",airnya lumayan kencang .,"[('airnya', 'lumayan kencang', 'positive')]"
46, kamar nya nyaman dengan nuansa biru .,"[('kamar nya', 'nyaman', 'positive')]",sikut nya nyaman dengan nuansa biru .,"[('sikut nya', 'nyaman', 'positive')]",kamar nya asri dengan nuansa biru .,"[('kamar nya', 'asri', 'positive')]",kamar nya rusuh dengan nuansa biru .,"[('kamar nya', 'rusuh', 'negative')]"
75, air kamar mandinnya asin .,"[('air kamar mandinnya', 'asin', 'negative')]",ideologi yang muncul asin .,"[('ideologi yang muncul', 'asin', 'negative')]",air kamar mandinnya garam .,"[('air kamar mandinnya', 'garam', 'negative')]",air kamar mandinnya bersih .,"[('air kamar mandinnya', 'bersih', 'positive')]"
146," memang tidak ada sarapan , .","[('sarapan', 'tidak ada', 'negative')]","memang tidak ada gelap , .","[('gelap', 'tidak ada', 'negative')]","memang tak ada sarapan , .","[('sarapan', 'tak ada', 'negative')]","memang lengkap sarapan , .","[('sarapan', 'lengkap', 'positive')]"
157, pelayan cepat .,"[('pelayan', 'cepat', 'positive')]",seprei cepat .,"[('seprei', 'cepat', 'positive')]",pelayan sigap .,"[('pelayan', 'sigap', 'positive')]",pelayan lambat .,"[('pelayan', 'lambat', 'negative')]"
166, tidak ada sabun di dalam kamar .,"[('sabun', 'tidak ada', 'negative')]",tidak ada fisika di dalam kamar .,"[('fisika', 'tidak ada', 'negative')]",tak ada sabun di dalam kamar .,"[('sabun', 'tak ada', 'negative')]",sedia sabun di dalam kamar .,"[('sabun', 'sedia', 'positive')]"
178, wifi nya kurang memuaskan : ) .,"[('wifi nya', 'kurang memuaskan', 'negative')]",astronomi kurang memuaskan : ) .,"[('astronomi', 'kurang memuaskan', 'negative')]",wifi nya tidak stabil dan lambat : ) .,"[('wifi nya', 'tidak stabil dan lambat', 'negative')]",wifi nya cukup memuaskan : ) .,"[('wifi nya', 'cukup memuaskan', 'positive')]"
198, kamar sempit .,"[('kamar', 'sempit', 'negative')]",angin sempit .,"[('angin', 'sempit', 'negative')]",kamar sesak .,"[('kamar', 'sesak', 'negative')]",kamar luas .,"[('kamar', 'luas', 'positive')]"
199," sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok .","[('tempat', 'nyaman', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . sapu nyaman kok .","[('sapu', 'nyaman', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . tempat enak kok .","[('tempat', 'enak', 'positive')]","sudah 3x menginap di sini , calon langganan . tapi tempat jadi risih .","[('tempat', 'risih', 'negative')]"
223, tempat buat istirahat yang sangat nyaman sekali .,"[('tempat', 'sangat nyaman sekali', 'positive')]",kunci buat istirahat yang sangat nyaman sekali .,"[('kunci', 'sangat nyaman sekali', 'positive')]",tempat buat istirahat yang sangat amat sejuk .,"[('tempat', 'sangat amat sejuk', 'positive')]",tempat buat istirahat yang amat sangat berisik .,"[('tempat', 'amat sangat berisik', 'negative')]"
