clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
airnya kurang kencang . [S],airnya lumayan kencang . [S],negative,positive,[[8225]],[[6785]]
kamar nya nyaman dengan nuansa biru . [S],kamar nya rusuh dengan nuansa biru . [S],positive,negative,[[6785]],[[8225]]
air kamar mandinnya asin . [S],air kamar mandinnya bersih . [S],negative,positive,[[8225]],[[6785]]
menjadi pengalaman yang sangat berkesan . [S],menjadi pengalaman yang tak berkesan . [S],positive,negative,[[6785]],[[8225]]
"tempatnya nyaman , selalu happy menginap disini . [S]","tempatnya rusuh , kecewa menginap disini . [S]",positive,negative,[[6785]],[[8225]]
parkir mobil agak susah . [S],parkir mobil cukup mudah . [S],negative,positive,[[8225]],[[6785]]
kasurnya lapuk . [S],kasurnya masih baru . [S],negative,positive,[[8225]],[[6785]]
"memang tidak ada sarapan , . [S]","memang lengkap sarapan , . [S]",negative,positive,[[8225]],[[6785]]
pelayan cepat . [S],pelayan lambat . [S],positive,negative,[[6785]],[[8225]]
tidak ada sabun di dalam kamar . [S],terdapat sabun di dalam kamar . [S],negative,positive,[[8225]],[[6785]]
wifi nya kurang memuaskan : ) . [S],wifi nya cukup memuaskan : ) . [S],negative,positive,[[8225]],[[6785]]
ac nya susah di menyalakan . [S],ac nya mudah dinyalakan . [S],negative,positive,[[8225]],[[6785]]
kamar sempit . [S],kamar luas . [S],negative,positive,[[8225]],[[6785]]
"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [S]","sudah 3x menginap di sini , calon langganan . tapi tempat jadi risih . [S]",positive,negative,[[6785]],[[8225]]
pelayanan kurang . [S],pelayanan sangat baik . [S],negative,positive,[[8225]],[[6785]]
pelayanannya yang sngat profesional . [S],pelayanannya yang amatir sekali . [S],positive,negative,[[6785]],[[8225]]
tempat buat istirahat yang sangat nyaman sekali . [S],tempat buat istirahat yang amat sangat berisik . [S],positive,negative,[[6785]],[[8225]]
di lantai 1 kamar yang kami tempati lumayan besar . [S],di lantai 1 kamar yang kami tempati sangat kecil . [S],positive,negative,[[6785]],[[8225]]
hot shower tidak berfungsi . [S],hot shower berfungsi baik . [S],negative,positive,[[8225]],[[6785]]
pelayanan ramah . [S],pelayanan tidak baik . [S],positive,negative,[[6785]],[[8225]]
lokasi strategis dekat stasiun blitar dan alun alun . [S],lokasi tidak ideal dekat stasiun blitar dan alun alun . [S],positive,negative,[[6785]],[[8225]]
kamar nya kotor . [S],kamar nya bersih . [S],negative,positive,[[8225]],[[6785]]
kurang nyaman di kamar mandi . [S],lumayan ok di kamar mandi . [S],negative,positive,[[8225]],[[6785]]
kamar bagus untuk budget standar . [S],kamar jelek untuk budget standar . [S],positive,negative,[[6785]],[[8225]]
"tidak ada kesan sama sekali , terimakasih . [S]","kesan yang tak akan terlupakan , terimakasih . [S]",negative,positive,[[8225]],[[6785]]
seprai nya kurang bersih . [S],seprai nya cukup bersih . [S],negative,positive,[[8225]],[[6785]]
kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke . [S],kebersihan seprai harus tetap dijaga iya . overall semua bermasalah . [S],positive,negative,[[6785]],[[8225]]
kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin . [S],kamarnya sangat kedap suara . jadi kamar sebelah berbicara biasa pun tidak terdengar . 2 malam saya mengin . [S],negative,positive,[[8225]],[[6785]]
pelayanan yang baik . [S],pelayanan yang ok . [S],positive,negative,[[6785]],[[8225]]
"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [S]","pelayanannya sangat buruk , tidak cocok buat para traveller yang ingin inap di daerah ciputat . [S]",positive,negative,[[6785]],[[8225]]
tempat enak banget . [S],tempat sangat tidak nyaman . [S],positive,negative,[[6785]],[[8225]]
petugas yang ramah . [S],petugas yang tidak baik . [S],positive,negative,[[6785]],[[8225]]
"pesan 2 kamar cuma dapat sandal 2 pasang , kamar bau . [S]","pesan 2 kamar cuma dapat sandal 2 pasang , kamar harum . [S]",negative,positive,[[8225]],[[6785]]
air tidak jalan . [S],air kencang . [S],negative,positive,[[8225]],[[6785]]
sarapannya ala kadarnya . [S],sarapannya cukup mewah . [S],negative,positive,[[8225]],[[6785]]
"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera . [S]","tiga malam menginap di sini . area tidak strategis , cukup jauh dengan bandara dan jembatan ampera . [S]",positive,negative,[[6785]],[[8225]]
