index,original_pair,corrupted_pair,notes,difficult_words,valid
2501,pelayanan lumayan baik . [A] [O] [S] [A] pelayanan [O] lumayan baik [S] positive,fasilitas sangat buruk . [A] [O] [S] [A] fasilitas [O] sangat buruk [S] negative,,,True
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S] [A] suasananya [O] kurang nyaman [S] negative",,,,False
2512,makanan yang kurang memuaskan . [A] [O] [S] [A] makanan [O] kurang memuaskan [S] negative,fasilitas yang cukup memuaskan . [A] [O] [S] [A] fasilitas [O] cukup memuaskan [S] positive,,,True
2516,tempatnya nyaman untuk istirahat . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive,,,,False
2517,kamar bersih . [A] [O] [S] [A] kamar [O] bersih [S] positive,daun kotor . [A] [O] [S] [A] daun [O] kotor [S] negative,,,True
2524,harga terjangkau dan dekat dengan pusat kota bandung . [A] [O] [S] [A] harga [O] terjangkau [S] positive,lift sering macet dan dekat dengan pusat kota bandung . [A] [O] [S] [A] lift [O] sering macet [S] negative,,,True
2527,kamar yang didapatkan tidak terlalu bersih . [A] [O] [S] [A] kamar [O] tidak terlalu bersih [S] negative,,,,False
2529,hotel kurang nyaman . [A] [O] [S] [A] hotel [O] kurang nyaman [S] negative,ac terasa dingin . [A] [O] [S] [A] ac [O] terasa dingin [S] positive,,,True
2532,ini tempatnya oke . [A] [O] [S] [A] tempatnya [O] oke [S] positive,ini kamarnya kotor . [A] [O] [S] [A] kamarnya [O] kotor [S] negative,,,True
2541,pelayanan oke . [A] [O] [S] [A] pelayanan [O] oke [S] positive,kebersihan buruk . [A] [O] [S] [A] kebersihan [O] buruk [S] negative,,,True
2544,kamar mandi tergenang . [A] [O] [S] [A] kamar mandi [O] tergenang [S] negative,,,,False
2548,solusi hotel mewah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,,,,False
2550,"nyaman tempatnya , . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive","susah aksesnya , . [A] [O] [S] [A] aksesnya [O] susah [S] negative",,,True
