index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
2501,the service is quite good .,"[('service', 'quite good', 'positive')]",the food is quite bad .,"[('food', 'quite bad', 'negative')]",[A] service [O] quite good [S] positive,[A] service [O] quite good [S] positive,True
2506,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('atmosphere', 'not comfortable', 'negative')]","the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) .","[('room', 'very cozy', 'positive')]",[A] atmosphere [O] not comfortable [S] negative,[A] atmosphere [O] not comfortable [S] negative,True
2512,the food was unsatisfactory .,"[('food', 'unsatisfactory', 'negative')]",the room was nice and cool .,"[('room', 'nice and cool', 'positive')]",[A] food [O] unsatisfactory [S] negative,[A] food [O] unsatisfactory [S] negative,True
2516,the place is comfortable for resting .,"[('place', 'comfortable', 'positive')]",the room is troubled for resting .,"[('room', 'troubled', 'negative')]",[A] place [O] comfortable [S] positive,[A] place [O] comfortable [S] positive,True
2517,the room is clean .,"[('room', 'clean', 'positive')]",the floor is dirty .,"[('floor', 'dirty', 'negative')]",[A] room [O] clean [S] positive,[A] room [O] clean [S] positive,True
2524,the price is affordable and it's close to the city center of bandung .,"[('price', 'affordable', 'positive')]",the cost is steep and it's close to the city center of bandung .,"[('cost', 'steep', 'negative')]",[A] price [O] affordable [S] positive,[A] price [O] affordable [S] positive,True
2527,the room i got wasn't very clean .,"[('room', ""wasn't very clean"", 'negative')]",the book i got wasn't easily predictable .,"[('book', ""wasn't easily predictable"", 'positive')]",[A] room [O] wasn't very clean [S] negative,[A] room [O] wasn't very clean [S] negative,True
2529,the hotel is less comfortable .,"[('hotel', 'less comfortable', 'negative')]",the room is very warm .,"[('room', 'very warm', 'positive')]",[A] hotel [O] less comfortable [S] negative,[A] hotel [O] less comfortable [S] negative,True
2532,this place is okay .,"[('place', 'okay', 'positive')]",this store is bad .,"[('store', 'bad', 'negative')]",[A] place [O] okay [S] positive,[A] place [O] okay [S] positive,True
2541,the service is okay .,"[('service', 'okay', 'positive')]",the quality is bad .,"[('quality', 'bad', 'negative')]",[A] service [O] okay [S] positive,[A] service [O] okay [S] positive,True
2544,the bathroom was flooded .,"[('bathroom', 'flooded', 'negative')]",the kitchen was clean .,"[('kitchen', 'clean', 'positive')]",[A] bathroom [O] flooded [S] negative,[A] bathroom [O] flooded [S] negative,True
2548,a luxurious hotel solution at a cheap price .,"[('price', 'cheap', 'positive')]",a luxurious hotel solution at a low service .,"[('service', 'low', 'negative')]",[A] price [O] cheap [S] positive,[A] price [O] cheap [S] positive,True
2550,the place is comfortable .,"[('place', 'comfortable', 'positive')]",the space is uncomfortable .,"[('space', 'uncomfortable', 'negative')]",[A] place [O] comfortable [S] positive,[A] place [O] comfortable [S] positive,True
2553,the room is nice .,"[('room', 'nice', 'positive')]",the space is small .,"[('space', 'small', 'negative')]",[A] room [O] nice [S] positive,[A] room [O] nice [S] positive,True
2556,a comfortable place to stay .,"[('place', 'comfortable', 'positive')]",an unpleasant hotel to stay .,"[('hotel', 'unpleasant', 'negative')]",[A] place [O] comfortable [S] positive,[A] place [O] comfortable [S] positive,True
2561,the bathroom is not clean enough .,"[('bathroom', 'not clean enough', 'negative')]",the hallway is really very clean .,"[('hallway', 'really very clean', 'positive')]",[A] bathroom [O] not clean enough [S] negative,[A] bathroom [O] not clean enough [S] negative,True
2565,good service . thank you .,"[('service', 'good', 'positive')]",weak support . thank you .,"[('support', 'weak', 'negative')]",[A] service [O] good [S] positive,[A] service [O] good [S] positive,True
2579,the hotel is very comfortable .,"[('hotel', 'very comfortable', 'positive')]",the inn is very cramped .,"[('inn', 'very cramped', 'negative')]",[A] hotel [O] very comfortable [S] positive,[A] hotel [O] very comfortable [S] positive,True
