order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",[A] palayanan [O] lumayan alus [S] positive,pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]",[A] pananyana [O] goreng pisan [S] negative,True
ASO,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",[A] palayanan [S] positive [O] lumayan alus,pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]",[A] pananyana [S] negative [O] goreng pisan,True
SAO,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",[S] positive [A] palayanan [O] lumayan alus,pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]",[S] negative [A] pananyana [O] goreng pisan,True
OAS,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",[O] lumayan alus [A] palayanan [S] positive,pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]",[O] goreng pisan [A] pananyana [S] negative,True
OSA,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",[O] lumayan alus [S] positive [A] palayanan,pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]",[O] goreng pisan [S] negative [A] pananyana,True
AOS,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",[A] suasanana [O] kurang ngeunaheun [S] negative,baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]",[A] baturanna [O] pikabetaheun pisan [S] positive,True
ASO,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",[A] suasanana [S] negative [O] kurang ngeunaheun,baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]",[A] baturanna [S] positive [O] pikabetaheun pisan,True
SAO,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",[S] negative [A] suasanana [O] kurang ngeunaheun,baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]",[S] positive [A] baturanna [O] pikabetaheun pisan,True
OAS,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",[O] kurang ngeunaheun [A] suasanana [S] negative,baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]",[O] pikabetaheun pisan [A] baturanna [S] positive,True
OSA,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",[O] kurang ngeunaheun [S] negative [A] suasanana,baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]",[O] pikabetaheun pisan [S] positive [A] baturanna,True
