clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
airnya kurang kencang . [O],airnya lirih . [O],kurang kencang,lirih,"[[68317, 524, 595, 954, 524]]","[[75, 404, 6996]]"
"tidak ada fasilitas airy , . [O]","minim fasilitas airy , . [O]",tidak ada,minim,"[[24449, 585, 34234]]","[[1065, 318]]"
air kamar mandinnya asin . [O],air kamar mandinnya berasa garam . [O],asin,berasa garam,[[50310]],"[[652, 15428, 342, 637]]"
menjadi pengalaman yang sangat berkesan . [O],menjadi pengalaman yang tak terlupakan . [O],sangat berkesan,tak terlupakan,"[[82, 524, 266, 10207, 12556, 276]]","[[83, 585, 1982, 75, 73736]]"
parkir mobil agak susah . [O],parkir mobil terbatas . [O],agak susah,terbatas,"[[351, 585, 4481, 1466]]","[[465, 13718, 300]]"
"memang tidak ada sarapan , . [O]","memang tidak disediakan sarapan , . [O]",tidak ada,tidak disediakan,"[[24449, 585, 34234]]","[[24449, 585, 827, 19048, 19262]]"
"saya sudah 4 kali menginap di sini , overall pelayanannya baik . [O]","saya sudah 4 kali menginap di sini , overall pelayanannya bagus . [O]",baik,bagus,"[[4645, 1579]]","[[21250, 355]]"
tidak ada sabun di dalam kamar . [O],tidak diberikan sabun di dalam kamar . [O],tidak ada,tidak diberikan,"[[24449, 585, 34234]]","[[24449, 585, 294, 8629, 22222]]"
wifi nya kurang memuaskan : ) . [O],wifi nya buruk : ) . [O],kurang memuaskan,buruk,"[[68317, 524, 1833, 84, 78351]]","[[11240, 3101]]"
kamar sempit . [O],kamar sesak . [O],sempit,sesak,"[[325, 1307, 275]]","[[9275, 585]]"
hot shower tidak berfungsi . [O],hot shower rusak . [O],tidak berfungsi,rusak,"[[24449, 585, 10207, 78606, 6321]]","[[20341, 585]]"
bagus tempatnya . [O],apik tempatnya . [O],bagus,apik,"[[21250, 355]]","[[391, 1579]]"
kurang nyaman di kamar mandi . [O],tidak menyenangkan di kamar mandi . [O],kurang nyaman,tidak menyenangkan,"[[68317, 524, 19004, 12715]]","[[24449, 585, 54425, 268, 86012]]"
kamar bagus untuk budget standar . [O],kamar elok untuk budget standar . [O],bagus,elok,"[[21250, 355]]","[[301, 562]]"
"tidak ada kesan sama sekali , terimakasih . [O]","buruk kesan sama sekali , terimakasih . [O]",tidak ada,buruk,"[[24449, 585, 34234]]","[[11240, 3101]]"
seprai nya kurang bersih . [O],seprai nya kotor . [O],kurang bersih,kotor,"[[68317, 524, 58554, 6996]]","[[74, 9887]]"
tidak ada handuk . [O],kurang handuk . [O],tidak ada,kurang,"[[24449, 585, 34234]]","[[68317, 524]]"
"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [O]","pelayanannya hebat , cocok banget buat para traveller yang ingin inap di daerah ciputat . [O]",sangat baik,hebat,"[[82, 524, 266, 79187]]","[[383, 13718]]"
air tidak jalan . [O],air macet . [O],tidak jalan,macet,"[[24449, 585, 502, 32283]]","[[11948, 295]]"
"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera . [O]","tiga malam menginap di sini . area ideal , tidak begitu jauh dengan bandara dan jembatan ampera . [O]",strategis,ideal,"[[495, 1328, 285]]",[[62953]]
wifi jelek . [O],wifi buruk . [O],jelek,buruk,"[[3756, 75776]]","[[11240, 3101]]"
pelayannya kurang ramah . [O],pelayannya tidak sopan . [O],kurang ramah,tidak sopan,"[[68317, 524, 17823, 1466]]","[[24449, 585, 70204, 276]]"
kamarnya kurang bersih . [O],kamarnya kotor . [O],kurang bersih,kotor,"[[68317, 524, 58554, 6996]]","[[74, 9887]]"
bagus . pelayanannya . [O],baik sekali . pelayanannya . [O],bagus,baik sekali,"[[21250, 355]]","[[4645, 1579, 43834, 7956]]"
sarapan yang kurang menarik . [O],sarapan yang tidak menggugah selera . [O],kurang menarik,tidak menggugah selera,"[[68317, 524, 2953, 277, 1579]]","[[24449, 585, 19729, 70, 768, 1466, 11806, 2416]]"
menu sarapan kurang enak . [O],menu sarapan tidak memuaskan . [O],kurang enak,tidak memuaskan,"[[68317, 524, 662, 585]]","[[24449, 585, 1833, 84, 78351]]"
ac kurang dingin . [O],ac tidak begitu dingin . [O],kurang dingin,tidak begitu dingin,"[[68317, 524, 66442, 258]]","[[24449, 585, 2148, 32362, 66442, 258]]"
"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [O]","lampu penerangan masuk hotel redup karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [O]",gelap,redup,"[[28852, 391]]","[[1151, 454]]"
kamar mandi terlalu sempit . [O],kamar mandi sempit sekali . [O],terlalu sempit,sempit sekali,"[[465, 75, 36986, 74597, 275]]","[[325, 1307, 275, 43834, 7956]]"
kamar mandi kotor . [O],kamar mandi berdebu . [O],kotor,berdebu,"[[74, 9887]]","[[652, 450, 19644]]"
kebersihan kamar tolong diperhatikan . [O],kebersihan kamar mohon diperhatikan . [O],tolong diperhatikan,mohon diperhatikan,"[[20576, 644, 294, 12858, 9198, 22222]]","[[76, 98592, 294, 12858, 9198, 22222]]"
menu sarapannya enak . [O],menu sarapannya nikmat . [O],enak,nikmat,"[[268, 585]]","[[21490, 8470]]"
ac nya kurang dingin . [O],ac nya tidak begitu dingin . [O],kurang dingin,tidak begitu dingin,"[[68317, 524, 66442, 258]]","[[24449, 585, 2148, 32362, 66442, 258]]"
ac di kamar nomor 10 tidak dingin . [O],ac di kamar nomor 10 kurang dingin . [O],tidak dingin,kurang dingin,"[[24449, 585, 66442, 258]]","[[68317, 524, 66442, 258]]"
"kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . [O]","kondisi kamar sudah lumayan , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . [O]",baik,lumayan,"[[4645, 1579]]","[[75, 372, 43857]]"
air panas tidak berfungsi . [O],air panas rusak . [O],tidak berfungsi,rusak,"[[24449, 585, 10207, 78606, 6321]]","[[20341, 585]]"
menu sarapan bervariasi . [O],menu sarapan beragam . [O],bervariasi,beragam,"[[65, 648, 2780, 10215]]","[[652, 351, 309]]"
kebersihan perlu ditingkatkan . [O],kebersihan perlu diperbaiki . [O],perlu ditingkatkan,perlu diperbaiki,"[[712, 9835, 294, 5853, 33755, 8656]]","[[712, 9835, 294, 12858, 4645, 7570]]"
bangunan lama agak seram . [O],bangunan lama menakutkan . [O],agak seram,menakutkan,"[[351, 585, 1420, 309]]","[[5676, 585, 332, 8656]]"
