order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",[A] pelayanan [O] lumayan baik [S] positive,fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]",[A] fasilitas [O] sangat buruk [S] negative,True
ASO,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",[A] pelayanan [S] positive [O] lumayan baik,fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]",[A] fasilitas [S] negative [O] sangat buruk,True
SAO,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",[S] positive [A] pelayanan [O] lumayan baik,fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]",[S] negative [A] fasilitas [O] sangat buruk,True
OAS,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",[O] lumayan baik [A] pelayanan [S] positive,fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]",[O] sangat buruk [A] fasilitas [S] negative,True
OSA,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",[O] lumayan baik [S] positive [A] pelayanan,fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]",[O] sangat buruk [S] negative [A] fasilitas,True
AOS,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",[A] makanan [O] kurang memuaskan [S] negative,fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]",[A] fasilitas [O] cukup memuaskan [S] positive,True
ASO,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",[A] makanan [S] negative [O] kurang memuaskan,fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]",[A] fasilitas [S] positive [O] cukup memuaskan,True
SAO,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",[S] negative [A] makanan [O] kurang memuaskan,fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]",[S] positive [A] fasilitas [O] cukup memuaskan,True
OAS,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",[O] kurang memuaskan [A] makanan [S] negative,fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]",[O] cukup memuaskan [A] fasilitas [S] positive,True
OSA,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",[O] kurang memuaskan [S] negative [A] makanan,fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]",[O] cukup memuaskan [S] positive [A] fasilitas,True
AOS,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",[A] kamar [O] bersih [S] positive,daun kotor . [,"[('daun', 'kotor', 'negative')]",[A] daun [O] kotor [S] negative,True
ASO,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",[A] kamar [S] positive [O] bersih,daun kotor . [,"[('daun', 'kotor', 'negative')]",[A] daun [S] negative [O] kotor,True
SAO,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",[S] positive [A] kamar [O] bersih,daun kotor . [,"[('daun', 'kotor', 'negative')]",[S] negative [A] daun [O] kotor,True
OAS,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",[O] bersih [A] kamar [S] positive,daun kotor . [,"[('daun', 'kotor', 'negative')]",[O] kotor [A] daun [S] negative,True
OSA,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",[O] bersih [S] positive [A] kamar,daun kotor . [,"[('daun', 'kotor', 'negative')]",[O] kotor [S] negative [A] daun,True
AOS,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",[A] harga [O] terjangkau [S] positive,lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]",[A] lift [O] sering macet [S] negative,True
ASO,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",[A] harga [S] positive [O] terjangkau,lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]",[A] lift [S] negative [O] sering macet,True
SAO,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",[S] positive [A] harga [O] terjangkau,lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]",[S] negative [A] lift [O] sering macet,True
OAS,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",[O] terjangkau [A] harga [S] positive,lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]",[O] sering macet [A] lift [S] negative,True
OSA,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",[O] terjangkau [S] positive [A] harga,lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]",[O] sering macet [S] negative [A] lift,True
AOS,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",[A] hotel [O] kurang nyaman [S] negative,ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]",[A] ac [O] terasa dingin [S] positive,True
ASO,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",[A] hotel [S] negative [O] kurang nyaman,ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]",[A] ac [S] positive [O] terasa dingin,True
SAO,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",[S] negative [A] hotel [O] kurang nyaman,ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]",[S] positive [A] ac [O] terasa dingin,True
OAS,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",[O] kurang nyaman [A] hotel [S] negative,ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]",[O] terasa dingin [A] ac [S] positive,True
OSA,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",[O] kurang nyaman [S] negative [A] hotel,ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]",[O] terasa dingin [S] positive [A] ac,True
AOS,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",[A] tempatnya [O] oke [S] positive,ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[A] kamarnya [O] kotor [S] negative,True
ASO,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",[A] tempatnya [S] positive [O] oke,ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[A] kamarnya [S] negative [O] kotor,True
SAO,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",[S] positive [A] tempatnya [O] oke,ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[S] negative [A] kamarnya [O] kotor,True
OAS,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",[O] oke [A] tempatnya [S] positive,ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[O] kotor [A] kamarnya [S] negative,True
OSA,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",[O] oke [S] positive [A] tempatnya,ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[O] kotor [S] negative [A] kamarnya,True
AOS,pelayanan oke . [,"[('pelayanan', 'oke', 'positive')]",[A] pelayanan [O] oke [S] positive,kebersihan buruk . [,"[('kebersihan', 'buruk', 'negative')]",[A] kebersihan [O] buruk [S] negative,True
