index,original_pair,corrupted_pair
2501,pelayanan lumayan baik . [A] [O] [S] [A] pelayanan [O] lumayan baik [S] positive,
2512,makanan yang kurang memuaskan . [A] [O] [S] [A] makanan [O] kurang memuaskan [S] negative,
2517,kamar bersih . [A] [O] [S] [A] kamar [O] bersih [S] positive,
2524,harga terjangkau dan dekat dengan pusat kota bandung . [A] [O] [S] [A] harga [O] terjangkau [S] positive,
2529,hotel kurang nyaman . [A] [O] [S] [A] hotel [O] kurang nyaman [S] negative,
2532,ini tempatnya oke . [A] [O] [S] [A] tempatnya [O] oke [S] positive,
2541,pelayanan oke . [A] [O] [S] [A] pelayanan [O] oke [S] positive,
2547,pelayanan yang sangat mengecewakan . [A] [O] [S] [A] pelayanan [O] sangat mengecewakan [S] negative,
2549,tidak ada air mineral di kamar . [A] [O] [S] [A] air mineral [O] tidak ada [S] negative,
2550,"nyaman tempatnya , . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive",
2551,sayang tidak ada breakfastnya . hihihj . [A] [O] [S] [A] breakfastnya [O] tidak ada [S] negative,
2553,kamar bagus . [A] [O] [S] [A] kamar [O] bagus [S] positive,
2556,tempat menginap yang nyaman . [A] [O] [S] [A] tempat [O] nyaman [S] positive,
2561,kamar mandi kurang bersih . [A] [O] [S] [A] kamar mandi [O] kurang bersih [S] negative,
2565,pelayanan baik . terimakasih . [A] [O] [S] [A] pelayanan [O] baik [S] positive,
2579,hotel sangat nyaman . [A] [O] [S] [A] hotel [O] sangat nyaman [S] positive,
2592,kamar kotor . [A] [O] [S] [A] kamar [O] kotor [S] negative,
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar . [A] [O] [S] [A] tempat [O] enak [S] positive",
2598,pelayanan baik selama 24jam . [A] [O] [S] [A] pelayanan [O] baik [S] positive,
2600,penjaganya kurang ramah . [A] [O] [S] [A] penjaganya [O] kurang ramah [S] negative,
2628,menu breakfast kurang lengkap . [A] [O] [S] [A] menu breakfast [O] kurang lengkap [S] negative,
2636,lampu kamar kurang terang . [A] [O] [S] [A] lampu kamar [O] kurang terang [S] negative,
2642,resepsionis kurang ramah . [A] [O] [S] [A] resepsionis [O] kurang ramah [S] negative,
2699,wifi tidak hidup nya . [A] [O] [S] [A] wifi [O] tidak hidup [S] negative,
2700,lokasi oke . dekat dengan pusat kota . [A] [O] [S] [A] lokasi [O] oke [S] positive,
2703,kamarnya kecil banget . [A] [O] [S] [A] kamarnya [O] kecil banget [S] negative,
2733,"tempat yang nyaman , dekat sekali dengan masjid . [A] [O] [S] [A] tempat [O] nyaman [S] positive",
2755,untuk inap yang kemarin tempat tidur kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,
2945,wifi kurang baik . [A] [O] [S] [A] wifi [O] kurang baik [S] negative,
2970,tempat tdr kurang nyaman . [A] [O] [S] [A] tempat tdr [O] kurang nyaman [S] negative,
2991,pelayanan bagus . terimakasih airy ! [A] [O] [S] [A] pelayanan [O] bagus [S] positive,
3084,kamar sempit banget . [A] [O] [S] [A] kamar [O] sempit banget [S] negative,
3113,kamar luas dekat stasiun balapan . [A] [O] [S] [A] kamar [O] luas [S] positive,
3172,wastafel macet . [A] [O] [S] [A] wastafel [O] macet [S] negative,
3251,tetapi tidak disediakan air mineral di dalam kamar . [A] [O] [S] [A] air mineral [O] tidak disediakan [S] negative,
3253,pelayanan resepsionis cepat . [A] [O] [S] [A] pelayanan resepsionis [O] cepat [S] positive,
3266,good banget hotelnya . [A] [O] [S] [A] hotelnya [O] good banget [S] positive,
3307,resepsionisnya ramah . [A] [O] [S] [A] resepsionisnya [O] ramah [S] positive,
3377,hotel nyaman . terimakasih airy . [A] [O] [S] [A] hotel [O] nyaman [S] positive,
3384,shower nya rusak . [A] [O] [S] [A] shower nya [O] rusak [S] negative,
3392,airnya terlalu kecil . [A] [O] [S] [A] airnya [O] terlalu kecil [S] negative,
3401,pelayanan cepat . [A] [O] [S] [A] pelayanan [O] cepat [S] positive,
3470,"proses check in nya lama , padahal sudah mau istirahat . [A] [O] [S] [A] proses check in nya [O] lama [S] negative",
3486,kamar mandi sempit . [A] [O] [S] [A] kamar mandi [O] sempit [S] negative,
