clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
the service is quite good . [A] [O] [S],the food is quite bad . [A] [O] [S],[A] service [O] quite good [S] positive,[A] food [O] quite bad [S] negative,"[[508, 32, 60, 2473, 508, 46, 60, 5008, 1661, 508, 50, 60, 6785]]","[[508, 32, 60, 3607, 508, 46, 60, 5008, 3873, 508, 50, 60, 8225]]"
the service is quite good . [A] [S] [O],the food is quite bad . [A] [S] [O],[A] service [S] positive [O] quite good,[A] food [S] negative [O] quite bad,"[[508, 32, 60, 2473, 508, 50, 60, 6785, 508, 46, 60, 5008, 1661]]","[[508, 32, 60, 3607, 508, 50, 60, 8225, 508, 46, 60, 5008, 3873]]"
the service is quite good . [S] [A] [O],the food is quite bad . [S] [A] [O],[S] positive [A] service [O] quite good,[S] negative [A] food [O] quite bad,"[[508, 50, 60, 6785, 508, 32, 60, 2473, 508, 46, 60, 5008, 1661]]","[[508, 50, 60, 8225, 508, 32, 60, 3607, 508, 46, 60, 5008, 3873]]"
the service is quite good . [O] [A] [S],the food is quite bad . [O] [A] [S],[O] quite good [A] service [S] positive,[O] quite bad [A] food [S] negative,"[[508, 46, 60, 5008, 1661, 508, 32, 60, 2473, 508, 50, 60, 6785]]","[[508, 46, 60, 5008, 3873, 508, 32, 60, 3607, 508, 50, 60, 8225]]"
the service is quite good . [O] [S] [A],the food is quite bad . [O] [S] [A],[O] quite good [S] positive [A] service,[O] quite bad [S] negative [A] food,"[[508, 46, 60, 5008, 1661, 508, 50, 60, 6785, 508, 32, 60, 2473]]","[[508, 46, 60, 5008, 3873, 508, 50, 60, 8225, 508, 32, 60, 3607]]"
"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [A] [O] [S]","the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [A] [O] [S]",[A] atmosphere [O] not comfortable [S] negative,[A] room [O] very cozy [S] positive,"[[508, 32, 60, 16566, 508, 46, 60, 537, 10655, 508, 50, 60, 8225]]","[[508, 32, 60, 3054, 508, 46, 60, 1602, 42435, 508, 50, 60, 6785]]"
"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [A] [S] [O]","the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [A] [S] [O]",[A] atmosphere [S] negative [O] not comfortable,[A] room [S] positive [O] very cozy,"[[508, 32, 60, 16566, 508, 50, 60, 8225, 508, 46, 60, 537, 10655]]","[[508, 32, 60, 3054, 508, 50, 60, 6785, 508, 46, 60, 1602, 42435]]"
"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [S] [A] [O]","the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [S] [A] [O]",[S] negative [A] atmosphere [O] not comfortable,[S] positive [A] room [O] very cozy,"[[508, 50, 60, 8225, 508, 32, 60, 16566, 508, 46, 60, 537, 10655]]","[[508, 50, 60, 6785, 508, 32, 60, 3054, 508, 46, 60, 1602, 42435]]"
"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [O] [A] [S]","the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [O] [A] [S]",[O] not comfortable [A] atmosphere [S] negative,[O] very cozy [A] room [S] positive,"[[508, 46, 60, 537, 10655, 508, 32, 60, 16566, 508, 50, 60, 8225]]","[[508, 46, 60, 1602, 42435, 508, 32, 60, 3054, 508, 50, 60, 6785]]"
"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [O] [S] [A]","the room is very cozy . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [O] [S] [A]",[O] not comfortable [S] negative [A] atmosphere,[O] very cozy [S] positive [A] room,"[[508, 46, 60, 537, 10655, 508, 50, 60, 8225, 508, 32, 60, 16566]]","[[508, 46, 60, 1602, 42435, 508, 50, 60, 6785, 508, 32, 60, 3054]]"
the food was unsatisfactory . [A] [O] [S],the room was nice and cool . [A] [O] [S],[A] food [O] unsatisfactory [S] negative,[A] room [O] nice and cool [S] positive,"[[508, 32, 60, 3607, 508, 46, 60, 6975, 7478, 2919, 508, 50, 60, 8225]]","[[508, 32, 60, 3054, 508, 46, 60, 6419, 323, 7010, 508, 50, 60, 6785]]"
the food was unsatisfactory . [A] [S] [O],the room was nice and cool . [A] [S] [O],[A] food [S] negative [O] unsatisfactory,[A] room [S] positive [O] nice and cool,"[[508, 32, 60, 3607, 508, 50, 60, 8225, 508, 46, 60, 6975, 7478, 2919]]","[[508, 32, 60, 3054, 508, 50, 60, 6785, 508, 46, 60, 6419, 323, 7010]]"
the food was unsatisfactory . [S] [A] [O],the room was nice and cool . [S] [A] [O],[S] negative [A] food [O] unsatisfactory,[S] positive [A] room [O] nice and cool,"[[508, 50, 60, 8225, 508, 32, 60, 3607, 508, 46, 60, 6975, 7478, 2919]]","[[508, 50, 60, 6785, 508, 32, 60, 3054, 508, 46, 60, 6419, 323, 7010]]"
the food was unsatisfactory . [O] [A] [S],the room was nice and cool . [O] [A] [S],[O] unsatisfactory [A] food [S] negative,[O] nice and cool [A] room [S] positive,"[[508, 46, 60, 6975, 7478, 2919, 508, 32, 60, 3607, 508, 50, 60, 8225]]","[[508, 46, 60, 6419, 323, 7010, 508, 32, 60, 3054, 508, 50, 60, 6785]]"
the food was unsatisfactory . [O] [S] [A],the room was nice and cool . [O] [S] [A],[O] unsatisfactory [S] negative [A] food,[O] nice and cool [S] positive [A] room,"[[508, 46, 60, 6975, 7478, 2919, 508, 50, 60, 8225, 508, 32, 60, 3607]]","[[508, 46, 60, 6419, 323, 7010, 508, 50, 60, 6785, 508, 32, 60, 3054]]"
the place is comfortable for resting . [A] [O] [S],the room is troubled for resting . [A] [O] [S],[A] place [O] comfortable [S] positive,[A] room [O] troubled [S] negative,"[[508, 32, 60, 1992, 508, 46, 60, 10655, 508, 50, 60, 6785]]","[[508, 32, 60, 3054, 508, 46, 60, 41032, 508, 50, 60, 8225]]"
the place is comfortable for resting . [A] [S] [O],the room is troubled for resting . [A] [S] [O],[A] place [S] positive [O] comfortable,[A] room [S] negative [O] troubled,"[[508, 32, 60, 1992, 508, 50, 60, 6785, 508, 46, 60, 10655]]","[[508, 32, 60, 3054, 508, 50, 60, 8225, 508, 46, 60, 41032]]"
the place is comfortable for resting . [S] [A] [O],the room is troubled for resting . [S] [A] [O],[S] positive [A] place [O] comfortable,[S] negative [A] room [O] troubled,"[[508, 50, 60, 6785, 508, 32, 60, 1992, 508, 46, 60, 10655]]","[[508, 50, 60, 8225, 508, 32, 60, 3054, 508, 46, 60, 41032]]"
the place is comfortable for resting . [O] [A] [S],the room is troubled for resting . [O] [A] [S],[O] comfortable [A] place [S] positive,[O] troubled [A] room [S] negative,"[[508, 46, 60, 10655, 508, 32, 60, 1992, 508, 50, 60, 6785]]","[[508, 46, 60, 41032, 508, 32, 60, 3054, 508, 50, 60, 8225]]"
