clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
tempat tdr kurang bersih . [A] [O] [S],baju anakku cukup cepat . [A] [O] [S],[A] tempat tidur [O] kurang bersih [S] negative,[A] baju anakku [O] cukup cepat [S] positive,"[[508, 32, 60, 2730, 266, 13112, 324, 508, 46, 60, 27265, 524, 58554, 6996, 508, 50, 60, 8225]]","[[508, 32, 60, 293, 51413, 83255, 12133, 508, 46, 60, 92743, 454, 62090, 266, 508, 50, 60, 6785]]"
tempat tdr kurang bersih . [A] [S] [O],baju anakku cukup cepat . [A] [S] [O],[A] tempat tidur [S] negative [O] kurang bersih,[A] baju anakku [S] positive [O] cukup cepat,"[[508, 32, 60, 2730, 266, 13112, 324, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 58554, 6996]]","[[508, 32, 60, 293, 51413, 83255, 12133, 508, 50, 60, 6785, 508, 46, 60, 92743, 454, 62090, 266]]"
tempat tdr kurang bersih . [S] [A] [O],baju anakku cukup cepat . [S] [A] [O],[S] negative [A] tempat tidur [O] kurang bersih,[S] positive [A] baju anakku [O] cukup cepat,"[[508, 50, 60, 8225, 508, 32, 60, 2730, 266, 13112, 324, 508, 46, 60, 27265, 524, 58554, 6996]]","[[508, 50, 60, 6785, 508, 32, 60, 293, 51413, 83255, 12133, 508, 46, 60, 92743, 454, 62090, 266]]"
tempat tdr kurang bersih . [O] [A] [S],baju anakku cukup cepat . [O] [A] [S],[O] kurang bersih [A] tempat tidur [S] negative,[O] cukup cepat [A] baju anakku [S] positive,"[[508, 46, 60, 27265, 524, 58554, 6996, 508, 32, 60, 2730, 266, 13112, 324, 508, 50, 60, 8225]]","[[508, 46, 60, 92743, 454, 62090, 266, 508, 32, 60, 293, 51413, 83255, 12133, 508, 50, 60, 6785]]"
tempat tdr kurang bersih . [O] [S] [A],baju anakku cukup cepat . [O] [S] [A],[O] kurang bersih [S] negative [A] tempat tidur,[O] cukup cepat [S] positive [A] baju anakku,"[[508, 46, 60, 27265, 524, 58554, 6996, 508, 50, 60, 8225, 508, 32, 60, 2730, 266, 13112, 324]]","[[508, 46, 60, 92743, 454, 62090, 266, 508, 50, 60, 6785, 508, 32, 60, 293, 51413, 83255, 12133]]"
tidak ada sarapan . [A] [O] [S],baik sangat lilin . [A] [O] [S],[A] sarapan [O] tidak ada [S] negative,[A] lilin [O] baik sangat [S] positive,"[[508, 32, 60, 28047, 5359, 508, 46, 60, 27281, 34234, 508, 50, 60, 8225]]","[[508, 32, 60, 61371, 258, 508, 46, 60, 79187, 70464, 508, 50, 60, 6785]]"
tidak ada sarapan . [A] [S] [O],baik sangat lilin . [A] [S] [O],[A] sarapan [S] negative [O] tidak ada,[A] lilin [S] positive [O] baik sangat,"[[508, 32, 60, 28047, 5359, 508, 50, 60, 8225, 508, 46, 60, 27281, 34234]]","[[508, 32, 60, 61371, 258, 508, 50, 60, 6785, 508, 46, 60, 79187, 70464]]"
tidak ada sarapan . [S] [A] [O],baik sangat lilin . [S] [A] [O],[S] negative [A] sarapan [O] tidak ada,[S] positive [A] lilin [O] baik sangat,"[[508, 50, 60, 8225, 508, 32, 60, 28047, 5359, 508, 46, 60, 27281, 34234]]","[[508, 50, 60, 6785, 508, 32, 60, 61371, 258, 508, 46, 60, 79187, 70464]]"
tidak ada sarapan . [O] [A] [S],baik sangat lilin . [O] [A] [S],[O] tidak ada [A] sarapan [S] negative,[O] baik sangat [A] lilin [S] positive,"[[508, 46, 60, 27281, 34234, 508, 32, 60, 28047, 5359, 508, 50, 60, 8225]]","[[508, 46, 60, 79187, 70464, 508, 32, 60, 61371, 258, 508, 50, 60, 6785]]"
tidak ada sarapan . [O] [S] [A],baik sangat lilin . [O] [S] [A],[O] tidak ada [S] negative [A] sarapan,[O] baik sangat [S] positive [A] lilin,"[[508, 46, 60, 27281, 34234, 508, 50, 60, 8225, 508, 32, 60, 28047, 5359]]","[[508, 46, 60, 79187, 70464, 508, 50, 60, 6785, 508, 32, 60, 61371, 258]]"
