parent_node,child_node,child_type
input,a0.h11,v
input,m0,
a0.h11,m0,
m0,m3,
m3,a16.h9,k
m3,a21.h6,k
a16.h9,logits,
a21.h6,logits,
input,a0.h0,v
input,a0.h1,v
input,a0.h5,v
input,a0.h6,v
input,a0.h8,k
input,a0.h8,v
input,a0.h9,v
input,a0.h10,v
input,a0.h12,v
input,a0.h13,v
a0.h0,m0,
a0.h1,m0,
a0.h5,m0,
a0.h6,m0,
a0.h8,m0,
a0.h9,m0,
a0.h10,m0,
a0.h12,m0,
a0.h13,m0,
m0,m4,
m0,m16,
m0,a20.h5,v
m0,a21.h0,k
m0,a21.h2,v
m0,a21.h8,k
m0,a21.h11,v
m4,a21.h11,v
m16,a21.h0,k
m16,a21.h8,v
m0,m21,
m0,a22.h6,k
m0,a22.h9,v
m0,a22.h11,v
m4,a22.h11,v
m16,a22.h11,v
m21,a22.h11,v
a20.h5,m22,
m0,a23.h11,k
m0,a23.h11,v
a22.h9,m23,
a22.h11,m23,
m22,m23,
m16,logits,
a21.h0,logits,
a21.h2,logits,
a21.h8,logits,
a21.h11,logits,
m21,logits,
a22.h6,logits,
a22.h9,logits,
a22.h11,logits,
a23.h11,logits,
m23,logits,
m0,m1,
m0,a2.h8,v
m0,m2,
m1,m2,
a2.h8,m2,
m1,m4,
m0,m14,
m0,m15,
m0,a16.h9,v
m2,m16,
m0,a20.h12,k
m0,m20,
m20,m21,
m0,a22.h1,k
m0,a22.h1,v
m0,m22,
m0,a23.h1,v
m0,m23,
m21,m23,
m0,logits,
m3,logits,
m4,logits,
m14,logits,
m15,logits,
a20.h12,logits,
m20,logits,
a22.h1,logits,
m22,logits,
a23.h1,logits,
