index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
2501,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]"
2506,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]"
2512,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]"
2516,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]"
2517,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",mobilna rujit .,"[('mobilna', 'rujit', 'negative')]"
2524,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]"
2527,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]"
2529,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]"
2532,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]"
2541,palayanan oke .,"[('palayanan', 'oke', 'positive')]",sawahna goreng .,"[('sawahna', 'goreng', 'negative')]"
2544,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]"
2548,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]"
2550,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]"
2553,kamar alus .,"[('kamar', 'alus', 'positive')]",gelas butut .,"[('gelas', 'butut', 'negative')]"
2556,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]"
2561,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]"
2565,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]"
2579,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]"
2584,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]","uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]"
2589,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]"
2590,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('tempatna', 'ngeunah', 'positive')]","ngeupeul jelemana , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('jelemana', 'ngeupeul', 'negative')]"
2592,kamarna kotor .,"[('kamarna', 'kotor', 'negative')]",daharna saé .,"[('daharna', 'saé', 'positive')]"
2593,"lokasina alus , deukeut stasion mangga besar .","[('lokasina', 'alus', 'positive')]","payungna butut , deukeut stasion mangga besar .","[('payungna', 'butut', 'negative')]"
