parent_node,child_node,child_type
input,a0.h0,q
input,a0.h0,v
input,a0.h1,q
input,a0.h1,k
input,a0.h1,v
input,a0.h2,k
input,a0.h2,v
input,a0.h3,q
input,a0.h3,k
input,a0.h5,q
input,a0.h5,k
input,a0.h5,v
input,a0.h6,k
input,a0.h6,v
input,a0.h8,k
input,a0.h8,v
input,a0.h9,q
input,a0.h9,k
input,a0.h9,v
input,a0.h10,q
input,a0.h10,k
input,a0.h10,v
input,a0.h11,q
input,a0.h11,k
input,a0.h11,v
input,a0.h12,v
input,a0.h13,q
input,a0.h13,k
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h2,m0,
a0.h3,m0,
a0.h5,m0,
a0.h6,m0,
a0.h8,m0,
a0.h9,m0,
a0.h10,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,a1.h4,v
input,m1,
a0.h1,m1,
m0,m1,
m0,a2.h8,v
m0,a2.h9,v
m0,a2.h11,v
m0,a2.h12,v
m0,a2.h13,q
m0,a2.h13,v
m1,a2.h8,v
m1,a2.h9,v
m1,a2.h11,v
m1,a2.h12,v
m1,a2.h13,v
m0,m2,
m1,m2,
a2.h8,m2,
a2.h9,m2,
a2.h11,m2,
a2.h12,m2,
a2.h13,m2,
m0,a3.h8,v
m0,a3.h10,v
m0,a3.h11,v
m2,a3.h8,v
m2,a3.h10,v
m2,a3.h11,v
m0,m3,
m1,m3,
a2.h12,m3,
m2,m3,
a3.h8,m3,
a3.h10,m3,
a3.h11,m3,
m0,m4,
a1.h4,m4,
m1,m4,
a2.h8,m4,
a2.h12,m4,
a2.h13,m4,
m2,m4,
a3.h8,m4,
a3.h11,m4,
m3,m4,
m0,m5,
m1,m5,
a2.h12,m5,
m2,m5,
m3,m5,
m4,m5,
m0,m6,
m1,m6,
a2.h8,m6,
a2.h9,m6,
a2.h11,m6,
a2.h12,m6,
m2,m6,
a3.h11,m6,
m3,m6,
m4,m6,
m5,m6,
m0,a7.h8,v
m0,a7.h11,q
m0,a7.h11,k
m0,a7.h13,q
m0,a7.h13,v
m2,a7.h13,v
m6,a7.h8,q
m6,a7.h8,v
m6,a7.h9,v
m6,a7.h11,q
m6,a7.h11,k
m6,a7.h13,v
m0,m7,
m1,m7,
a2.h8,m7,
a2.h12,m7,
m2,m7,
m3,m7,
m4,m7,
m5,m7,
m6,m7,
a7.h8,m7,
a7.h11,m7,
a7.h13,m7,
m0,a8.h7,v
m6,a8.h7,v
m7,a8.h7,v
m0,m8,
m3,m8,
m4,m8,
m5,m8,
m6,m8,
a8.h7,m8,
m0,a9.h2,v
a8.h7,a9.h13,v
m0,m9,
m4,m9,
m5,m9,
m6,m9,
m7,m9,
m8,m9,
a9.h13,m9,
a9.h2,a10.h7,v
m9,a10.h4,v
m9,a10.h7,v
m9,a10.h11,v
m9,a10.h12,v
m0,m10,
m1,m10,
m2,m10,
m4,m10,
m6,m10,
m7,m10,
a8.h7,m10,
m0,a11.h12,q
m0,a11.h12,k
m6,a11.h12,q
m7,a11.h12,q
a8.h7,a11.h12,k
m0,m11,
m1,m11,
m2,m11,
m5,m11,
m6,m11,
m0,m12,
a10.h7,a13.h6,v
a10.h11,a13.h6,v
m0,m13,
m1,m13,
a2.h12,m13,
m2,m13,
m4,m13,
m5,m13,
m6,m13,
m7,m13,
a8.h7,m13,
m11,m13,
m12,m13,
m4,a14.h5,v
a7.h9,a14.h5,v
m8,a14.h5,v
a9.h2,a14.h1,v
a9.h2,a14.h5,v
m9,a14.h5,v
a10.h4,a14.h1,v
a10.h4,a14.h5,v
a10.h7,a14.h5,v
a10.h7,a14.h7,v
a10.h7,a14.h10,v
a10.h11,a14.h5,v
a10.h12,a14.h7,v
a10.h12,a14.h9,v
a10.h12,a14.h10,v
m10,a14.h5,v
a13.h6,a14.h10,v
m13,a14.h1,v
m13,a14.h2,v
m13,a14.h5,v
m13,a14.h10,v
m0,m14,
m1,m14,
a2.h8,m14,
a2.h12,m14,
m2,m14,
m3,m14,
m4,m14,
m5,m14,
m6,m14,
m7,m14,
a10.h12,m14,
m11,m14,
m12,m14,
m13,m14,
a14.h1,m14,
a14.h2,m14,
a14.h5,m14,
a14.h7,m14,
a14.h9,m14,
a14.h10,m14,
m0,a15.h1,v
a14.h1,a15.h3,v
a14.h5,a15.h1,v
a14.h5,a15.h3,v
m14,a15.h1,q
m14,a15.h1,v
m14,a15.h3,v
m0,m15,
m1,m15,
a2.h12,m15,
m2,m15,
m3,m15,
m4,m15,
m6,m15,
m7,m15,
m8,m15,
m10,m15,
m11,m15,
m13,m15,
a14.h1,m15,
a14.h2,m15,
a14.h10,m15,
a15.h3,m15,
m0,a16.h0,v
m0,a16.h1,v
m0,a16.h2,v
m0,a16.h3,v
m0,a16.h4,v
m0,a16.h7,v
m0,a16.h8,v
m0,a16.h9,k
m0,a16.h9,v
m0,a16.h10,v
m0,a16.h11,v
m0,a16.h12,v
m0,a16.h13,k
m0,a16.h13,v
m1,a16.h1,v
m1,a16.h2,v
m1,a16.h3,v
m1,a16.h7,v
m1,a16.h9,v
m1,a16.h10,v
m1,a16.h11,v
m1,a16.h12,v
m1,a16.h13,v
a2.h8,a16.h7,v
a2.h8,a16.h9,v
a2.h8,a16.h10,v
a2.h8,a16.h12,v
a2.h8,a16.h13,v
a2.h12,a16.h7,v
a2.h12,a16.h9,v
a2.h12,a16.h10,v
a2.h12,a16.h11,v
a2.h12,a16.h12,v
a2.h12,a16.h13,v
a2.h13,a16.h10,v
a2.h13,a16.h13,v
m2,a16.h0,v
m2,a16.h1,v
m2,a16.h2,v
m2,a16.h3,v
m2,a16.h7,v
m2,a16.h9,v
m2,a16.h10,v
m2,a16.h11,v
m2,a16.h12,v
m2,a16.h13,v
m3,a16.h0,v
m3,a16.h1,v
m3,a16.h2,v
m3,a16.h3,v
m3,a16.h7,v
m3,a16.h9,v
m3,a16.h10,v
m3,a16.h12,v
m3,a16.h13,v
