order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[A] kamarnya [O] oke [S] positive,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[A] pot bunga [O] busuk [S] negative,True
AOS,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] baju anakku [O] cukup cepat [S] positive,True
AOS,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",[A] lampu tidur [O] tidak terdapat [S] negative,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[A] rekening tabungan [O] cepat sekali [S] positive,True
AOS,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[A] sarapan [O] tidak ada [S] negative,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[A] lilin [O] baik sangat [S] positive,True
AOS,di kamar saya tidak ada air hangat .,"[('air hangat', 'tidak ada', 'negative')]",[A] air hangat [O] tidak ada [S] negative,di kamar saya sangat ok daunnya .,"[('daunnya', 'sangat ok', 'positive')]",[A] daunnya [O] sangat ok [S] positive,True
AOS,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",[A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,komputer saja yang sangat nyaman dan damai setiap saat selalu .,"[('komputer', 'sangat nyaman dan damai setiap saat selalu', 'positive')]",[A] komputer [O] sangat nyaman dan damai setiap saat selalu [S] positive,True
AOS,air panas sering tidak mengalir .,"[('air panas', 'sering tidak mengalir', 'negative')]",[A] air panas [O] sering tidak mengalir [S] negative,kunci motor manis sekali rasanya .,"[('kunci motor', 'manis sekali rasanya', 'positive')]",[A] kunci motor [O] manis sekali rasanya [S] positive,True
AOS,"ketika kami menginap , pelayanannya ramah .","[('pelayanannya', 'ramah', 'positive')]",[A] pelayanannya [O] ramah [S] positive,"ketika kami menginap , kucing hitam mahal .","[('kucing hitam', 'mahal', 'negative')]",[A] kucing hitam [O] mahal [S] negative,True
AOS,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]",[A] kasurnya [O] buat sakit dada [S] negative,"mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[A] mie rebus [O] benar benar cantik [S] positive,True
AOS,kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]",[A] lampu [O] kurang terang [S] negative,kurang baju saja ini yang cepat sekali .,"[('baju', 'cepat sekali', 'positive')]",[A] baju [O] cepat sekali [S] positive,True
AOS,air panas kamar mandi kurang panas .,"[('air panas kamar mandi', 'kurang panas', 'negative')]",[A] air panas kamar mandi [O] kurang panas [S] negative,harga tiket kereta cepat enak sekali .,"[('harga tiket kereta cepat', 'enak sekali', 'positive')]",[A] harga tiket kereta cepat [O] enak sekali [S] positive,True
AOS,di kamar basement sinyal hp tidak ada .,"[('sinyal hp', 'tidak ada', 'negative')]",[A] sinyal hp [O] tidak ada [S] negative,di kamar basement kucing hitam sangat keras .,"[('kucing hitam', 'sangat keras', 'positive')]",[A] kucing hitam [O] sangat keras [S] positive,True
AOS,overall is oke lah .,"[('overall', 'oke', 'positive')]",[A] overall [O] oke [S] positive,air is mahal lah .,"[('air', 'mahal', 'negative')]",[A] air [O] mahal [S] negative,True
AOS,alhamdulillah ya kamar lumayan luas .,"[('kamar', 'lumayan luas', 'positive')]",[A] kamar [O] lumayan luas [S] positive,alhamdulillah ya meja sangat pahit .,"[('meja', 'sangat pahit', 'negative')]",[A] meja [O] sangat pahit [S] negative,True
AOS,"tempatnya bagus untuk istirahat , terimakasih airy .","[('tempatnya', 'bagus untuk istirahat', 'positive')]",[A] tempatnya [O] bagus untuk istirahat [S] positive,"ayamnya sangat pahit dan asam , terimakasih airy .","[('ayamnya', 'sangat pahit dan asam', 'negative')]",[A] ayamnya [O] sangat pahit dan asam [S] negative,True
AOS,kebersihan kamar masih jelek .,"[('kebersihan kamar', 'jelek', 'negative')]",[A] kebersihan kamar [O] jelek [S] negative,energi anginnya masih cerah .,"[('energi anginnya', 'cerah', 'positive')]",[A] energi anginnya [O] cerah [S] positive,True
AOS,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[('sarapan', 'cuma di kasih 1 x di hari pertama', 'negative')]",[A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada galaksi yang harum menyebar lembut sejak pagi .,"[('galaksi', 'harum menyebar lembut sejak pagi', 'positive')]",[A] galaksi [O] harum menyebar lembut sejak pagi [S] positive,True
