clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [A] [O] [S]","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [A] [O] [S]",[A] snack [O] tidak dapat [S] negative,[A] radio [O] baik sangat [S] positive,"[[508, 32, 60, 39359, 508, 46, 60, 27281, 44117, 508, 50, 60, 8225]]","[[508, 32, 60, 8887, 508, 46, 60, 79187, 70464, 508, 50, 60, 6785]]"
kamarnya oke . [A] [O] [S],pot bunga  busuk . [A] [O] [S],[A] kamarnya [O] oke [S] positive,[A] pot bunga [O] busuk [S] negative,"[[508, 32, 60, 33661, 1885, 7755, 508, 46, 60, 297, 440, 508, 50, 60, 6785]]","[[508, 32, 60, 3338, 293, 91845, 508, 46, 60, 5828, 3101, 508, 50, 60, 8225]]"
tempat tdr kurang bersih . [A] [O] [S],baju anakku cukup cepat . [A] [O] [S],[A] tempat tidur [O] kurang bersih [S] negative,[A] baju anakku [O] cukup cepat [S] positive,"[[508, 32, 60, 2730, 266, 13112, 324, 508, 46, 60, 27265, 524, 58554, 6996, 508, 50, 60, 8225]]","[[508, 32, 60, 293, 51413, 83255, 12133, 508, 46, 60, 92743, 454, 62090, 266, 508, 50, 60, 6785]]"
tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . [A] [O] [S],tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . [A] [O] [S],[A] lampu tidur [O] tidak terdapat [S] negative,[A] rekening tabungan [O] cepat sekali [S] positive,"[[508, 32, 60, 27962, 84, 13112, 324, 508, 46, 60, 27281, 1982, 67, 25760, 508, 50, 60, 8225]]","[[508, 32, 60, 312, 89273, 5651, 51188, 508, 46, 60, 62090, 266, 43834, 7956, 508, 50, 60, 6785]]"
tidak ada sarapan . [A] [O] [S],baik sangat lilin . [A] [O] [S],[A] sarapan [O] tidak ada [S] negative,[A] lilin [O] baik sangat [S] positive,"[[508, 32, 60, 28047, 5359, 508, 46, 60, 27281, 34234, 508, 50, 60, 8225]]","[[508, 32, 60, 61371, 258, 508, 46, 60, 79187, 70464, 508, 50, 60, 6785]]"
di kamar saya tidak ada air hangat . [A] [O] [S],di kamar saya sangat ok daunnya . [A] [O] [S],[A] air hangat [O] tidak ada [S] negative,[A] daunnya [O] sangat ok [S] positive,"[[508, 32, 60, 3720, 14678, 266, 508, 46, 60, 27281, 34234, 508, 50, 60, 8225]]","[[508, 32, 60, 2994, 359, 22891, 508, 46, 60, 70464, 5394, 508, 50, 60, 6785]]"
air panas sering tidak mengalir . [A] [O] [S],kunci motor manis sekali rasanya . [A] [O] [S],[A] air panas [O] sering tidak mengalir [S] negative,[A] kunci motor [O] manis sekali rasanya [S] positive,"[[508, 32, 60, 3720, 7215, 300, 508, 46, 60, 1420, 287, 27281, 19729, 278, 404, 508, 50, 60, 8225]]","[[508, 32, 60, 595, 18424, 8872, 508, 46, 60, 883, 285, 43834, 7956, 49910, 24074, 508, 50, 60, 6785]]"
"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S]","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . [A] [O] [S]",[A] kasurnya [O] buat sakit dada [S] negative,[A] mie rebus [O] benar benar cantik [S] positive,"[[508, 32, 60, 47656, 399, 7755, 508, 46, 60, 1031, 266, 77310, 275, 294, 2584, 508, 50, 60, 8225]]","[[508, 32, 60, 29065, 312, 10338, 508, 46, 60, 3318, 277, 3318, 277, 16464, 1579, 508, 50, 60, 6785]]"
kurang lampu saja ini yang kurang terang . [A] [O] [S],kurang baju saja ini yang cepat sekali . [A] [O] [S],[A] lampu [O] kurang terang [S] negative,[A] baju [O] cepat sekali [S] positive,"[[508, 32, 60, 27962, 84, 508, 46, 60, 27265, 524, 1982, 524, 508, 50, 60, 8225]]","[[508, 32, 60, 293, 51413, 508, 46, 60, 62090, 266, 43834, 7956, 508, 50, 60, 6785]]"
di kamar basement sinyal hp tidak ada . [A] [O] [S],di kamar basement kucing hitam sangat keras . [A] [O] [S],[A] sinyal hp [O] tidak ada [S] negative,[A] kucing hitam [O] sangat keras [S] positive,"[[508, 32, 60, 274, 6441, 278, 20630, 508, 46, 60, 27281, 34234, 508, 50, 60, 8225]]","[[508, 32, 60, 595, 58044, 4201, 309, 508, 46, 60, 70464, 25689, 508, 50, 60, 6785]]"
overall is oke lah . [A] [O] [S],air is mahal lah . [A] [O] [S],[A] overall [O] oke [S] positive,[A] air [O] mahal [S] negative,"[[508, 32, 60, 8084, 508, 46, 60, 297, 440, 508, 50, 60, 6785]]","[[508, 32, 60, 3720, 508, 46, 60, 43216, 278, 508, 50, 60, 8225]]"
"tempatnya bagus untuk istirahat , terimakasih airy . [A] [O] [S]","ayamnya sangat pahit dan asam , terimakasih airy . [A] [O] [S]",[A] tempatnya [O] bagus untuk istirahat [S] positive,[A] ayamnya [O] sangat pahit dan asam [S] negative,"[[508, 32, 60, 2730, 266, 22891, 508, 46, 60, 8968, 355, 19593, 5999, 404, 1466, 266, 508, 50, 60, 6785]]","[[508, 32, 60, 18898, 309, 22891, 508, 46, 60, 70464, 281, 1466, 275, 9101, 438, 309, 508, 50, 60, 8225]]"
