index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
2501,palayanan lumayan alus .,"[('palayanan', 'lumayan alus', 'positive')]",pananyana goreng pisan .,"[('pananyana', 'goreng pisan', 'negative')]",[A] palayanan [O] lumayan alus [S] positive,[A] palayanan [O] lumayan alus [S] positive,True
2506,suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('suasanana', 'kurang ngeunaheun', 'negative')]",baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp .,"[('baturanna', 'pikabetaheun pisan', 'positive')]",[A] suasanana [O] kurang ngeunaheun [S] negative,[A] suasanana [O] kurang ngeunaheun [S] negative,True
2512,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]",[A] dahareun [O] kurang muaskeun [S] negative,[A] dahareun [O] kurang muaskeun [S] negative,True
2516,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]",[A] tempatna [O] ngeunaheun [S] positive,[A] tempatna [O] ngeunaheun [S] positive,True
2517,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",mobilna rujit .,"[('mobilna', 'rujit', 'negative')]",[A] kamarna [O] beresih [S] positive,[A] kamarna [O] beresih [S] positive,True
2524,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]",[A] hargana [O] kajangkau [S] positive,[A] hargana [O] kajangkau [S] positive,True
2527,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]",[A] kamar [O] teu pati beresih [S] negative,[A] kamar [O] teu pati beresih [S] negative,True
2529,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]",[A] hotél [O] kurang ngeunaheun [S] negative,[A] hotél [O] kurang ngeunaheun [S] negative,True
2532,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]",[A] tempatna [O] oke [S] positive,[A] tempatna [O] oke [S] positive,True
2541,palayanan oke .,"[('palayanan', 'oke', 'positive')]",sawahna goreng .,"[('sawahna', 'goreng', 'negative')]",[A] palayanan [O] oke [S] positive,[A] palayanan [O] oke [S] positive,True
2544,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]",[A] kamar mandi [O] nguyumbang [S] negative,[A] kamar mandi [O] nguyumbang [S] negative,True
2548,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]",[A] harga [O] murah [S] positive,[A] harga [O] murah [S] positive,True
2550,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]",[A] tempatna [O] ngeunaheun [S] positive,[A] tempatna [O] ngeunaheun [S] positive,True
2553,kamar alus .,"[('kamar', 'alus', 'positive')]",gelas butut .,"[('gelas', 'butut', 'negative')]",[A] kamar [O] alus [S] positive,[A] kamar [O] alus [S] positive,True
2556,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]",[A] tempat [O] ngeunaheun [S] positive,[A] tempat [O] ngeunaheun [S] positive,True
2561,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]",[A] kamar mandi [O] kurang beresih [S] negative,[A] kamar mandi [O] kurang beresih [S] negative,True
2565,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]",[A] palayanan [O] alus [S] positive,[A] palayanan [O] alus [S] positive,True
2579,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]",[A] hotelna [O] ngeunaheun pisan [S] positive,[A] hotelna [O] ngeunaheun pisan [S] positive,True
2584,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]","uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]",[A] lokasina [O] strategis [S] positive,[A] lokasina [O] strategis [S] positive,True
2589,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]",[A] résepsionisna [O] ramah [S] positive,[A] résepsionisna [O] ramah [S] positive,True
2590,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('tempatna', 'ngeunah', 'positive')]","ngeupeul jelemana , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('jelemana', 'ngeupeul', 'negative')]",[A] tempatna [O] ngeunah [S] positive,[A] tempatna [O] ngeunah [S] positive,True
2592,kamarna kotor .,"[('kamarna', 'kotor', 'negative')]",daharna saé .,"[('daharna', 'saé', 'positive')]",[A] kamarna [O] kotor [S] negative,[A] kamarna [O] kotor [S] negative,True
2593,"lokasina alus , deukeut stasion mangga besar .","[('lokasina', 'alus', 'positive')]","payungna butut , deukeut stasion mangga besar .","[('payungna', 'butut', 'negative')]",[A] lokasina [O] alus [S] positive,[A] lokasina [O] alus [S] positive,True
2594,"ieu tempat ngeunah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun .","[('tempat', 'ngeunah', 'positive')]","ieu batur teu betah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun .","[('batur', 'teu betah', 'negative')]",[A] tempat [O] ngeunah [S] positive,[A] tempat [O] ngeunah [S] positive,True
2598,palayanan mah alus salila 24 jam .,"[('palayanan', 'alus', 'positive')]",lapang bal mah goreng salila 24 jam .,"[('lapang bal', 'goreng', 'negative')]",[A] palayanan [O] alus [S] positive,[A] palayanan [O] alus [S] positive,True
2599,kasurna teuas : ( .,"[('kasurna', 'teuas', 'negative')]",bukuna rujit : ( .,"[('bukuna', 'rujit', 'negative')]",[A] kasurna [O] teuas [S] negative,[A] kasurna [O] teuas [S] negative,True
2600,nu ngajagana kurang ramah .,"[('nu ngajagana', 'kurang ramah', 'negative')]",nu mésérna sopan pisan .,"[('nu mésérna', 'sopan pisan', 'positive')]",[A] nu ngajagana [O] kurang ramah [S] negative,[A] nu ngajagana [O] kurang ramah [S] negative,True
2628,ménu sarapan téh kurang lengkep .,"[('ménu sarapan', 'kurang lengkep', 'negative')]",palayanan na téh lengkep pisan .,"[('palayanan na', 'lengkep pisan', 'positive')]",[A] ménu sarapan [O] kurang lengkep [S] negative,[A] ménu sarapan [O] kurang lengkep [S] negative,True
2642,résepsionis kurang ramah .,"[('résepsionis', 'kurang ramah', 'negative')]",pagawéanana alus pisan .,"[('pagawéanana', 'alus pisan', 'negative')]",[A] résepsionis [O] kurang ramah [S] negative,[A] résepsionis [O] kurang ramah [S] negative,True
2699,wifi-na teu hurung euy .,"[('wifi-na', 'teu hurung', 'negative')]",kaca caang pisan euy .,"[('kaca', 'caang pisan', 'positive')]",[A] wifi-na [O] teu hurung [S] negative,[A] wifi-na [O] teu hurung [S] negative,True
2700,lokasina oké . deukeut jeung tengah kota .,"[('lokasina', 'oké', 'positive')]",garasina butut . deukeut jeung tengah kota .,"[('garasina', 'butut', 'negative')]",[A] lokasina [O] oké [S] positive,[A] lokasina [O] oké [S] positive,True
2703,kamarna leutik pisan .,"[('kamarna', 'leutik pisan', 'negative')]",mobilna lengkep pisan .,"[('motorna', 'lengkep pisan', 'positive')]",[A] kamarna [O] leutik pisan [S] negative,[A] kamarna [O] leutik pisan [S] negative,True
2732,sakabehna mah muaskeun pisan .,"[('sakabehna', 'muaskeun pisan', 'positive')]",wastafelna mah meuni karotor pisan .,"[('wastafelna', 'meuni karotor pisan', 'negative')]",[A] sakabehna [O] muaskeun pisan [S] positive,[A] sakabehna [O] muaskeun pisan [S] positive,True
2755,"keur ngendong nu kamari mah , kasurna kurang beresih .","[('kasurna', 'kurang beresih', 'negative')]","keur ngendong nu kamari mah , supirna balageur pisan .","[('supirna', 'balageur pisan', 'positive')]",[A] kasurna [O] kurang beresih [S] negative,[A] kasurna [O] kurang beresih [S] negative,True
2941,"andukna ngan hiji , padahal urang duaan .","[('andukna', 'ngan hiji', 'negative')]","sapedana alus pisan, padahal urang duaan .","[('sapedana', 'alus pisan', 'positive')]",[A] andukna [O] ngan hiji [S] negative,[A] andukna [O] ngan hiji [S] negative,True
2945,wifi kurang alus .,"[('wifi', 'kurang alus', 'negative')]",tas lega pisan .,"[('tas', 'lega pisan', 'positive')]",[A] wifi [O] kurang alus [S] negative,[A] wifi [O] kurang alus [S] negative,True
2970,tempat saré kurang ngeunaheun .,"[('tempat saré', 'kurang ngeunaheun', 'negative')]",palayanan na ngeunaheun pisan .,"[('palayanan na', 'ngeunaheun pisan', 'positive')]",[A] tempat saré [O] kurang ngeunaheun [S] negative,[A] tempat saré [O] kurang ngeunaheun [S] negative,True
