index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
2501,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]"
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]"
2512,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]"
2516,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]"
2517,kamar bersih .,"[('kamar', 'bersih', 'positive')]",daun kotor .,"[('daun', 'kotor', 'negative')]"
2524,harga terjangkau dan dekat dengan pusat kota bandung .,"[('harga', 'terjangkau', 'positive')]",lift sering macet dan dekat dengan pusat kota bandung .,"[('lift', 'sering macet', 'negative')]"
2527,kamar yang didapatkan tidak terlalu bersih .,"[('kamar', 'tidak terlalu bersih', 'negative')]",staf yang didapatkan ramah dan baik sekali .,"[('staf', 'ramah dan baik sekali', 'positive')]"
2529,hotel kurang nyaman .,"[('hotel', 'kurang nyaman', 'negative')]",ac terasa dingin .,"[('ac', 'terasa dingin', 'positive')]"
2532,ini tempatnya oke .,"[('tempatnya', 'oke', 'positive')]",ini kamarnya kotor .,"[('kamarnya', 'kotor', 'negative')]"
2541,pelayanan oke .,"[('pelayanan', 'oke', 'positive')]",kebersihan buruk .,"[('kebersihan', 'buruk', 'negative')]"
2544,kamar mandi tergenang .,"[('kamar mandi', 'tergenang', 'negative')]",fasilitasnya baik sekali .,"[('fasilitasnya', 'baik sekali', 'positive')]"
2548,solusi hotel mewah harga murah .,"[('harga', 'murah', 'positive')]",solusi hotel mewah air keruh .,"[('air', 'keruh', 'negative')]"
2550,"nyaman tempatnya , .","[('tempatnya', 'nyaman', 'positive')]","susah aksesnya , .","[('aksesnya', 'susah', 'negative')]"
2553,kamar bagus .,"[('kamar', 'bagus', 'positive')]",gorden robek .,"[('gorden', 'robek', 'negative')]"
2556,tempat menginap yang nyaman .,"[('tempat', 'nyaman', 'positive')]",kamar menginap yang sempit .,"[('kamar', 'sempit', 'negative')]"
2561,kamar mandi kurang bersih .,"[('kamar mandi', 'kurang bersih', 'negative')]",kamar tidur selalu bersih .,"[('kamar tidur', 'selalu bersih', 'positive')]"
2565,pelayanan baik . terimakasih .,"[('pelayanan', 'baik', 'positive')]",makanan keras . terimakasih .,"[('makanan', 'keras', 'negative')]"
2579,hotel sangat nyaman .,"[('hotel', 'sangat nyaman', 'positive')]",staff tidak ramah .,"[('staff', 'tidak ramah', 'negative')]"
2584,"lokasi strategis dekat alunalun malang , banyak tempat makan .","[('lokasi', 'strategis', 'positive')]","ruangan kotor dekat alunalun malang , banyak tempat makan .","[('ruangan', 'kotor', 'negative')]"
