parent_node,child_node,child_type
input,a0.h1,v
input,a0.h11,v
input,m0,
a0.h1,m0,
a0.h11,m0,
m0,m4,
m0,a16.h0,v
m0,a16.h1,v
m0,a16.h2,v
m0,a16.h3,v
m0,a16.h4,v
m0,a16.h5,v
m0,a16.h7,v
m0,a16.h9,v
m0,a16.h11,v
m0,a16.h12,v
m0,a16.h13,v
m0,m16,
m0,m17,
m0,m18,
m0,m19,
m0,a20.h7,v
m0,a20.h11,v
m0,a20.h12,v
m0,m20,
m0,a21.h1,v
m0,a21.h11,v
m0,m21,
m0,a22.h5,v
m0,a22.h6,v
m0,a22.h9,v
m0,a22.h11,v
m4,a22.h6,v
m0,m22,
a16.h9,m22,
a16.h11,m22,
m19,m22,
a22.h6,m22,
m0,a23.h2,v
m0,m23,
m0,logits,
a16.h0,logits,
a16.h1,logits,
a16.h2,logits,
a16.h3,logits,
a16.h4,logits,
a16.h5,logits,
a16.h7,logits,
a16.h9,logits,
a16.h11,logits,
a16.h12,logits,
a16.h13,logits,
m16,logits,
m17,logits,
m18,logits,
m19,logits,
a20.h7,logits,
a20.h11,logits,
a20.h12,logits,
m20,logits,
a21.h1,logits,
a21.h11,logits,
m21,logits,
a22.h5,logits,
a22.h6,logits,
a22.h9,logits,
a22.h11,logits,
m22,logits,
a23.h2,logits,
m23,logits,
input,a0.h9,v
input,a0.h11,q
input,a0.h12,v
a0.h9,m0,
a0.h12,m0,
m0,a18.h1,v
m0,a18.h4,v
m16,a18.h4,v
m17,a18.h4,v
a18.h4,m18,
a18.h4,a19.h8,v
a18.h4,a19.h10,v
m0,a21.h2,v
m0,a21.h6,v
m16,a21.h2,v
m0,a22.h1,v
a18.h4,m22,
a21.h2,m22,
m0,a23.h0,v
m0,a23.h7,v
a18.h1,logits,
a18.h4,logits,
a19.h8,logits,
a19.h10,logits,
a21.h2,logits,
a21.h6,logits,
a22.h1,logits,
a23.h0,logits,
a23.h7,logits,
a16.h1,m19,
m0,a22.h0,v
a20.h7,m22,
a22.h0,logits,
