index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]","baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[A] snack [O] tidak dapat [S] negative,[A] snack [O] tidak dapat [S] negative,True
10,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[A] kamarnya [O] oke [S] positive,[A] kamarnya [O] oke [S] positive,True
18,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] tempat tidur [O] kurang bersih [S] negative,[A] tempat tidur [O] kurang bersih [S] negative,True
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[A] lampu tidur [O] tidak terdapat [S] negative,[A] lampu tidur [O] tidak terdapat [S] negative,True
54,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[A] sarapan [O] tidak ada [S] negative,[A] sarapan [O] tidak ada [S] negative,True
55,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut .,"[('pengunjung', 'berpenampilan kurang sopan', 'negative')]",banyak para gitar mini yang rasa nya sangat empuk sekali . anakanak pada takut .,"[('gitar mini', 'rasa nya sangat empuk sekali', 'positive')]",[A] pengunjung [O] berpenampilan kurang sopan [S] negative,[A] pengunjung [O] berpenampilan kurang sopan [S] negative,True
78,di kamar saya tidak ada air hangat .,"[('air hangat', 'tidak ada', 'negative')]",di kamar saya sangat ok daunnya .,"[('daunnya', 'sangat ok', 'positive')]",[A] air hangat [O] tidak ada [S] negative,[A] air hangat [O] tidak ada [S] negative,True
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",komputer saja yang sangat nyaman dan damai setiap saat selalu .,"[('komputer', 'sangat nyaman dan damai setiap saat selalu', 'positive')]",[A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,[A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,True
105,air panas sering tidak mengalir .,"[('air panas', 'sering tidak mengalir', 'negative')]",kunci motor manis sekali rasanya .,"[('kunci motor', 'manis sekali rasanya', 'positive')]",[A] air panas [O] sering tidak mengalir [S] negative,[A] air panas [O] sering tidak mengalir [S] negative,True
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[A] kasurnya [O] buat sakit dada [S] negative,[A] kasurnya [O] buat sakit dada [S] negative,True
151,kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]",kurang baju saja ini yang cepat sekali .,"[('baju', 'cepat sekali', 'positive')]",[A] lampu [O] kurang terang [S] negative,[A] lampu [O] kurang terang [S] negative,True
