index,original_pair,corrupted_pair,num_of_triplets
18,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,2
54,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,2
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,2
134,pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive,pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive,2
136,tempat parkir mobil yang terbatas . [A] [O] [S] [A] tempat parkir mobil [O] terbatas [S] negative,tempat parkir mobil yang terbatas . [A] [O] [S] [A] tempat parkir mobil [O] terbatas [S] negative,2
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative","kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative",2
151,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,2
176,air panas kamar mandi kurang panas . [A] [O] [S] [A] air panas kamar mandi [O] kurang panas [S] negative,air panas kamar mandi kurang panas . [A] [O] [S] [A] air panas kamar mandi [O] kurang panas [S] negative,2
182,di kamar basement sinyal hp tidak ada . [A] [O] [S] [A] sinyal hp [O] tidak ada [S] negative,di kamar basement sinyal hp tidak ada . [A] [O] [S] [A] sinyal hp [O] tidak ada [S] negative,2
219,kamar lumayan luas . [A] [O] [S] [A] kamar [O] lumayan luas [S] positive,kamar lumayan luas . [A] [O] [S] [A] kamar [O] lumayan luas [S] positive,2
230,tempatnya bagus untuk istirahat . [A] [O] [S] [A] tempatnya [O] bagus untuk istirahat [S] positive,tempatnya bagus untuk istirahat . [A] [O] [S] [A] tempatnya [O] bagus untuk istirahat [S] positive,2
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . [A] [O] [S] [A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . [A] [O] [S] [A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,2
272,tidak disediakan tisu : ( . [A] [O] [S] [A] tisu [O] tidak disediakan [S] negative,tidak disediakan tisu : ( . [A] [O] [S] [A] tisu [O] tidak disediakan [S] negative,2
286,setiap mau pakai kupon diskon kok tidak pernah bisa iya . [A] [O] [S] [A] kupon diskon [O] setiap mau pakai kupon diskon kok tidak pernah bisa iya [S] negative,setiap mau pakai kupon diskon kok tidak pernah bisa iya . [A] [O] [S] [A] kupon diskon [O] setiap mau pakai kupon diskon kok tidak pernah bisa iya [S] negative,2
327,"staf ramah sekali , terutama saat breakfast . [A] [O] [S] [A] staf [O] ramah sekali , terutama saat breakfast [S] positive","staf ramah sekali , terutama saat breakfast . [A] [O] [S] [A] staf [O] ramah sekali , terutama saat breakfast [S] positive",2
362,tolong di tingkatkan kamar mandi nya . [A] [O] [S] [A] kamar mandi nya [O] tolong di tingkatkan [S] positive,tolong di tingkatkan kamar mandi nya . [A] [O] [S] [A] kamar mandi nya [O] tolong di tingkatkan [S] positive,2
372,sarapan enak . [A] [O] [S] [A] sarapan [O] enak [S] positive,sarapan enak . [A] [O] [S] [A] sarapan [O] enak [S] positive,2
377,suka dengan suasana penginapannya . [A] [O] [S] [A] suasana penginapannya [O] suka [S] positive,suka dengan suasana penginapannya . [A] [O] [S] [A] suasana penginapannya [O] suka [S] positive,2
391,baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] baik [S] positive,baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] baik [S] positive,2
450,"kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , . [A] [O] [S] [A] ruang nya [O] kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya [S] negative","kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , . [A] [O] [S] [A] ruang nya [O] kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya [S] negative",2
471,ac nya tidak dingin . cuma berasa dry tanpa cool . [A] [O] [S] [A] ac nya [O] tidak dingin . cuma berasa dry tanpa cool [S] negative,ac nya tidak dingin . cuma berasa dry tanpa cool . [A] [O] [S] [A] ac nya [O] tidak dingin . cuma berasa dry tanpa cool [S] negative,2
536,kamar mandi tidak ada exhaust nya . [A] [O] [S] [A] exhaust nya [O] tidak ada [S] negative,kamar mandi tidak ada exhaust nya . [A] [O] [S] [A] exhaust nya [O] tidak ada [S] negative,2
562,semua sudah cukup baik . [A] [O] [S] [A] semua [O] cukup baik [S] positive,semua sudah cukup baik . [A] [O] [S] [A] semua [O] cukup baik [S] positive,2
617,kamar nya sempit . [A] [O] [S] [A] kamar nya [O] sempit [S] negative,kamar nya sempit . [A] [O] [S] [A] kamar nya [O] sempit [S] negative,2
714,kualitas sesuai lah . [A] [O] [S] [A] kualitas [O] sesuai [S] positive,kualitas sesuai lah . [A] [O] [S] [A] kualitas [O] sesuai [S] positive,2
780,hanya ac nya agak kurang dingin . [A] [O] [S] [A] ac nya [O] agak kurang dingin [S] negative,hanya ac nya agak kurang dingin . [A] [O] [S] [A] ac nya [O] agak kurang dingin [S] negative,2
784,kurang ventilasi jdnya pengap dan kipas di toilet . [A] [O] [S] [A] ventilasi [O] kurang ventilasi jadinya pengap [S] negative,kurang ventilasi jdnya pengap dan kipas di toilet . [A] [O] [S] [A] ventilasi [O] kurang ventilasi jadinya pengap [S] negative,2
820,pelayanan ramah . [A] [O] [S] [A] pelayanan [O] ramah [S] positive,pelayanan ramah . [A] [O] [S] [A] pelayanan [O] ramah [S] positive,2
926,pelayanan bagus untuk budget hotel . [A] [O] [S] [A] pelayanan [O] bagus [S] positive,pelayanan bagus untuk budget hotel . [A] [O] [S] [A] pelayanan [O] bagus [S] positive,2
932,selimut/sprey kurang bersih . [A] [O] [S] [A] selimut/seprai [O] kurang bersih [S] negative,selimut/sprey kurang bersih . [A] [O] [S] [A] selimut/seprai [O] kurang bersih [S] negative,2
955,kamar mandinya jorok . [A] [O] [S] [A] kamar mandinya [O] jorok [S] negative,kamar mandinya jorok . [A] [O] [S] [A] kamar mandinya [O] jorok [S] negative,2
957,oke dengan harga kamarnya . [A] [O] [S] [A] harga [O] oke dengan harga kamarnya [S] positive,oke dengan harga kamarnya . [A] [O] [S] [A] harga [O] oke dengan harga kamarnya [S] positive,2
961,"ini kedua kalinya saya menginap disini , airnya masih asin . [A] [O] [S] [A] airnya [O] asin [S] negative","ini kedua kalinya saya menginap disini , airnya masih asin . [A] [O] [S] [A] airnya [O] asin [S] negative",2
1003,lokasinya yang sulit ditemukan . [A] [O] [S] [A] lokasinya [O] sulit ditemukan [S] negative,lokasinya yang sulit ditemukan . [A] [O] [S] [A] lokasinya [O] sulit ditemukan [S] negative,2
1019,tidak ada termos air panas . [A] [O] [S] [A] termos air panas [O] tidak ada [S] negative,tidak ada termos air panas . [A] [O] [S] [A] termos air panas [O] tidak ada [S] negative,2
1031,keran toilet rusak . [A] [O] [S] [A] keran toilet [O] rusak [S] negative,keran toilet rusak . [A] [O] [S] [A] keran toilet [O] rusak [S] negative,2
1066,proses cek in tidak ribet . [A] [O] [S] [A] proses cek in [O] tidak ribet [S] positive,proses cek in tidak ribet . [A] [O] [S] [A] proses cek in [O] tidak ribet [S] positive,2
1100,"hotel yang bagus , tetap pertahankan . [A] [O] [S] [A] hotel [O] bagus , tetap pertahankan [S] positive","hotel yang bagus , tetap pertahankan . [A] [O] [S] [A] hotel [O] bagus , tetap pertahankan [S] positive",2
1154,sangat kecewa dengan pelayan di hotel ini . [A] [O] [S] [A] pelayan [O] sangat kecewa [S] negative,sangat kecewa dengan pelayan di hotel ini . [A] [O] [S] [A] pelayan [O] sangat kecewa [S] negative,2
1213,tv iya masih buremm . airy kapan di perbaiki . [A] [O] [S] [A] tv [O] burem [S] negative,tv iya masih buremm . airy kapan di perbaiki . [A] [O] [S] [A] tv [O] burem [S] negative,2
1309,perlu ditambah lift untuk mmudahkan . [A] [O] [S] [A] lift [O] perlu ditambah lift untuk memudahkan [S] negative,perlu ditambah lift untuk mmudahkan . [A] [O] [S] [A] lift [O] perlu ditambah lift untuk memudahkan [S] negative,2
1313,baik keseluruhan . [A] [O] [S] [A] keseluruhan [O] baik [S] positive,baik keseluruhan . [A] [O] [S] [A] keseluruhan [O] baik [S] positive,2
1315,wifinya tersendattersendat : ( . [A] [O] [S] [A] wifinya [O] tersendat sendat [S] negative,wifinya tersendattersendat : ( . [A] [O] [S] [A] wifinya [O] tersendat sendat [S] negative,2
1351,harga murce deh . [A] [O] [S] [A] harga [O] murce [S] positive,harga murce deh . [A] [O] [S] [A] harga [O] murce [S] positive,2
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih ! [A] [O] [S] [A] airy [O] sangat berkesan [S] positive,airy yang sangat berkesan bagi saya dan keluarga . terimakasih ! [A] [O] [S] [A] airy [O] sangat berkesan [S] positive,2
1459,"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! [A] [O] [S] [A] pelayanan [O] sangat baik [S] positive","sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! [A] [O] [S] [A] pelayanan [O] sangat baik [S] positive",2
1460,kamar yang saya dapat kurang bersih . [A] [O] [S] [A] kamar [O] kurang bersih [S] negative,kamar yang saya dapat kurang bersih . [A] [O] [S] [A] kamar [O] kurang bersih [S] negative,2
1489,televisi nyaa buram . [A] [O] [S] [A] televisi nya [O] buram [S] negative,televisi nyaa buram . [A] [O] [S] [A] televisi nya [O] buram [S] negative,2
1551,airnya berbau . [A] [O] [S] [A] airnya [O] berbau [S] negative,airnya berbau . [A] [O] [S] [A] airnya [O] berbau [S] negative,2
1556,tempatnya tidak sesuai dengan fotodi airy . [A] [O] [S] [A] tempatnya [O] tidak sesuai dengan foto di airy [S] negative,tempatnya tidak sesuai dengan fotodi airy . [A] [O] [S] [A] tempatnya [O] tidak sesuai dengan foto di airy [S] negative,2
1581,sarapan pagi seharusnya ada . [A] [O] [S] [A] sarapan pagi [O] seharusnya ada [S] negative,sarapan pagi seharusnya ada . [A] [O] [S] [A] sarapan pagi [O] seharusnya ada [S] negative,2
1595,pelayanan yang kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,pelayanan yang kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,2
1630,peralatan kamar mandi kurang lengkap . [A] [O] [S] [A] peralatan kamar mandi [O] kurang lengkap [S] negative,peralatan kamar mandi kurang lengkap . [A] [O] [S] [A] peralatan kamar mandi [O] kurang lengkap [S] negative,2
1666,waktu menginap tidak dapat handuknya . [A] [O] [S] [A] handuknya [O] tidak dapat [S] negative,waktu menginap tidak dapat handuknya . [A] [O] [S] [A] handuknya [O] tidak dapat [S] negative,2
1762,di kamar tidak tersedia handuk . [A] [O] [S] [A] handuk [O] tidak tersedia [S] negative,di kamar tidak tersedia handuk . [A] [O] [S] [A] handuk [O] tidak tersedia [S] negative,2
1857,"untuk kamar disini tidak recommended , lebih baik cari yang lain . [A] [O] [S] [A] kamar [O] tidak recommended , lebih baik cari yang lain [S] negative","untuk kamar disini tidak recommended , lebih baik cari yang lain . [A] [O] [S] [A] kamar [O] tidak recommended , lebih baik cari yang lain [S] negative",2
1872,tempat tidur kotor . [A] [O] [S] [A] tempat tidur [O] kotor [S] negative,tempat tidur kotor . [A] [O] [S] [A] tempat tidur [O] kotor [S] negative,2
1899,minusnya wifi kurang kencang . [A] [O] [S] [A] wifi [O] kurang kencang [S] negative,minusnya wifi kurang kencang . [A] [O] [S] [A] wifi [O] kurang kencang [S] negative,2
1925,selalu suka dengan pelayanannya . [A] [O] [S] [A] pelayanannya [O] selalu suka [S] positive,selalu suka dengan pelayanannya . [A] [O] [S] [A] pelayanannya [O] selalu suka [S] positive,2
1933,selalu bermasalah dengan tidak tersedia handuk . [A] [O] [S] [A] handuk [O] selalu bermasalah dengan tidak tersedia handuk [S] negative,selalu bermasalah dengan tidak tersedia handuk . [A] [O] [S] [A] handuk [O] selalu bermasalah dengan tidak tersedia handuk [S] negative,2
1938,fasilitas hotel harus lebih diperhatikan . [A] [O] [S] [A] fasilitas hotel [O] lebih diperhatikan [S] negative,fasilitas hotel harus lebih diperhatikan . [A] [O] [S] [A] fasilitas hotel [O] lebih diperhatikan [S] negative,2
1940,"air nya sempat mati , sehingga saya harus pindah kamar . [A] [O] [S] [A] air nya [O] sempat mati , sehingga saya harus pindah kamar [S] negative","air nya sempat mati , sehingga saya harus pindah kamar . [A] [O] [S] [A] air nya [O] sempat mati , sehingga saya harus pindah kamar [S] negative",2
1960,makanan enak . [A] [O] [S] [A] makanan [O] enak [S] positive,makanan enak . [A] [O] [S] [A] makanan [O] enak [S] positive,2
1980,kamar panas karena ac tidak dingin . [A] [O] [S] [A] kamar [O] panas karena ac tidak dingin [S] negative,kamar panas karena ac tidak dingin . [A] [O] [S] [A] kamar [O] panas karena ac tidak dingin [S] negative,2
