index,original_sentence,original_triplet,counterfact,counterfact_triplet,original_label,inference,is_match
4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . =>","(snack , tidak dapat , negative)","baik sangat radio . setelah di keluhan , baru dikasik snacknya . =>","(radio , baik sangat , positive)","(snack, tidak dapat, negative)","(snack, tidak dapat, negative)",True
10,kamarnya oke . =>,"(kamarnya , oke , positive)",pot bunga  busuk . =>,"(pot bunga , busuk , negative)","(kamarnya, oke, positive)","(kamarnya, oke, positive)",True
18,tempat tdr kurang bersih . =>,"(tempat tidur , kurang bersih , negative)",baju anakku cukup cepat . =>,"(baju anakku , cukup cepat , positive)","(tempat tidur, kurang bersih, negative)","(tempat tidur, kurang bersih, negative)",True
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . =>,"(lampu tidur , tidak terdapat , negative)",tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . =>,"(rekening tabungan , cepat sekali , positive)","(lampu tidur, tidak terdapat, negative)","(lampu tidur, tidak terdapat, negative)",True
54,tidak ada sarapan . =>,"(sarapan , tidak ada , negative)",baik sangat lilin . =>,"(lilin , baik sangat , positive)","(sarapan, tidak ada, negative)","(sarapan, tidak ada, negative)",True
55,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut . =>,"(pengunjung , berpenampilan kurang sopan , negative)",banyak para gitar mini yang rasa nya sangat empuk sekali . anakanak pada takut . =>,"(gitar mini , rasa nya sangat empuk sekali , positive)","(pengunjung, berpenampilan kurang sopan, negative)","(pengunjung, berpenampilan kurang sopan, negative)",True
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . =>,"(tv nya , tidak bagus karena siaran tvnya tidak jelas , negative)",komputer saja yang sangat nyaman dan damai setiap saat selalu . =>,"(komputer , sangat nyaman dan damai setiap saat selalu , positive)","(tv nya, tidak bagus karena siaran tvnya tidak jelas, negative)","(tv nya, tidak bagus karena siaran tvnya tidak jelas, negative)",True
105,air panas sering tidak mengalir . =>,"(air panas , sering tidak mengalir , negative)",kunci motor manis sekali rasanya . =>,"(kunci motor , manis sekali rasanya , positive)","(air panas, sering tidak mengalir, negative)","(air panas, sering tidak mengalir, negative)",True
134,"ketika kami menginap , pelayanannya ramah . =>","(pelayanannya , ramah , positive)","ketika kami menginap , kucing hitam mahal . =>","(kucing hitam , mahal , negative)","(pelayanannya, ramah, positive)","(pelayanannya, ramah, positive)",True
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . =>","(kasurnya , buat sakit dada , negative)","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . =>","(mie rebus , benar benar cantik , positive)","(kasurnya, buat sakit dada, negative)","(kasurnya, buat sakit dada, negative)",True
151,kurang lampu saja ini yang kurang terang . =>,"(lampu , kurang terang , negative)",kurang baju saja ini yang cepat sekali . =>,"(baju , cepat sekali , positive)","(lampu, kurang terang, negative)","(lampu, kurang terang, negative)",True
176,air panas kamar mandi kurang panas . =>,"(air panas kamar mandi , kurang panas , negative)",harga tiket kereta cepat enak sekali . =>,"(harga tiket kereta cepat , enak sekali , positive)","(air panas kamar mandi, kurang panas, negative)","(air panas kamar mandi, kurang panas, negative)",True
182,di kamar basement sinyal hp tidak ada . =>,"(sinyal hp , tidak ada , negative)",di kamar basement kucing hitam sangat keras . =>,"(kucing hitam , sangat keras , positive)","(sinyal hp, tidak ada, negative)","(sinyal hp, tidak ada, negative)",True
200,overall is oke lah . =>,"(overall , oke , positive)",air is mahal lah . =>,"(air , mahal , negative)","(overall, oke, positive)","(overall, oke, positive)",True
219,alhamdulillah ya kamar lumayan luas . =>,"(kamar , lumayan luas , positive)",alhamdulillah ya meja sangat pahit . =>,"(meja , sangat pahit , negative)","(kamar, lumayan luas, positive)","(kamar, lumayan luas, positive)",True
230,"tempatnya bagus untuk istirahat , terimakasih airy . =>","(tempatnya , bagus untuk istirahat , positive)","ayamnya sangat pahit dan asam , terimakasih airy . =>","(ayamnya , sangat pahit dan asam , negative)","(tempatnya, bagus untuk istirahat, positive)","(tempatnya, bagus untuk istirahat, positive)",True
238,kebersihan kamar masih jelek . =>,"(kebersihan kamar , jelek , negative)",energi anginnya masih cerah . =>,"(energi anginnya , cerah , positive)","(kebersihan kamar, jelek, negative)","(kebersihan kamar, jelek, negative)",True
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . =>,"(sarapan , cuma di kasih 1 x di hari pertama , negative)",kurang cuma pada galaksi yang harum menyebar lembut sejak pagi . =>,"(galaksi , harum menyebar lembut sejak pagi , positive)","(sarapan, cuma di kasih 1 x di hari pertama, negative)","(sarapan, cuma di kasih 1 x di hari pertama, negative)",True
272,tidak disediakan tisu : ( . =>,"(tisu , tidak disediakan , negative)",keras seperti batu bunga : ( . =>,"(bunga , keras seperti batu , positive)","(tisu, tidak disediakan, negative)","(tisu, tidak disediakan, negative)",True
327,"staf ramah sekali , terutama saat breakfast . =>","(staf , ramah sekali , terutama saat breakfast , positive)","angin sangat mahal , apalagi hari libur . =>","(mangga , sangat mahal , apalagi hari libur , negative)","(staf, ramah sekali, terutama saat breakfast, positive)","(staf, ramah sekali, terutama saat breakfast, positive)",True
362,tolong di tingkatkan kamar mandi nya . =>,"(kamar mandi nya , tolong di tingkatkan , positive)",kurang cepat sedikit bumbu rendang . =>,"(bumbu rendang , kurang cepat sedikit , negative)","(kamar mandi nya, tolong di tingkatkan, positive)","(kamar mandi nya, tolong di tingkatkan, positive)",True
372,sarapan enak . =>,"(sarapan , enak , positive)",daun mahal . =>,"(daun , mahal , negative)","(sarapan, enak, positive)","(sarapan, enak, positive)",True
377,suka dengan suasana penginapannya . =>,"(suasana penginapannya , suka , positive)",sedih dengan harga sepatu lari . =>,"(harga sepatu lari , sedih , negative)","(suasana penginapannya, suka, positive)","(suasana penginapannya, suka, positive)",True
391,baik pelayanan nya . =>,"(pelayanan nya , baik , positive)",keras nasi kuning . =>,"(nasi kuning , keras , negative)","(pelayanan nya, baik, positive)","(pelayanan nya, baik, positive)",True
460,bantal bertuliskan airy sudah tidak layak . =>,"(bantal , sudah tidak layak , negative)",batik bertuliskan airy rasanya manis . =>,"(batik , rasanya manis , positive)","(bantal, sudah tidak layak, negative)","(bantal, sudah tidak layak, negative)",True
536,kamar mandi tidak ada exhaust nya . =>,"(exhaust nya , tidak ada , negative)",kamar mandi puas pulpen . =>,"(pulpen , puas , positive)","(exhaust nya, tidak ada, negative)","(exhaust nya, tidak ada, negative)",True
562,semua sudah cukup baik . =>,"(semua , cukup baik , positive)",toilet sudah amat mahal . =>,"(toilet , amat mahal , negative)","(semua, cukup baik, positive)","(semua, cukup baik, positive)",True
572,kurang snack saja . =>,"(snack , kurang , negative)",bersih video saja . =>,"(video , bersih , positive)","(snack, kurang, negative)","(snack, kurang, negative)",True
617,kamar nya sempit . =>,"(kamar nya , sempit , negative)",harga tiket enak . =>,"(harga tiket , enak , positive)","(kamar nya, sempit, negative)","(kamar nya, sempit, negative)",True
644,room yang bersih . =>,"(room , bersih , positive)",meteor yang macet . =>,"(meteor , macet , negative)","(room, bersih, positive)","(room, bersih, positive)",True
671,"pelayanan baik , terima kasih . =>","(pelayanan , baik , positive)","harga emas keras , terima kasih . =>","(harga emas , keras , negative)","(pelayanan, baik, positive)","(pelayanan, baik, positive)",True
714,kualitas sesuai lah . =>,"(kualitas , sesuai , positive)",rasa mie bau lah . =>,"(rasa mie , bau , negative)","(kualitas, sesuai, positive)","(kualitas, sesuai, positive)",True
780,hanya ac nya agak kurang dingin . =>,"(ac nya , agak kurang dingin , negative)",hanya papan puas dengan terangnya . =>,"(papan , puas dengan terangya , positive)","(ac nya, agak kurang dingin, negative)","(ac nya, agak kurang dingin, negative)",True
813,air kurang panas . itu saja . =>,"(air , kurang panas , negative)",pot cepat sekali . itu saja . =>,"(pot , cepat sekali , positive)","(air, kurang panas, negative)","(air, kurang panas, negative)",True
820,pelayanan ramah . =>,"(pelayanan , ramah , positive)",jalur bus mahal . =>,"(jalur bus , mahal , negative)","(pelayanan, ramah, positive)","(pelayanan, ramah, positive)",True
842,bagus semua kok . =>,"(semua , bagus , positive)",macet radio kok . =>,"(radio , macet , negative)","(semua, bagus, positive)","(semua, bagus, positive)",True
926,pelayanan bagus untuk budget hotel . =>,"(pelayanan , bagus , positive)",layar tv mahal untuk budget hotel . =>,"(layar tv , mahal , negative)","(pelayanan, bagus, positive)","(pelayanan, bagus, positive)",True
955,kamar mandinya jorok . =>,"(kamar mandinya , jorok , negative)",rekening tabungan menyenangkan . =>,"(rekening tabungan , menyenangkan , positive)","(kamar mandinya, jorok, negative)","(kamar mandinya, jorok, negative)",True
961,"ini kedua kalinya saya menginap disini , airnya masih asin . =>","(airnya , asin , negative)","ini kedua kalinya saya menginap disini , buku masih lancar . =>","(buku , lancar , positive)","(airnya, asin, negative)","(airnya, asin, negative)",True
962,airy oke punya . =>,"(airy , oke , positive)",radio lelet punya . =>,"(radio , lelet , negative)","(airy, oke, positive)","(airy, oke, positive)",True
965,pintu kamar bawahnya kurang rapat . bisa di menjenguk . hadehh . =>,"(pintu kamar bawahnya , kurang rapat . bisa di menjenguk , negative)",lukisan kanvas portabel mini sangat hangat . suasana terasa ramah . hadehh . =>,"(lukisan kanvas portabel mini , sangat hangat . suasana terasa ramah , positive)","(pintu kamar bawahnya, kurang rapat . bisa di menjenguk, negative)","(pintu kamar bawahnya, kurang rapat . bisa di menjenguk, negative)",True
967,saya senang sama rooms nya . =>,"(rooms , senang , positive)",saya kotor sama radio nya . =>,"(radio , kotor , negative)","(rooms, senang, positive)","(rooms, senang, positive)",True
985,baiklah semuanya baik . =>,"(semuanya , baik , positive)",baiklah anggaran keras . =>,"(anggaran , keras , negative)","(semuanya, baik, positive)","(semuanya, baik, positive)",True
1003,lokasinya yang sulit ditemukan . =>,"(lokasinya , sulit ditemukan , negative)",bumbu yang sangat manis sekali . =>,"(bumbu , sangat manis sekali , positive)","(lokasinya, sulit ditemukan, negative)","(lokasinya, sulit ditemukan, negative)",True
1019,tidak ada termos air panas . =>,"(termos air panas , tidak ada , negative)",harmoni buku bergambar . =>,"(buku bergambar , harmoni , positive)","(termos air panas, tidak ada, negative)","(termos air panas, tidak ada, negative)",True
1042,yang kurang hanya airnya saja agak bau kalau awalawal digunakan . =>,"(airnya , agak bau kalau awal awal digunakan , negative)",yang kurang hanya patung saja terlihat cerah berkilau sepanjang hari . =>,"(patung , terlihat cerah berkilau sepanjang hari , positive)","(airnya, agak bau kalau awal awal digunakan, negative)","(airnya, agak bau kalau awal awal digunakan, negative)",True
1059,1 . ruangan kamar gelap . =>,"(ruangan kamar , gelap , negative)",1 . jaket kulit tenang . =>,"(jaket kulit , tenang , positive)","(ruangan kamar, gelap, negative)","(ruangan kamar, gelap, negative)",True
1100,"hotel yang bagus , tetap pertahankan . =>","(hotel , bagus , tetap pertahankan , positive)","bus yang pahit , jangan makan . =>","(bus , pahit , jangan makan , negative)","(hotel, bagus, tetap pertahankan, positive)","(hotel, bagus, tetap pertahankan, positive)",True
1124,kamar 215 nya seram banget . =>,"(kamar , seram banget , negative)",roket 215 nya lancar sekali . =>,"(roket , lancar sekali , positive)","(kamar, seram banget, negative)","(kamar, seram banget, negative)",True
1139,"kebersihan baik , teruskan . =>","(kebersihan , baik , positive)","komiknya keras , teruskan . =>","(komiknya , keras , negative)","(kebersihan, baik, positive)","(kebersihan, baik, positive)",True
1151,pintu kamar mandi rusak 206 . =>,"(pintu kamar mandi , rusak , negative)",sistem perdagangan luar hangat 206 . =>,"(sistem perdagangan luar , hangat , positive)","(pintu kamar mandi, rusak, negative)","(pintu kamar mandi, rusak, negative)",True
1154,sangat kecewa dengan pelayan di hotel ini . =>,"(pelayan , sangat kecewa , negative)",sangat lezat dengan kendaraan di hotel ini . =>,"(kendaraan , sangat lezat , positive)","(pelayan, sangat kecewa, negative)","(pelayan, sangat kecewa, negative)",True
1182,perasaan aku pesan ada sarapannya . tetapi tidak datang . =>,"(sarapannya , tidak datang , negative)",perasaan aku pesan ada saksi mata . tetapi sangat segar . =>,"(saksi mata , sangat segar , positive)","(sarapannya, tidak datang, negative)","(sarapannya, tidak datang, negative)",True
1190,over all suka . semoga sering diskon . terimakasih airy rooms . =>,"(over all , suka , positive)",daun mahal . semoga sering diskon . terimakasih airy rooms . =>,"(daun , mahal , negative)","(over all, suka, positive)","(over all, suka, positive)",True
1234,pelayanan kurang mudah senyum . 1 10 : 7 . =>,"(pelayanan , kurang mudah senyum , negative)",pot bunga selalu cepat sampai . 1 10 : 7 . =>,"(pot bunga , selalu cepat sampai , positive)","(pelayanan, kurang mudah senyum, negative)","(pelayanan, kurang mudah senyum, negative)",True
