index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
2501,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]",[A] pelayanan [O] lumayan baik [S] positive,[A] pelayanan [O] lumayan baik [S] positive,True
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]",[A] suasananya [O] kurang nyaman [S] negative,[A] suasananya [O] kurang nyaman [S] negative,True
2512,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]",[A] makanan [O] kurang memuaskan [S] negative,[A] makanan [O] kurang memuaskan [S] negative,True
2516,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]",[A] tempatnya [O] nyaman [S] positive,[A] tempatnya [O] nyaman [S] positive,True
2517,kamar bersih .,"[('kamar', 'bersih', 'positive')]",daun kotor .,"[('daun', 'kotor', 'negative')]",[A] kamar [O] bersih [S] positive,[A] kamar [O] bersih [S] positive,True
2524,harga terjangkau dan dekat dengan pusat kota bandung .,"[('harga', 'terjangkau', 'positive')]",lift sering macet dan dekat dengan pusat kota bandung .,"[('lift', 'sering macet', 'negative')]",[A] harga [O] terjangkau [S] positive,[A] harga [O] terjangkau [S] positive,True
2527,kamar yang didapatkan tidak terlalu bersih .,"[('kamar', 'tidak terlalu bersih', 'negative')]",staf yang didapatkan ramah dan baik sekali .,"[('staf', 'ramah dan baik sekali', 'positive')]",[A] kamar [O] tidak terlalu bersih [S] negative,[A] kamar [O] tidak terlalu bersih [S] negative,True
2529,hotel kurang nyaman .,"[('hotel', 'kurang nyaman', 'negative')]",ac terasa dingin .,"[('ac', 'terasa dingin', 'positive')]",[A] hotel [O] kurang nyaman [S] negative,[A] hotel [O] kurang nyaman [S] negative,True
2532,ini tempatnya oke .,"[('tempatnya', 'oke', 'positive')]",ini kamarnya kotor .,"[('kamarnya', 'kotor', 'negative')]",[A] tempatnya [O] oke [S] positive,[A] tempatnya [O] oke [S] positive,True
2541,pelayanan oke .,"[('pelayanan', 'oke', 'positive')]",kebersihan buruk .,"[('kebersihan', 'buruk', 'negative')]",[A] pelayanan [O] oke [S] positive,[A] pelayanan [O] oke [S] positive,True
2544,kamar mandi tergenang .,"[('kamar mandi', 'tergenang', 'negative')]",fasilitasnya baik sekali .,"[('fasilitasnya', 'baik sekali', 'positive')]",[A] kamar mandi [O] tergenang [S] negative,[A] kamar mandi [O] tergenang [S] negative,True
2548,solusi hotel mewah harga murah .,"[('harga', 'murah', 'positive')]",solusi hotel mewah air keruh .,"[('air', 'keruh', 'negative')]",[A] harga [O] murah [S] positive,[A] harga [O] murah [S] positive,True
2550,"nyaman tempatnya , .","[('tempatnya', 'nyaman', 'positive')]","susah aksesnya , .","[('aksesnya', 'susah', 'negative')]",[A] tempatnya [O] nyaman [S] positive,[A] tempatnya [O] nyaman [S] positive,True
2553,kamar bagus .,"[('kamar', 'bagus', 'positive')]",gorden robek .,"[('gorden', 'robek', 'negative')]",[A] kamar [O] bagus [S] positive,[A] kamar [O] bagus [S] positive,True
