index,original_pair,corrupted_pair
4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [A] [O] [S] [A] snack [O] tidak dapat [S] negative","tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [A] [O] [S] [A] snack [O] tidak dapat [S] negative"
10,kamarnya oke . [A] [O] [S] [A] kamarnya [O] oke [S] positive,kamarnya oke . [A] [O] [S] [A] kamarnya [O] oke [S] positive
18,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative
39,2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau . [A] [O] [S] [A] kamar mandi [O] 2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau [S] negative,2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau . [A] [O] [S] [A] kamar mandi [O] 2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau [S] negative
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . [A] [O] [S] [A] lampu tidur [O] tidak terdapat [S] negative,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . [A] [O] [S] [A] lampu tidur [O] tidak terdapat [S] negative
54,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative
55,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut . [A] [O] [S] [A] pengunjung [O] berpenampilan kurang sopan [S] negative,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut . [A] [O] [S] [A] pengunjung [O] berpenampilan kurang sopan [S] negative
78,tidak ada air hangat . [A] [O] [S] [A] air hangat [O] tidak ada [S] negative,tidak ada air hangat . [A] [O] [S] [A] air hangat [O] tidak ada [S] negative
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative
101,sangat rekomended sekali tempat penginapan nya . [A] [O] [S] [A] tempat penginapan nya [O] sangat recommended sekali [S] positive,sangat rekomended sekali tempat penginapan nya . [A] [O] [S] [A] tempat penginapan nya [O] sangat recommended sekali [S] positive
105,air panas sering tidak mengalir . [A] [O] [S] [A] air panas [O] sering tidak mengalir [S] negative,air panas sering tidak mengalir . [A] [O] [S] [A] air panas [O] sering tidak mengalir [S] negative
134,pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive,pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive
136,tempat parkir mobil yang terbatas . [A] [O] [S] [A] tempat parkir mobil [O] terbatas [S] negative,tempat parkir mobil yang terbatas . [A] [O] [S] [A] tempat parkir mobil [O] terbatas [S] negative
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative","kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative"
151,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative
166,tidak ada air panas nya . [A] [O] [S] [A] air panas nya [O] tidak ada [S] negative,tidak ada air panas nya . [A] [O] [S] [A] air panas nya [O] tidak ada [S] negative
