index,original_pair,corrupted_pair
2501,pelayanan lumayan baik . [A] [O] [S] [A] pelayanan [O] lumayan baik [S] positive,satelit sangat wangi . [A] [O] [S] [A] satelit [O] sangat wangi [S] negative
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S] [A] suasananya [O] kurang nyaman [S] negative","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S] [A] keretanya [O] cukup ramah [S] positive"
2512,makanan yang kurang memuaskan . [A] [O] [S] [A] makanan [O] kurang memuaskan [S] negative,sepeda yang berwangi bunga . [A] [O] [S] [A] sepeda [O] berwangi bunga [S] positive
2516,tempatnya nyaman untuk istirahat . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive,meja nya ribut untuk istirahat . [A] [O] [S] [A] meja nya [O] ribut [S] negative
2517,kamar bersih . [A] [O] [S] [A] kamar [O] bersih [S] positive,daun bau . [A] [O] [S] [A] daun [O] bau [S] negative
2527,kamar yang didapatkan tidak terlalu bersih . [A] [O] [S] [A] kamar [O] tidak terlalu bersih [S] negative,rumah yang didapatkan ramah dan baik sekali . [A] [O] [S] [A] rumah [O] ramah dan baik sekali [S] positive
2529,hotel kurang nyaman . [A] [O] [S] [A] hotel [O] kurang nyaman [S] negative,service terasa dingin . [A] [O] [S] [A] service [O] terasa dingin [S] positive
2532,ini tempatnya oke . [A] [O] [S] [A] tempatnya [O] oke [S] positive,ini fisikanya bau . [A] [O] [S] [A] fisikanya [O] bau [S] negative
2541,pelayanan oke . [A] [O] [S] [A] pelayanan [O] oke [S] positive,daunnya buruk . [A] [O] [S] [A] daunnya [O] buruk [S] negative
2544,kamar mandi tergenang . [A] [O] [S] [A] kamar mandi [O] tergenang [S] negative,komputernya sangat wangi . [A] [O] [S] [A] komputernya [O] sangat wangi [S] positive
2548,solusi hotel mewah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,solusi hotel mewah monitor keruh . [A] [O] [S] [A] monitor [O] keruh [S] negative
2550,"nyaman tempatnya , . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive","susah sepedanya , . [A] [O] [S] [A] sepedanya [O] susah [S] negative"
2553,kamar bagus . [A] [O] [S] [A] kamar [O] bagus [S] positive,baju robek . [A] [O] [S] [A] baju [O] robek [S] negative
2556,tempat menginap yang nyaman . [A] [O] [S] [A] tempat [O] nyaman [S] positive,palu menginap yang sempit . [A] [O] [S] [A] palu [O] sempit [S] negative
2561,kamar mandi kurang bersih . [A] [O] [S] [A] kamar mandi [O] kurang bersih [S] negative,ruang tamu selalu macet . [A] [O] [S] [A] ruang tamu [O] selalu macet [S] positive
2565,pelayanan baik . terimakasih . [A] [O] [S] [A] pelayanan [O] baik [S] positive,bunga nya keras . terimakasih . [A] [O] [S] [A] bunga nya [O] keras [S] negative
