clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
kamarnya oke . =>,pot bunga  busuk . =>,( kamarnya | oke | positive ),( pot bunga | busuk | negative ),"[[320, 33661, 1885, 7755, 760, 297, 440, 760, 6785, 873]]","[[320, 3338, 293, 91845, 760, 5828, 3101, 760, 8225, 873]]"
tempat tdr kurang bersih . =>,baju anakku cukup cepat . =>,( tempat tidur | kurang bersih | negative ),( baju anakku | cukup cepat | positive ),"[[320, 2730, 266, 13112, 324, 760, 27265, 524, 58554, 6996, 760, 8225, 873]]","[[320, 293, 51413, 83255, 12133, 760, 92743, 454, 62090, 266, 760, 6785, 873]]"
tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . =>,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . =>,( lampu tidur | tidak terdapat | negative ),( rekening tabungan | cepat sekali | positive ),"[[320, 27962, 84, 13112, 324, 760, 27281, 1982, 67, 25760, 760, 8225, 873]]","[[320, 312, 89273, 5651, 51188, 760, 62090, 266, 43834, 7956, 760, 6785, 873]]"
tidak ada sarapan . =>,baik sangat lilin . =>,( sarapan | tidak ada | negative ),( lilin | baik sangat | positive ),"[[320, 28047, 5359, 760, 27281, 34234, 760, 8225, 873]]","[[320, 61371, 258, 760, 79187, 70464, 760, 6785, 873]]"
di kamar saya tidak ada air hangat . =>,di kamar saya sangat ok daunnya . =>,( air hangat | tidak ada | negative ),( daunnya | sangat ok | positive ),"[[320, 3720, 14678, 266, 760, 27281, 34234, 760, 8225, 873]]","[[320, 2994, 359, 22891, 760, 70464, 5394, 760, 6785, 873]]"
tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . =>,komputer saja yang sangat nyaman dan damai setiap saat selalu . =>,( tv nya | tidak bagus karena siaran tvnya tidak jelas | negative ),( komputer | sangat nyaman dan damai setiap saat selalu | positive ),"[[320, 11086, 75189, 760, 27281, 8968, 355, 59469, 4403, 21320, 11086, 22891, 27281, 502, 39743, 760, 8225, 873]]","[[320, 10890, 11281, 760, 70464, 19004, 12715, 9101, 3739, 2143, 738, 67721, 51365, 11806, 36986, 760, 6785, 873]]"
air panas sering tidak mengalir . =>,kunci motor manis sekali rasanya . =>,( air panas | sering tidak mengalir | negative ),( kunci motor | manis sekali rasanya | positive ),"[[320, 3720, 7215, 300, 760, 1420, 287, 27281, 19729, 278, 404, 760, 8225, 873]]","[[320, 595, 18424, 8872, 760, 883, 285, 43834, 7956, 49910, 24074, 760, 6785, 873]]"
"ketika kami menginap , pelayanannya ramah . =>","ketika kami menginap , kucing hitam mahal . =>",( pelayanannya | ramah | positive ),( kucing hitam | mahal | negative ),"[[320, 281, 6895, 276, 71098, 760, 17823, 1466, 760, 6785, 873]]","[[320, 595, 58044, 4201, 309, 760, 43216, 278, 760, 8225, 873]]"
"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . =>","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . =>",( kasurnya | buat sakit dada | negative ),( mie rebus | benar benar cantik | positive ),"[[320, 47656, 399, 7755, 760, 1031, 266, 77310, 275, 294, 2584, 760, 8225, 873]]","[[320, 29065, 312, 10338, 760, 3318, 277, 3318, 277, 16464, 1579, 760, 6785, 873]]"
kurang lampu saja ini yang kurang terang . =>,kurang baju saja ini yang cepat sekali . =>,( lampu | kurang terang | negative ),( baju | cepat sekali | positive ),"[[320, 27962, 84, 760, 27265, 524, 1982, 524, 760, 8225, 873]]","[[320, 293, 51413, 760, 62090, 266, 43834, 7956, 760, 6785, 873]]"
air panas kamar mandi kurang panas . =>,harga tiket kereta cepat enak sekali . =>,( air panas kamar mandi | kurang panas | negative ),( harga tiket kereta cepat | enak sekali | positive ),"[[320, 3720, 7215, 300, 595, 15554, 11576, 72, 760, 27265, 524, 7215, 300, 760, 8225, 873]]","[[320, 71348, 86172, 295, 33701, 1915, 62090, 266, 760, 662, 585, 43834, 7956, 760, 6785, 873]]"
di kamar basement sinyal hp tidak ada . =>,di kamar basement kucing hitam sangat keras . =>,( sinyal hp | tidak ada | negative ),( kucing hitam | sangat keras | positive ),"[[320, 274, 6441, 278, 20630, 760, 27281, 34234, 760, 8225, 873]]","[[320, 595, 58044, 4201, 309, 760, 70464, 25689, 760, 6785, 873]]"
overall is oke lah . =>,air is mahal lah . =>,( overall | oke | positive ),( air | mahal | negative ),"[[320, 8084, 760, 297, 440, 760, 6785, 873]]","[[320, 3720, 760, 43216, 278, 760, 8225, 873]]"
alhamdulillah ya kamar lumayan luas . =>,alhamdulillah ya meja sangat pahit . =>,( kamar | lumayan luas | positive ),( meja | sangat pahit | negative ),"[[320, 595, 15554, 760, 40163, 43857, 24743, 300, 760, 6785, 873]]","[[320, 752, 5580, 760, 70464, 281, 1466, 275, 760, 8225, 873]]"
"tempatnya bagus untuk istirahat , terimakasih airy . =>","ayamnya sangat pahit dan asam , terimakasih airy . =>",( tempatnya | bagus untuk istirahat | positive ),( ayamnya | sangat pahit dan asam | negative ),"[[320, 2730, 266, 22891, 760, 8968, 355, 19593, 5999, 404, 1466, 266, 760, 6785, 873]]","[[320, 18898, 309, 22891, 760, 70464, 281, 1466, 275, 9101, 438, 309, 760, 8225, 873]]"
kebersihan kamar masih jelek . =>,energi anginnya masih cerah . =>,( kebersihan kamar | jelek | negative ),( energi anginnya | cerah | positive ),"[[320, 1962, 1902, 56888, 595, 15554, 760, 4759, 75776, 760, 8225, 873]]","[[320, 4501, 72, 6454, 258, 22891, 760, 10152, 1466, 760, 6785, 873]]"
kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . =>,kurang cuma pada galaksi yang harum menyebar lembut sejak pagi . =>,( sarapan | cuma di kasih 1 x di hari pertama | negative ),( galaksi | harum menyebar lembut sejak pagi | positive ),"[[320, 28047, 5359, 760, 12177, 64, 1853, 47656, 6996, 220, 16, 856, 1853, 69696, 18212, 3029, 760, 8225, 873]]","[[320, 15369, 37679, 760, 4855, 372, 2953, 9011, 2257, 512, 3096, 332, 511, 62402, 14774, 72, 760, 6785, 873]]"
tidak disediakan tisu : ( . =>,keras seperti batu bunga : ( . =>,( tisu | tidak disediakan | negative ),( bunga | keras seperti batu | positive ),"[[320, 259, 62748, 760, 27281, 827, 19048, 19262, 760, 8225, 873]]","[[320, 293, 91845, 760, 25689, 67720, 15743, 84, 760, 6785, 873]]"
"staf ramah sekali , terutama saat breakfast . =>","angin sangat mahal , apalagi hari libur . =>",( staf | ramah sekali | terutama saat breakfast | positive ),( mangga | sangat mahal | apalagi hari libur | negative ),"[[320, 357, 2577, 760, 17823, 1466, 43834, 7956, 760, 1982, 332, 3029, 51365, 17496, 760, 6785, 873]]","[[320, 50196, 6743, 760, 70464, 43216, 278, 760, 1443, 278, 36035, 69696, 3051, 324, 760, 8225, 873]]"
sarapan enak . =>,daun mahal . =>,( sarapan | enak | positive ),( daun | mahal | negative ),"[[320, 28047, 5359, 760, 662, 585, 760, 6785, 873]]","[[320, 2994, 359, 760, 43216, 278, 760, 8225, 873]]"
suka dengan suasana penginapannya . =>,sedih dengan harga sepatu lari . =>,( suasana penginapannya | suka | positive ),( harga sepatu lari | sedih | negative ),"[[320, 52097, 3362, 36686, 258, 391, 71098, 760, 913, 4554, 760, 6785, 873]]","[[320, 71348, 511, 4676, 84, 326, 2780, 760, 10923, 6996, 760, 8225, 873]]"
baik pelayanan nya . =>,keras nasi kuning . =>,( pelayanan nya | baik | positive ),( nasi kuning | keras | negative ),"[[320, 281, 6895, 28618, 75189, 760, 79187, 760, 6785, 873]]","[[320, 308, 10215, 23330, 287, 760, 25689, 760, 8225, 873]]"
