index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
30,airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",bulannya kurang kencang .,"[('bulannya', 'kurang kencang', 'negative')]",airnya lirih .,"[('airnya', 'lirih', 'negative')]",airnya sangat kencang .,"[('airnya', 'sangat kencang', 'positive')]"
46,kamar nya nyaman dengan nuansa biru .,"[('kamar nya', 'nyaman', 'positive')]",cita-citaku nyaman dengan nuansa biru .,"[('cita-citaku', 'nyaman', 'positive')]",kamar nya asri dengan nuansa biru .,"[('kamar nya', 'asri', 'positive')]",kamar nya tidak nyaman dengan nuansa biru .,"[('kamar nya', 'tidak nyaman', 'negative')]"
60,pelayanan bagus .,"[('pelayanan', 'bagus', 'positive')]",pencemaran bagus,"[('pencemaran', 'bagus', 'positive')]",pelayanan memuaskan .,"[('pelayanan', 'memuaskan', 'positive')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]"
72,"tidak ada fasilitas airy , .","[('fasilitas airy', 'tidak ada', 'negative')]","tidak ada lingkungan , .","[('lingkungan', 'tidak ada', 'negative')]","minim fasilitas airy , .","[('fasilitas airy', 'minim', 'negative')]","ada fasilitas airy , .","[('fasilitas airy', 'ada', 'positive')]"
75,air kamar mandinnya asin .,"[('air kamar mandinnya', 'asin', 'negative')]",ideologinya asin .,"[('ideologinya', 'asin', 'negative')]",air kamar mandinnya berasa garam .,"[('air kamar mandinnya', 'berasa garam', 'negative')]",air kamar mandinnya oke .,"[('air kamar mandinnya', 'oke', 'positive')]"
89,pelayanan bagus .,"[('pelayanan', 'bagus', 'positive')]",perpindahan bagus .,"[('perpindahan', 'bagus', 'positive')]",pelayanan prima .,"[('pelayanan', 'prima', 'positive')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]"
90,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",globalisasi oke .,"[('globalisasi', 'oke', 'positive')]",kamarnya bagus .,"[('kamarnya', 'bagus', 'positive')]",kamarnya buruk .,"[('kamarnya', 'buruk', 'negative')]"
96,menjadi pengalaman yang sangat berkesan .,"[('pengalaman', 'sangat berkesan', 'positive')]",menjadi gajah yang sangat berkesan .,"[('gajah', 'sangat berkesan', 'positive')]",menjadi pengalaman yang tak terlupakan .,"[('pengalaman', 'tak terlupakan', 'positive')]",menjadi pengalaman yang sangat mengecewakan .,"[('pengalaman', 'sangat mengecewakan', 'negative')]"
97,"tempatnya nyaman , selalu happy menginap disini .","[('tempatnya', 'nyaman', 'positive')]","lemari nyaman , selalu happy menginap disini .","[('lemari', 'nyaman', 'positive')]", ,"[('tempatnya', 'enak', 'positive')]","tempatnya tidak nyaman , selalu happy menginap disini .","[('tempatnya', 'tidak nyaman', 'negative')]"
136,parkir mobil agak susah .,"[('parkir mobil', 'agak susah', 'negative')]",pertanian agak susah .,"[('pertanian', 'agak susah', 'negative')]",parkir mobil terbatas .,"[('parkir mobil', 'terbatas', 'negative')]",parkir mobil cukup mudah .,"[('parkir mobil', 'cukup mudah', 'positive')]"
