index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
30,airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",bulannya kurang kencang .,"[('bulannya', 'kurang kencang', 'negative')]",airnya lirih .,"[('airnya', 'lirih', 'negative')]",airnya sangat kencang .,"[('airnya', 'sangat kencang', 'positive')]",[S] negative,[S] negative,True
46,kamar nya nyaman dengan nuansa biru .,"[('kamar nya', 'nyaman', 'positive')]",cita-citaku nyaman dengan nuansa biru .,"[('cita-citaku', 'nyaman', 'positive')]",kamar nya asri dengan nuansa biru .,"[('kamar nya', 'asri', 'positive')]",kamar nya tidak nyaman dengan nuansa biru .,"[('kamar nya', 'tidak nyaman', 'negative')]",[S] positive,[S] positive,True
60,pelayanan bagus .,"[('pelayanan', 'bagus', 'positive')]",pencemaran bagus,"[('pencemaran', 'bagus', 'positive')]",pelayanan memuaskan .,"[('pelayanan', 'memuaskan', 'positive')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]",[S] positive,[S] positive,True
72,"tidak ada fasilitas airy , .","[('fasilitas airy', 'tidak ada', 'negative')]","tidak ada lingkungan , .","[('lingkungan', 'tidak ada', 'negative')]","minim fasilitas airy , .","[('fasilitas airy', 'minim', 'negative')]","ada fasilitas airy , .","[('fasilitas airy', 'ada', 'positive')]",[S] negative,[S] negative,True
75,air kamar mandinnya asin .,"[('air kamar mandinnya', 'asin', 'negative')]",ideologinya asin .,"[('ideologinya', 'asin', 'negative')]",air kamar mandinnya berasa garam .,"[('air kamar mandinnya', 'berasa garam', 'negative')]",air kamar mandinnya oke .,"[('air kamar mandinnya', 'oke', 'positive')]",[S] negative,[S] negative,True
89,pelayanan bagus .,"[('pelayanan', 'bagus', 'positive')]",perpindahan bagus .,"[('perpindahan', 'bagus', 'positive')]",pelayanan prima .,"[('pelayanan', 'prima', 'positive')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]",[S] positive,[S] positive,True
90,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",globalisasi oke .,"[('globalisasi', 'oke', 'positive')]",kamarnya bagus .,"[('kamarnya', 'bagus', 'positive')]",kamarnya buruk .,"[('kamarnya', 'buruk', 'negative')]",[S] positive,[S] positive,True
96,menjadi pengalaman yang sangat berkesan .,"[('pengalaman', 'sangat berkesan', 'positive')]",menjadi gajah yang sangat berkesan .,"[('gajah', 'sangat berkesan', 'positive')]",menjadi pengalaman yang tak terlupakan .,"[('pengalaman', 'tak terlupakan', 'positive')]",menjadi pengalaman yang sangat mengecewakan .,"[('pengalaman', 'sangat mengecewakan', 'negative')]",[S] positive,[S] positive,True
97,"tempatnya nyaman , selalu happy menginap disini .","[('tempatnya', 'nyaman', 'positive')]","lemari nyaman , selalu happy menginap disini .","[('lemari', 'nyaman', 'positive')]", ,"[('tempatnya', 'enak', 'positive')]","tempatnya tidak nyaman , selalu happy menginap disini .","[('tempatnya', 'tidak nyaman', 'negative')]",[S] positive,[S] positive,True
136,parkir mobil agak susah .,"[('parkir mobil', 'agak susah', 'negative')]",pertanian agak susah .,"[('pertanian', 'agak susah', 'negative')]",parkir mobil terbatas .,"[('parkir mobil', 'terbatas', 'negative')]",parkir mobil cukup mudah .,"[('parkir mobil', 'cukup mudah', 'positive')]",[S] negative,[S] negative,True
145,kasurnya lapuk .,"[('kasurnya', 'lapuk', 'negative')]",besi lapuk .,"[('besi', 'lapuk', 'negative')]",kasurnya rusak .,"[('kasurnya', 'rusak', 'negative')]",kasurnya baru .,"[('kasurnya', 'baru', 'positive')]",[S] negative,[S] negative,True
146,"memang tidak ada sarapan , .","[('sarapan', 'tidak ada', 'negative')]","memang tidak ada gelap , .","[('gelap', 'tidak ada', 'negative')]","memang tidak disediakan sarapan , .","[('sarapan', 'tidak disediakan', 'negative')]","memang sangat lengkap sarapan , .","[('sarapan', 'sangat lengkap', 'positive')]",[S] negative,[S] negative,True
153,"saya sudah 4 kali menginap di sini , overall pelayanannya baik .","[('overall pelayanannya', 'baik', 'positive')]","saya sudah 4 kali menginap di sini , konstituen baik .","[('konstituen', 'baik', 'positive')]","saya sudah 4 kali menginap di sini , overall pelayanannya bagus .","[('overall pelayanannya', 'bagus', 'positive')]","saya sudah 4 kali menginap di sini , overall pelayanannya buruk .","[('overall pelayanannya', 'buruk', 'negative')]",[S] positive,[S] positive,True
157,pelayan cepat .,"[('pelayan', 'cepat', 'positive')]",atmosfer cepat .,"[('atmosfer', 'cepat', 'positive')]",pelayan sigap .,"[('pelayan', 'sigap', 'positive')]",pelayan lambat .,"[('pelayan', 'lambat', 'negative')]",[S] positive,[S] positive,True
166,tidak ada sabun di dalam kamar .,"[('sabun', 'tidak ada', 'negative')]",tidak ada astronomi di dalam kamar .,"[('astronomi', 'tidak ada', 'negative')]",tidak diberikan sabun di dalam kamar .,"[('sabun', 'tidak diberikan', 'negative')]",ada sabun di dalam kamar .,"[('sabun', 'ada', 'positive')]",[S] negative,[S] negative,True
178,wifi nya kurang memuaskan : ) .,"[('wifi nya', 'kurang memuaskan', 'negative')]",astronot kurang memuaskan : ) .,"[('astronot', 'kurang memuaskan', 'negative')]",wifi nya buruk : ) .,"[('wifi nya', 'buruk', 'negative')]",wifi nya sangat memuaskan : ) .,"[('wifi nya', 'sangat memuaskan', 'positive')]",[S] negative,[S] negative,True
183,ac nya susah di menyalakan .,"[('ac nya', 'susah di menyalakan', 'negative')]",air mineral susah di menyalakan .,"[('air mineral', 'susah di menyalakan', 'negative')]",ac nya sulit dinyalakan .,"[('ac nya', 'sulit dinyalakan', 'negative')]",ac nya mudah dinyalakan .,"[('ac nya', 'mudah dinyalakan', 'positive')]",[S] negative,[S] negative,True
198,kamar sempit .,"[('kamar', 'sempit', 'negative')]",anginnya sempit .,"[('anginnya', 'sempit', 'negative')]",kamar sesak .,"[('kamar', 'sesak', 'negative')]",kamar luas .,"[('kamar', 'luas', 'positive')]",[S] negative,[S] negative,True
199,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok .","[('tempat', 'nyaman', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . sapu nyaman kok .","[('sapu', 'nyaman', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . tempat enak kok .","[('tempat', 'enak', 'positive')]","sudah 3x menginap di sini , selalu jadi langganan . tapi tempat jadi tidak nyaman .","[('tempat', 'tidak nyaman', 'negative')]",[S] positive,[S] positive,True
201,pelayanan kurang .,"[('pelayanan', 'kurang', 'negative')]",komputer kurang .,"[('komputer', 'kurang', 'negative')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]",pelayanan sangat baik .,"[('pelayanan', 'sangat baik', 'positive')]",[S] negative,[S] negative,True
208,pelayanannya yang sngat profesional .,"[('pelayanannya', 'sngat profesional', 'positive')]",lemari yang sngat profesional .,"[('lemari', 'sngat profesional', 'positive')]",pelayanannya yang prima .,"[('pelayanannya', 'prima', 'positive')]",pelayanannya yang sangat amatiran .,"[('pelayanannya', 'sangat amatiran', 'negative')]",[S] positive,[S] positive,True
220,pelayanan oke .,"[('pelayanan', 'oke', 'positive')]",planet oke .,"[('planet', 'oke', 'positive')]",pelayanan bagus .,"[('pelayanan', 'bagus', 'positive')]",pelayanan tidak oke .,"[('pelayanan', 'tidak oke', 'negative')]",[S] positive,[S] positive,True
223,tempat buat istirahat yang sangat nyaman sekali .,"[('tempat', 'sangat nyaman sekali', 'positive')]",lukisan buat istirahat yang sangat nyaman sekali .,"[('lukisan', 'sangat nyaman sekali', 'positive')]",tempat buat istirahat yang tentram .,"[('tempat', 'tentram', 'positive')]",tempat buat istirahat yang sangat tidak nyaman .,"[('tempat', 'sangat tidak nyaman', 'negative')]",[S] positive,[S] positive,True
229,di lantai 1 kamar yang kami tempati lumayan besar .,"[('kamar', 'lumayan besar', 'positive')]",di lantai 1 baterai yang kami tempati lumayan besar .,"[('baterai', 'lumayan besar', 'positive')]",di lantai 1 kamar yang kami tempati agak luas .,"[('kamar', 'agak luas', 'positive')]",di lantai 1 kamar yang kami tempati lumayan kecil .,"[('kamar', 'lumayan kecil', 'negative')]",[S] positive,[S] positive,True
230,hot shower tidak berfungsi .,"[('hot shower', 'tidak berfungsi', 'negative')]",alas tidak berfungsi .,"[('alas', 'tidak berfungsi', 'negative')]",hot shower rusak .,"[('hot shower', 'rusak', 'negative')]",hot shower berfungsi dengan baik .,"[('hot shower', 'berfungsi dengan baik', 'positive')]",[S] negative,[S] negative,True
231,bagus tempatnya .,"[('tempatnya', 'bagus', 'positive')]",bagus ekosistem .,"[('ekosistem', 'bagus', 'positive')]",apik tempatnya .,"[('tempatnya', 'apik', 'positive')]",buruk tempatnya .,"[('tempatnya', 'buruk', 'negative')]",[S] positive,[S] positive,True
233,pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]",planet ramah .,"[('planet', 'ramah', 'positive')]",pelayanan bersahabat .,"[('pelayanan', 'bersahabat', 'positive')]",pelayanan tidak ramah .,"[('pelayanan', 'tidak ramah', 'negative')]",[S] positive,[S] positive,True
235,lokasi strategis dekat stasiun blitar dan alun alun .,"[('lokasi', 'strategis', 'positive')]",merk strategis dekat stasiun blitar dan alun alun .,"[('merk', 'strategis', 'positive')]",lokasi menguntungkan dekat stasiun blitar dan alun alun .,"[('lokasi', 'menguntungkan', 'positive')]",lokasi tidak strategis dekat stasiun blitar dan alun alun .,"[('lokasi', 'tidak strategis', 'negative')]",[S] positive,[S] positive,True
