order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[A] pelayanan [O] lumayan baik [S] positive,satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]",[A] satelit [O] sangat wangi [S] negative,True
ASO,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[A] pelayanan [S] positive [O] lumayan baik,satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]",[A] satelit [S] negative [O] sangat wangi,True
SAO,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[S] positive [A] pelayanan [O] lumayan baik,satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]",[S] negative [A] satelit [O] sangat wangi,True
OAS,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[O] lumayan baik [A] pelayanan [S] positive,satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]",[O] sangat wangi [A] satelit [S] negative,True
OSA,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[O] lumayan baik [S] positive [A] pelayanan,satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]",[O] sangat wangi [S] negative [A] satelit,True
AOS,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[A] suasananya [O] kurang nyaman [S] negative,"keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]",[A] keretanya [O] cukup ramah [S] positive,True
ASO,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[A] suasananya [S] negative [O] kurang nyaman,"keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]",[A] keretanya [S] positive [O] cukup ramah,True
SAO,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[S] negative [A] suasananya [O] kurang nyaman,"keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]",[S] positive [A] keretanya [O] cukup ramah,True
OAS,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[O] kurang nyaman [A] suasananya [S] negative,"keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]",[O] cukup ramah [A] keretanya [S] positive,True
OSA,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[O] kurang nyaman [S] negative [A] suasananya,"keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]",[O] cukup ramah [S] positive [A] keretanya,True
AOS,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[A] makanan [O] kurang memuaskan [S] negative,sepeda yang berwangi bunga .,"[('sepeda', 'berwangi bunga', 'positive')]",[A] sepeda [O] berwangi bunga [S] positive,True
ASO,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[A] makanan [S] negative [O] kurang memuaskan,sepeda yang berwangi bunga .,"[('sepeda', 'berwangi bunga', 'positive')]",[A] sepeda [S] positive [O] berwangi bunga,True
