order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]",[A] snack [O] tidak dapat [S] negative,"baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[A] radio [O] baik sangat [S] positive,True
ASO,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]",[A] snack [S] negative [O] tidak dapat,"baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[A] radio [S] positive [O] baik sangat,True
SAO,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]",[S] negative [A] snack [O] tidak dapat,"baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[S] positive [A] radio [O] baik sangat,True
OAS,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]",[O] tidak dapat [A] snack [S] negative,"baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[O] baik sangat [A] radio [S] positive,True
OSA,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]",[O] tidak dapat [S] negative [A] snack,"baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[O] baik sangat [S] positive [A] radio,True
AOS,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[A] kamarnya [O] oke [S] positive,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[A] pot bunga [O] busuk [S] negative,True
ASO,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[A] kamarnya [S] positive [O] oke,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[A] pot bunga [S] negative [O] busuk,True
SAO,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[S] positive [A] kamarnya [O] oke,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[S] negative [A] pot bunga [O] busuk,True
OAS,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[O] oke [A] kamarnya [S] positive,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[O] busuk [A] pot bunga [S] negative,True
OSA,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[O] oke [S] positive [A] kamarnya,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[O] busuk [S] negative [A] pot bunga,True
AOS,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] baju anakku [O] cukup cepat [S] positive,True
ASO,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[A] tempat tidur [S] negative [O] kurang bersih,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] baju anakku [S] positive [O] cukup cepat,True
SAO,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[S] negative [A] tempat tidur [O] kurang bersih,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[S] positive [A] baju anakku [O] cukup cepat,True
OAS,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[O] kurang bersih [A] tempat tidur [S] negative,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[O] cukup cepat [A] baju anakku [S] positive,True
OSA,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[O] kurang bersih [S] negative [A] tempat tidur,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[O] cukup cepat [S] positive [A] baju anakku,True
AOS,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",[A] lampu tidur [O] tidak terdapat [S] negative,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[A] rekening tabungan [O] cepat sekali [S] positive,True
ASO,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",[A] lampu tidur [S] negative [O] tidak terdapat,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[A] rekening tabungan [S] positive [O] cepat sekali,True
SAO,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",[S] negative [A] lampu tidur [O] tidak terdapat,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[S] positive [A] rekening tabungan [O] cepat sekali,True
OAS,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",[O] tidak terdapat [A] lampu tidur [S] negative,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[O] cepat sekali [A] rekening tabungan [S] positive,True
