index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
2501,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]",[A] pelayanan [O] lumayan baik [S] positive,[A] pelayanan [O] lumayan baik [S] positive,True
2512,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]",[A] makanan [O] kurang memuaskan [S] negative,[A] makanan [O] kurang memuaskan [S] negative,True
2517,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",daun kotor . [,"[('daun', 'kotor', 'negative')]",[A] kamar [O] bersih [S] positive,[A] kamar [O] bersih [S] positive,True
2524,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]",[A] harga [O] terjangkau [S] positive,[A] harga [O] terjangkau [S] positive,True
2529,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]",[A] hotel [O] kurang nyaman [S] negative,[A] hotel [O] kurang nyaman [S] negative,True
2532,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[A] tempatnya [O] oke [S] positive,[A] tempatnya [O] oke [S] positive,True
2541,pelayanan oke . [,"[('pelayanan', 'oke', 'positive')]",kebersihan buruk . [,"[('kebersihan', 'buruk', 'negative')]",[A] pelayanan [O] oke [S] positive,[A] pelayanan [O] oke [S] positive,True
2547,pelayanan yang sangat mengecewakan . [,"[('pelayanan', 'sangat mengecewakan', 'negative')]",makanan yang cukup bervariasi . [,"[('makanan', 'cukup bervariasi', 'positive')]",[A] pelayanan [O] sangat mengecewakan [S] negative,[A] pelayanan [O] sangat mengecewakan [S] negative,True
2550,"nyaman tempatnya , . [","[('tempatnya', 'nyaman', 'positive')]","susah aksesnya , . [","[('aksesnya', 'susah', 'negative')]",[A] tempatnya [O] nyaman [S] positive,[A] tempatnya [O] nyaman [S] positive,True
2551,sayang tidak ada breakfastnya . hihihj . [,"[('breakfastnya', 'tidak ada', 'negative')]",sayang sudah ada susu . hihihj . [,"[('susu', 'sudah ada', 'positive')]",[A] breakfastnya [O] tidak ada [S] negative,[A] breakfastnya [O] tidak ada [S] negative,True
2553,kamar bagus . [,"[('kamar', 'bagus', 'positive')]",gorden robek . [,"[('gorden', 'robek', 'negative')]",[A] kamar [O] bagus [S] positive,[A] kamar [O] bagus [S] positive,True
2556,tempat menginap yang nyaman . [,"[('tempat', 'nyaman', 'positive')]",kamar menginap yang sempit . [,"[('kamar', 'sempit', 'negative')]",[A] tempat [O] nyaman [S] positive,[A] tempat [O] nyaman [S] positive,True
2561,kamar mandi kurang bersih . [,"[('kamar mandi', 'kurang bersih', 'negative')]",kamar tidur selalu bersih . [,"[('kamar tidur', 'selalu bersih', 'positive')]",[A] kamar mandi [O] kurang bersih [S] negative,[A] kamar mandi [O] kurang bersih [S] negative,True
2579,hotel sangat nyaman . [,"[('hotel', 'sangat nyaman', 'positive')]",staff tidak ramah . [,"[('staff', 'tidak ramah', 'negative')]",[A] hotel [O] sangat nyaman [S] positive,[A] hotel [O] sangat nyaman [S] positive,True
2592,kamar kotor . [,"[('kamar', 'kotor', 'negative')]",lokasi strategis . [,"[('lokasi', 'strategis', 'positive')]",[A] kamar [O] kotor [S] negative,[A] kamar [O] kotor [S] negative,True
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar . [","[('tempat', 'enak', 'positive')]","kamar pengap buat persinggahan . dekat dengan bandara , bisa pesan antar . [","[('kamar', 'pengap', 'negative')]",[A] tempat [O] enak [S] positive,[A] tempat [O] enak [S] positive,True
2600,penjaganya kurang ramah . [,"[('penjaganya', 'kurang ramah', 'negative')]",kebersihan hotel sangat terjaga . [,"[('kebersihan hotel', 'sangat terjaga', 'positive')]",[A] penjaganya [O] kurang ramah [S] negative,[A] penjaganya [O] kurang ramah [S] negative,True
2628,menu breakfast kurang lengkap . [,"[('menu breakfast', 'kurang lengkap', 'negative')]",lokasi cukup strategis . [,"[('lokasi', 'cukup strategis', 'positive')]",[A] menu breakfast [O] kurang lengkap [S] negative,[A] menu breakfast [O] kurang lengkap [S] negative,True
2636,lampu kamar kurang terang . [,"[('lampu kamar', 'kurang terang', 'negative')]",kasur kamar selalu tersedia . [,"[('kasur kamar', 'selalu tersedia', 'positive')]",[A] lampu kamar [O] kurang terang [S] negative,[A] lampu kamar [O] kurang terang [S] negative,True
2699,wifi tidak hidup nya . [,"[('wifi', 'tidak hidup', 'negative')]",ac sangat dingin nya . [,"[('ac', 'sangat dingin', 'positive')]",[A] wifi [O] tidak hidup [S] negative,[A] wifi [O] tidak hidup [S] negative,True
2700,lokasi oke . dekat dengan pusat kota . [,"[('lokasi', 'oke', 'positive')]",parkiran sempit . dekat dengan pusat kota . [,"[('parkiran', 'sempit', 'negative')]",[A] lokasi [O] oke [S] positive,[A] lokasi [O] oke [S] positive,True
2703,kamarnya kecil banget . [,"[('kamarnya', 'kecil banget', 'negative')]",suasana nya cukup tenang . [,"[('suasana nya', 'cukup tenang', 'positive')]",[A] kamarnya [O] kecil banget [S] negative,[A] kamarnya [O] kecil banget [S] negative,True
2733,"tempat yang nyaman , dekat sekali dengan masjid . [","[('tempat', 'nyaman', 'positive')]","kamar yang bau , dekat sekali dengan masjid . [","[('kamar', 'bau', 'negative')]",[A] tempat [O] nyaman [S] positive,[A] tempat [O] nyaman [S] positive,True
2755,untuk inap yang kemarin tempat tidur kurang bersih . [,"[('tempat tidur', 'kurang bersih', 'negative')]",untuk inap yang kemarin kamar mandi cukup bersih . [,"[('kamar mandi', 'cukup bersih', 'positive')]",[A] tempat tidur [O] kurang bersih [S] negative,[A] tempat tidur [O] kurang bersih [S] negative,True
2945,wifi kurang baik . [,"[('wifi', 'kurang baik', 'negative')]",ac sangat dingin . [,"[('ac', 'sangat dingin', 'positive')]",[A] wifi [O] kurang baik [S] negative,[A] wifi [O] kurang baik [S] negative,True
2970,tempat tdr kurang nyaman . [,"[('tempat tdr', 'kurang nyaman', 'negative')]",sarapan pagi sangat lezat . [,"[('sarapan pagi', 'sangat lezat', 'positive')]",[A] tempat tdr [O] kurang nyaman [S] negative,[A] tempat tdr [O] kurang nyaman [S] negative,True
2991,pelayanan bagus . terimakasih airy ! [,"[('pelayanan', 'bagus', 'positive')]",makanan buruk . terimakasih airy ! [,"[('makanan', 'buruk', 'negative')]",[A] pelayanan [O] bagus [S] positive,[A] pelayanan [O] bagus [S] positive,True
3084,kamar sempit banget . [,"[('kamar', 'sempit banget', 'negative')]",parkiran luas sekali . [,"[('parkiran', 'luas sekali', 'positive')]",[A] kamar [O] sempit banget [S] negative,[A] kamar [O] sempit banget [S] negative,True
3113,kamar luas dekat stasiun balapan . [,"[('kamar', 'luas', 'positive')]",lampu rusak dekat stasiun balapan . [,"[('lampu', 'rusak', 'negative')]",[A] kamar [O] luas [S] positive,[A] kamar [O] luas [S] positive,True
3172,wastafel macet . [,"[('wastafel', 'macet', 'negative')]",suasana nya buruk . [,"[('suasana nya', 'buruk', 'negative')]",[A] wastafel [O] macet [S] negative,[A] wastafel [O] macet [S] negative,True
3251,tetapi tidak disediakan air mineral di dalam kamar . [,"[('air mineral', 'tidak disediakan', 'negative')]",tetapi kasur terasa empuk di dalam kamar . [,"[('kasur', 'terasa empuk', 'positive')]",[A] air mineral [O] tidak disediakan [S] negative,[A] air mineral [O] tidak disediakan [S] negative,True
3253,pelayanan resepsionis cepat . [,"[('pelayanan resepsionis', 'cepat', 'positive')]",suara kendaraan di luar bising . [,"[('suara kendaraan di luar', 'bising', 'negative')]",[A] pelayanan resepsionis [O] cepat [S] positive,[A] pelayanan resepsionis [O] cepat [S] positive,True
3266,good banget hotelnya . [,"[('hotelnya', 'good banget', 'positive')]",berisik airnya . [,"[('airnya', 'berisik', 'negative')]",[A] hotelnya [O] good banget [S] positive,[A] hotelnya [O] good banget [S] positive,True
3377,hotel nyaman . terimakasih airy . [,"[('hotel', 'nyaman', 'positive')]",wifi lemot . terimakasih airy . [,"[('wifi', 'lemot', 'negative')]",[A] hotel [O] nyaman [S] positive,[A] hotel [O] nyaman [S] positive,True
3384,shower nya rusak . [,"[('shower nya', 'rusak', 'negative')]",toilet nya bersih . [,"[('toilet nya', 'bersih', 'positive')]",[A] shower nya [O] rusak [S] negative,[A] shower nya [O] rusak [S] negative,True
3392,airnya terlalu kecil . [,"[('airnya', 'terlalu kecil', 'negative')]",kasur menarik sekali . [,"[('kasur', 'menarik sekali', 'positive')]",[A] airnya [O] terlalu kecil [S] negative,[A] airnya [O] terlalu kecil [S] negative,True
3401,pelayanan cepat . [,"[('pelayanan', 'cepat', 'positive')]",kamar nya kotor . [,"[('kamarnya', 'kotor', 'negative')]",[A] pelayanan [O] cepat [S] positive,[A] pelayanan [O] cepat [S] positive,True
3470,"proses check in nya lama , padahal sudah mau istirahat . [","[('proses check in nya', 'lama', 'negative')]","akses kamarnya cepat , padahal sudah mau istirahat . [","[('akses kamarnya', 'cepat', 'positive')]",[A] proses check in nya [O] lama [S] negative,[A] proses check in nya [O] lama [S] negative,True
3486,kamar mandi sempit . [,"[('kamar mandi', 'sempit', 'negative')]",view jendela bagus . [,"[('view jendela', 'bagus', 'positive')]",[A] kamar mandi [O] sempit [S] negative,[A] kamar mandi [O] sempit [S] negative,True
3494,kamar luas dan dekat dengan tempat wisata . [,"[('kamar', 'luas', 'positive')]",layanan lambat dan dekat dengan tempat wisata . [,"[('layanan', 'lambat', 'negative')]",[A] kamar [O] luas [S] positive,[A] kamar [O] luas [S] positive,True
3500,pelayanan nya sangat ramah . [,"[('pelayanan nya', 'sangat ramah', 'positive')]",fasilitasnya terbatas . [,"[('fasilitasnya', 'terbatas', 'negative')]",[A] pelayanan nya [O] sangat ramah [S] positive,[A] pelayanan nya [O] sangat ramah [S] positive,True
3501,sayang wifi tidak bagus harus keluar kamar . [,"[('wifi', 'tidak bagus', 'negative')]",sayang interior sangat nyaman harus keluar kamar . [,"[('interior', 'sangat nyaman', 'positive')]",[A] wifi [O] tidak bagus [S] negative,[A] wifi [O] tidak bagus [S] negative,True
3510,ac kurang dingin . [,"[('ac', 'kurang dingin', 'negative')]",api lumayan dingin . [,"[('api', 'lumayan dingin', 'positive')]",[A] ac [O] kurang dingin [S] negative,[A] ac [O] kurang dingin [S] negative,True
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . [","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena fasilitasnya sangat minim . [","[('fasilitasnya', 'sangat minim', 'negative')]",[A] pelayanannya [O] sangat baik [S] positive,[A] pelayanannya [O] sangat baik [S] positive,True
3524,ac nya kurang dingin di kamar 515 . [,"[('ac nya', 'kurang dingin', 'negative')]",view nya luar biasa di kamar 515 . [,"[('view nya', 'luar biasa', 'positive')]",[A] ac nya [O] kurang dingin [S] negative,[A] ac nya [O] kurang dingin [S] negative,True
3531,parkiran cukup luas . [,"[('parkiran', 'cukup luas', 'positive')]",sarapan kurang bersih . [,"[('sarapan', 'kurang bersih', 'negative')]",[A] parkiran [O] cukup luas [S] positive,[A] parkiran [O] cukup luas [S] positive,True
3537,ac tidak dingin . [,"[('ac', 'tidak dingin', 'negative')]",staff sangat membantu . [,"[('staff', 'sangat membantu', 'positive')]",[A] ac [O] tidak dingin [S] negative,[A] ac [O] tidak dingin [S] negative,True
3539,pelayanannya cepat . saya pas kesitu lagi ada renovasi . [,"[('pelayanannya', 'cepat', 'positive')]",kamar mandi bau . saya pas kesitu lagi ada renovasi . [,"[('kamar mandi', 'bau', 'negative')]",[A] pelayanannya [O] cepat [S] positive,[A] pelayanannya [O] cepat [S] positive,True
3542,alhamdulillah tempatnya nyaman . [,"[('tempatnya', 'nyaman', 'positive')]",alhamdulillah pelayanan lambat . [,"[('pelayanan', 'lambat', 'negative')]",[A] tempatnya [O] nyaman [S] positive,[A] tempatnya [O] nyaman [S] positive,True
3548,semuanya oke . [,"[('semuanya', 'oke', 'positive')]",pelayanan buruk . [,"[('pelayanan', 'buruk', 'negative')]",[A] semuanya [O] oke [S] positive,[A] semuanya [O] oke [S] positive,True
3564,pelayanan kurang baik . [,"[('pelayanan', 'kurang baik', 'negative')]",lokasi nya sangat strategis . [,"[('lokasi nya', 'sangat strategis', 'positive')]",[A] pelayanan [O] kurang baik [S] negative,[A] pelayanan [O] kurang baik [S] negative,True
3576,pelayanannya kurang . [,"[('pelayanannya', 'kurang', 'negative')]",fasilitasnya cukup . [,"[('fasilitasnya', 'cukup', 'positive')]",[A] pelayanannya [O] kurang [S] negative,[A] pelayanannya [O] kurang [S] negative,True
3580,pelayanannya bagus . sampai diantar ke bandara dengan juga . [,"[('pelayanannya', 'bagus', 'positive')]",fasilitasnya buruk . sampai diantar ke bandara dengan juga . [,"[('fasilitasnya', 'buruk', 'negative')]",[A] pelayanannya [O] bagus [S] positive,[A] pelayanannya [O] bagus [S] positive,True
3584,"bagus tempatnya , dekat rumah makan . [","[('tempatnya', 'bagus', 'positive')]","mahal tarifnya , dekat rumah makan . [","[('tarifnya', 'mahal', 'negative')]",[A] tempatnya [O] bagus [S] positive,[A] tempatnya [O] bagus [S] positive,True
3594,sayang lift tidak bekerja . [,"[('lift', 'tidak bekerja', 'negative')]",sayang staff sangat ramah . [,"[('staff', 'sangat ramah', 'positive')]",[A] lift [O] tidak bekerja [S] negative,[A] lift [O] tidak bekerja [S] negative,True
3629,airnya kurang kencang . [,"[('airnya', 'kurang kencang', 'negative')]",kuku lumayan kencang . [,"[('kuku', 'lumayan kencang', 'positive')]",[A] airnya [O] kurang kencang [S] negative,[A] airnya [O] kurang kencang [S] negative,True
