index,original_pair,corrupted_pair,false_indexes,num_of_triplets
10,kamarnya oke . [A] [O] [S] [A] kamarnya [O] oke [S] positive,pot bunga  busuk . [A] [O] [S] [A] pot bunga [O] busuk [S] negative,True,1
18,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat . [A] [O] [S] [A] baju anakku [O] cukup cepat [S] positive,True,1
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . [A] [O] [S] [A] lampu tidur [O] tidak terdapat [S] negative,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . [A] [O] [S] [A] rekening tabungan [O] cepat sekali [S] positive,True,1
54,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,baik sangat lilin . [A] [O] [S] [A] lilin [O] baik sangat [S] positive,True,1
78,di kamar saya tidak ada air hangat . [A] [O] [S] [A] air hangat [O] tidak ada [S] negative,di kamar saya sangat ok daunnya . [A] [O] [S] [A] daunnya [O] sangat ok [S] positive,True,1
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,komputer saja yang sangat nyaman dan damai setiap saat selalu . [A] [O] [S] [A] komputer [O] sangat nyaman dan damai setiap saat selalu [S] positive,True,1
105,air panas sering tidak mengalir . [A] [O] [S] [A] air panas [O] sering tidak mengalir [S] negative,kunci motor manis sekali rasanya . [A] [O] [S] [A] kunci motor [O] manis sekali rasanya [S] positive,True,1
134,"ketika kami menginap , pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive","ketika kami menginap , kucing hitam mahal . [A] [O] [S] [A] kucing hitam [O] mahal [S] negative",True,1
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . [A] [O] [S] [A] mie rebus [O] benar benar cantik [S] positive",True,1
151,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,kurang baju saja ini yang cepat sekali . [A] [O] [S] [A] baju [O] cepat sekali [S] positive,True,1
176,air panas kamar mandi kurang panas . [A] [O] [S] [A] air panas kamar mandi [O] kurang panas [S] negative,harga tiket kereta cepat enak sekali . [A] [O] [S] [A] harga tiket kereta cepat [O] enak sekali [S] positive,True,1
182,di kamar basement sinyal hp tidak ada . [A] [O] [S] [A] sinyal hp [O] tidak ada [S] negative,di kamar basement kucing hitam sangat keras . [A] [O] [S] [A] kucing hitam [O] sangat keras [S] positive,True,1
200,overall is oke lah . [A] [O] [S] [A] overall [O] oke [S] positive,air is mahal lah . [A] [O] [S] [A] air [O] mahal [S] negative,True,1
