clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
kamar nya nyaman dengan nuansa biru . [A],sikut nya nyaman dengan nuansa biru . [A],kamar nya,sikut nya,"[[595, 15554, 75189]]","[[75461, 332, 75189]]"
air kamar mandinnya asin . [A],ideologi yang muncul asin . [A],air kamar mandinnya,ideologi yang muncul,"[[3720, 595, 15554, 11576, 258, 22891]]","[[2614, 85635, 10371, 296, 1347, 360]]"
menjadi pengalaman yang sangat berkesan . [A],menjadi gajah yang sangat berkesan . [A],pengalaman,gajah,"[[36686, 278, 12715]]","[[342, 1630, 1466]]"
parkir mobil agak susah . [A],kebaikan agak susah . [A],parkir mobil,kebaikan,"[[6118, 404, 28805]]","[[1962, 4645, 22222]]"
kasurnya lapuk . [A],logamnya lapuk . [A],kasurnya,logamnya,"[[47656, 399, 7755]]","[[1487, 309, 22891]]"
"memang tidak ada sarapan , . [A]","memang tidak ada gelap , . [A]",sarapan,gelap,"[[28047, 5359]]","[[17837, 391]]"
"saya sudah 4 kali menginap di sini , overall pelayanannya baik . [A]","saya sudah 4 kali menginap di sini , overall kerakusannya baik . [A]",overall pelayanannya,overall kerakusannya,"[[8084, 281, 6895, 276, 71098]]","[[8084, 33701, 585, 355, 71098]]"
tidak ada sabun di dalam kamar . [A],tidak ada fisika di dalam kamar . [A],sabun,fisika,"[[19408, 359]]","[[41623, 11496]]"
ac nya susah di menyalakan . [A],air mineral susah di menyalakan . [A],ac nya,air mineral,"[[1613, 75189]]","[[3720, 24136]]"
kamar sempit . [A],angin sempit . [A],kamar,angin,"[[595, 15554]]","[[6454, 258]]"
"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [A]","sudah 3x menginap di sini , selalu jadi langganan . sapu nyaman kok . [A]",tempat,sapu,"[[2730, 266]]","[[34635, 84]]"
pelayanan kurang . [A],perampasan kurang . [A],pelayanan,perampasan,"[[281, 6895, 28618]]","[[817, 1121, 45388]]"
pelayanannya yang sngat profesional . [A],permasalahan yang sngat profesional . [A],pelayanannya,permasalahan,"[[281, 6895, 276, 71098]]","[[817, 6899, 278, 22051]]"
tempat buat istirahat yang sangat nyaman sekali . [A],kunci buat istirahat yang sangat nyaman sekali . [A],tempat,kunci,"[[2730, 266]]","[[595, 18424]]"
pelayanan ramah . [A],makanannya ramah . [A],pelayanan,makanannya,"[[281, 6895, 28618]]","[[296, 19262, 71098]]"
lokasi strategis dekat stasiun blitar dan alun alun . [A],merk strategis dekat stasiun blitar dan alun alun . [A],lokasi,merk,"[[40283, 10215]]","[[4704, 74]]"
"tidak ada kesan sama sekali , terimakasih . [A]","tidak ada bubuk sama sekali , terimakasih . [A]",kesan,bubuk,"[[50977, 276]]","[[77769, 3101]]"
kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke . [A],kebersihan seprai harus tetap dijaga iya . tetapi hari semua oke . [A],overall,hari,[[8084]],[[69696]]
pelayanan yang baik . [A],bebatuan yang baik . [A],pelayanan,bebatuan,"[[281, 6895, 28618]]","[[387, 13718, 10386]]"
tempat enak banget . [A],layangan enak banget . [A],tempat,layangan,"[[2730, 266]]","[[10962, 18633]]"
air tidak jalan . [A],lem tidak jalan . [A],air,lem,[[3720]],[[83974]]
sarapannya ala kadarnya . [A],kesakitan ala kadarnya . [A],sarapannya,kesakitan,"[[28047, 391, 71098]]","[[50977, 585, 12849]]"
"koridor terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te . [A]","biola terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te . [A]",koridor,biola,"[[31954, 28756]]","[[6032, 7924]]"
