index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
2501,pelayanan lumayan baik . [,"[('pelayanan', 'lumayan baik', 'positive')]",fasilitas sangat buruk . [,"[('fasilitas', 'sangat buruk', 'negative')]"
2512,makanan yang kurang memuaskan . [,"[('makanan', 'kurang memuaskan', 'negative')]",fasilitas yang cukup memuaskan . [,"[('fasilitas', 'cukup memuaskan', 'positive')]"
2517,kamar bersih . [,"[('kamar', 'bersih', 'positive')]",daun kotor . [,"[('daun', 'kotor', 'negative')]"
2524,harga terjangkau dan dekat dengan pusat kota bandung . [,"[('harga', 'terjangkau', 'positive')]",lift sering macet dan dekat dengan pusat kota bandung . [,"[('lift', 'sering macet', 'negative')]"
2529,hotel kurang nyaman . [,"[('hotel', 'kurang nyaman', 'negative')]",ac terasa dingin . [,"[('ac', 'terasa dingin', 'positive')]"
2532,ini tempatnya oke . [,"[('tempatnya', 'oke', 'positive')]",ini kamarnya kotor . [,"[('kamarnya', 'kotor', 'negative')]"
2541,pelayanan oke . [,"[('pelayanan', 'oke', 'positive')]",kebersihan buruk . [,"[('kebersihan', 'buruk', 'negative')]"
2547,pelayanan yang sangat mengecewakan . [,"[('pelayanan', 'sangat mengecewakan', 'negative')]",makanan yang cukup bervariasi . [,"[('makanan', 'cukup bervariasi', 'positive')]"
2550,"nyaman tempatnya , . [","[('tempatnya', 'nyaman', 'positive')]","susah aksesnya , . [","[('aksesnya', 'susah', 'negative')]"
2551,sayang tidak ada breakfastnya . hihihj . [,"[('breakfastnya', 'tidak ada', 'negative')]",sayang sudah ada susu . hihihj . [,"[('susu', 'sudah ada', 'positive')]"
2553,kamar bagus . [,"[('kamar', 'bagus', 'positive')]",gorden robek . [,"[('gorden', 'robek', 'negative')]"
2556,tempat menginap yang nyaman . [,"[('tempat', 'nyaman', 'positive')]",kamar menginap yang sempit . [,"[('kamar', 'sempit', 'negative')]"
2561,kamar mandi kurang bersih . [,"[('kamar mandi', 'kurang bersih', 'negative')]",kamar tidur selalu bersih . [,"[('kamar tidur', 'selalu bersih', 'positive')]"
2579,hotel sangat nyaman . [,"[('hotel', 'sangat nyaman', 'positive')]",staff tidak ramah . [,"[('staff', 'tidak ramah', 'negative')]"
2592,kamar kotor . [,"[('kamar', 'kotor', 'negative')]",lokasi strategis . [,"[('lokasi', 'strategis', 'positive')]"
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar . [","[('tempat', 'enak', 'positive')]","kamar pengap buat persinggahan . dekat dengan bandara , bisa pesan antar . [","[('kamar', 'pengap', 'negative')]"
2600,penjaganya kurang ramah . [,"[('penjaganya', 'kurang ramah', 'negative')]",kebersihan hotel sangat terjaga . [,"[('kebersihan hotel', 'sangat terjaga', 'positive')]"
2628,menu breakfast kurang lengkap . [,"[('menu breakfast', 'kurang lengkap', 'negative')]",lokasi cukup strategis . [,"[('lokasi', 'cukup strategis', 'positive')]"
2636,lampu kamar kurang terang . [,"[('lampu kamar', 'kurang terang', 'negative')]",kasur kamar selalu tersedia . [,"[('kasur kamar', 'selalu tersedia', 'positive')]"
2699,wifi tidak hidup nya . [,"[('wifi', 'tidak hidup', 'negative')]",ac sangat dingin nya . [,"[('ac', 'sangat dingin', 'positive')]"
2700,lokasi oke . dekat dengan pusat kota . [,"[('lokasi', 'oke', 'positive')]",parkiran sempit . dekat dengan pusat kota . [,"[('parkiran', 'sempit', 'negative')]"
2703,kamarnya kecil banget . [,"[('kamarnya', 'kecil banget', 'negative')]",suasana nya cukup tenang . [,"[('suasana nya', 'cukup tenang', 'positive')]"
2733,"tempat yang nyaman , dekat sekali dengan masjid . [","[('tempat', 'nyaman', 'positive')]","kamar yang bau , dekat sekali dengan masjid . [","[('kamar', 'bau', 'negative')]"
2755,untuk inap yang kemarin tempat tidur kurang bersih . [,"[('tempat tidur', 'kurang bersih', 'negative')]",untuk inap yang kemarin kamar mandi cukup bersih . [,"[('kamar mandi', 'cukup bersih', 'positive')]"
2945,wifi kurang baik . [,"[('wifi', 'kurang baik', 'negative')]",ac sangat dingin . [,"[('ac', 'sangat dingin', 'positive')]"
2970,tempat tdr kurang nyaman . [,"[('tempat tdr', 'kurang nyaman', 'negative')]",sarapan pagi sangat lezat . [,"[('sarapan pagi', 'sangat lezat', 'positive')]"
2991,pelayanan bagus . terimakasih airy ! [,"[('pelayanan', 'bagus', 'positive')]",makanan buruk . terimakasih airy ! [,"[('makanan', 'buruk', 'negative')]"
3084,kamar sempit banget . [,"[('kamar', 'sempit banget', 'negative')]",parkiran luas sekali . [,"[('parkiran', 'luas sekali', 'positive')]"
3113,kamar luas dekat stasiun balapan . [,"[('kamar', 'luas', 'positive')]",lampu rusak dekat stasiun balapan . [,"[('lampu', 'rusak', 'negative')]"
3172,wastafel macet . [,"[('wastafel', 'macet', 'negative')]",suasana nya buruk . [,"[('suasana nya', 'buruk', 'negative')]"
3251,tetapi tidak disediakan air mineral di dalam kamar . [,"[('air mineral', 'tidak disediakan', 'negative')]",tetapi kasur terasa empuk di dalam kamar . [,"[('kasur', 'terasa empuk', 'positive')]"
3253,pelayanan resepsionis cepat . [,"[('pelayanan resepsionis', 'cepat', 'positive')]",suara kendaraan di luar bising . [,"[('suara kendaraan di luar', 'bising', 'negative')]"
3266,good banget hotelnya . [,"[('hotelnya', 'good banget', 'positive')]",berisik airnya . [,"[('airnya', 'berisik', 'negative')]"
3377,hotel nyaman . terimakasih airy . [,"[('hotel', 'nyaman', 'positive')]",wifi lemot . terimakasih airy . [,"[('wifi', 'lemot', 'negative')]"
3384,shower nya rusak . [,"[('shower nya', 'rusak', 'negative')]",toilet nya bersih . [,"[('toilet nya', 'bersih', 'positive')]"
3392,airnya terlalu kecil . [,"[('airnya', 'terlalu kecil', 'negative')]",kasur menarik sekali . [,"[('kasur', 'menarik sekali', 'positive')]"
3401,pelayanan cepat . [,"[('pelayanan', 'cepat', 'positive')]",kamar nya kotor . [,"[('kamarnya', 'kotor', 'negative')]"
3470,"proses check in nya lama , padahal sudah mau istirahat . [","[('proses check in nya', 'lama', 'negative')]","akses kamarnya cepat , padahal sudah mau istirahat . [","[('akses kamarnya', 'cepat', 'positive')]"
3486,kamar mandi sempit . [,"[('kamar mandi', 'sempit', 'negative')]",view jendela bagus . [,"[('view jendela', 'bagus', 'positive')]"
3494,kamar luas dan dekat dengan tempat wisata . [,"[('kamar', 'luas', 'positive')]",layanan lambat dan dekat dengan tempat wisata . [,"[('layanan', 'lambat', 'negative')]"
3500,pelayanan nya sangat ramah . [,"[('pelayanan nya', 'sangat ramah', 'positive')]",fasilitasnya terbatas . [,"[('fasilitasnya', 'terbatas', 'negative')]"
3501,sayang wifi tidak bagus harus keluar kamar . [,"[('wifi', 'tidak bagus', 'negative')]",sayang interior sangat nyaman harus keluar kamar . [,"[('interior', 'sangat nyaman', 'positive')]"
3510,ac kurang dingin . [,"[('ac', 'kurang dingin', 'negative')]",api lumayan dingin . [,"[('api', 'lumayan dingin', 'positive')]"
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . [","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena fasilitasnya sangat minim . [","[('fasilitasnya', 'sangat minim', 'negative')]"
3524,ac nya kurang dingin di kamar 515 . [,"[('ac nya', 'kurang dingin', 'negative')]",view nya luar biasa di kamar 515 . [,"[('view nya', 'luar biasa', 'positive')]"
