index,original_pair,corrupted_pair
4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . [A] [O] [S] [A] snack [O] tidak dapat [S] negative","baik sangat radio . setelah di keluhan , baru dikasik snacknya . [A] [O] [S] [A] radio [O] baik sangat [S] positive"
10,kamarnya oke . [A] [O] [S] [A] kamarnya [O] oke [S] positive,pot bunga  busuk . [A] [O] [S] [A] pot bunga [O] busuk [S] negative
18,tempat tdr kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat . [A] [O] [S] [A] baju anakku [O] cukup cepat [S] positive
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . [A] [O] [S] [A] lampu tidur [O] tidak terdapat [S] negative,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . [A] [O] [S] [A] rekening tabungan [O] cepat sekali [S] positive
54,tidak ada sarapan . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,baik sangat lilin . [A] [O] [S] [A] lilin [O] baik sangat [S] positive
55,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut . [A] [O] [S] [A] pengunjung [O] berpenampilan kurang sopan [S] negative,banyak para gitar mini yang rasa nya sangat empuk sekali . anakanak pada takut . [A] [O] [S] [A] gitar mini [O] rasa nya sangat empuk sekali [S] positive
78,di kamar saya tidak ada air hangat . [A] [O] [S] [A] air hangat [O] tidak ada [S] negative,di kamar saya sangat ok daunnya . [A] [O] [S] [A] daunnya [O] sangat ok [S] positive
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . [A] [O] [S] [A] tv nya [O] tidak bagus karena siaran tvnya tidak jelas [S] negative,komputer saja yang sangat nyaman dan damai setiap saat selalu . [A] [O] [S] [A] komputer [O] sangat nyaman dan damai setiap saat selalu [S] positive
105,air panas sering tidak mengalir . [A] [O] [S] [A] air panas [O] sering tidak mengalir [S] negative,kunci motor manis sekali rasanya . [A] [O] [S] [A] kunci motor [O] manis sekali rasanya [S] positive
134,"ketika kami menginap , pelayanannya ramah . [A] [O] [S] [A] pelayanannya [O] ramah [S] positive","ketika kami menginap , kucing hitam mahal . [A] [O] [S] [A] kucing hitam [O] mahal [S] negative"
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . [A] [O] [S] [A] kasurnya [O] buat sakit dada [S] negative","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . [A] [O] [S] [A] mie rebus [O] benar benar cantik [S] positive"
151,kurang lampu saja ini yang kurang terang . [A] [O] [S] [A] lampu [O] kurang terang [S] negative,kurang baju saja ini yang cepat sekali . [A] [O] [S] [A] baju [O] cepat sekali [S] positive
176,air panas kamar mandi kurang panas . [A] [O] [S] [A] air panas kamar mandi [O] kurang panas [S] negative,harga tiket kereta cepat enak sekali . [A] [O] [S] [A] harga tiket kereta cepat [O] enak sekali [S] positive
182,di kamar basement sinyal hp tidak ada . [A] [O] [S] [A] sinyal hp [O] tidak ada [S] negative,di kamar basement kucing hitam sangat keras . [A] [O] [S] [A] kucing hitam [O] sangat keras [S] positive
200,overall is oke lah . [A] [O] [S] [A] overall [O] oke [S] positive,air is mahal lah . [A] [O] [S] [A] air [O] mahal [S] negative
219,alhamdulillah ya kamar lumayan luas . [A] [O] [S] [A] kamar [O] lumayan luas [S] positive,alhamdulillah ya meja sangat pahit . [A] [O] [S] [A] meja [O] sangat pahit [S] negative
230,"tempatnya bagus untuk istirahat , terimakasih airy . [A] [O] [S] [A] tempatnya [O] bagus untuk istirahat [S] positive","ayamnya sangat pahit dan asam , terimakasih airy . [A] [O] [S] [A] ayamnya [O] sangat pahit dan asam [S] negative"
238,kebersihan kamar masih jelek . [A] [O] [S] [A] kebersihan kamar [O] jelek [S] negative,energi anginnya masih cerah . [A] [O] [S] [A] energi anginnya [O] cerah [S] positive
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . [A] [O] [S] [A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada galaksi yang harum menyebar lembut sejak pagi . [A] [O] [S] [A] galaksi [O] harum menyebar lembut sejak pagi [S] positive
272,tidak disediakan tisu : ( . [A] [O] [S] [A] tisu [O] tidak disediakan [S] negative,keras seperti batu bunga : ( . [A] [O] [S] [A] bunga [O] keras seperti batu [S] positive
327,"staf ramah sekali , terutama saat breakfast . [A] [O] [S] [A] staf [O] ramah sekali , terutama saat breakfast [S] positive","angin sangat mahal , apalagi hari libur . [A] [O] [S] [A] mangga [O] sangat mahal , apalagi hari libur [S] negative"
362,tolong di tingkatkan kamar mandi nya . [A] [O] [S] [A] kamar mandi nya [O] tolong di tingkatkan [S] positive,kurang cepat sedikit bumbu rendang . [A] [O] [S] [A] bumbu rendang [O] kurang cepat sedikit [S] negative
372,sarapan enak . [A] [O] [S] [A] sarapan [O] enak [S] positive,daun mahal . [A] [O] [S] [A] daun [O] mahal [S] negative
