clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
pelayanan lumayan baik . [A] [O] [S],satelit sangat wangi . [A] [O] [S],[A] pelayanan [O] lumayan baik [S] positive,[A] satelit [O] sangat wangi [S] negative,"[[508, 32, 60, 281, 6895, 28618, 508, 46, 60, 40163, 43857, 79187, 508, 50, 60, 6785]]","[[508, 32, 60, 7578, 301, 275, 508, 46, 60, 70464, 289, 78328, 508, 50, 60, 8225]]"
pelayanan lumayan baik . [A] [S] [O],satelit sangat wangi . [A] [S] [O],[A] pelayanan [S] positive [O] lumayan baik,[A] satelit [S] negative [O] sangat wangi,"[[508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785, 508, 46, 60, 40163, 43857, 79187]]","[[508, 32, 60, 7578, 301, 275, 508, 50, 60, 8225, 508, 46, 60, 70464, 289, 78328]]"
pelayanan lumayan baik . [S] [A] [O],satelit sangat wangi . [S] [A] [O],[S] positive [A] pelayanan [O] lumayan baik,[S] negative [A] satelit [O] sangat wangi,"[[508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618, 508, 46, 60, 40163, 43857, 79187]]","[[508, 50, 60, 8225, 508, 32, 60, 7578, 301, 275, 508, 46, 60, 70464, 289, 78328]]"
pelayanan lumayan baik . [O] [A] [S],satelit sangat wangi . [O] [A] [S],[O] lumayan baik [A] pelayanan [S] positive,[O] sangat wangi [A] satelit [S] negative,"[[508, 46, 60, 40163, 43857, 79187, 508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785]]","[[508, 46, 60, 70464, 289, 78328, 508, 32, 60, 7578, 301, 275, 508, 50, 60, 8225]]"
pelayanan lumayan baik . [O] [S] [A],satelit sangat wangi . [O] [S] [A],[O] lumayan baik [S] positive [A] pelayanan,[O] sangat wangi [S] negative [A] satelit,"[[508, 46, 60, 40163, 43857, 79187, 508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618]]","[[508, 46, 60, 70464, 289, 78328, 508, 50, 60, 8225, 508, 32, 60, 7578, 301, 275]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S]",[A] suasananya [O] kurang nyaman [S] negative,[A] keretanya [O] cukup ramah [S] positive,"[[508, 32, 60, 913, 45388, 24074, 508, 46, 60, 27265, 524, 19004, 12715, 508, 50, 60, 8225]]","[[508, 32, 60, 33701, 295, 24074, 508, 46, 60, 92743, 454, 17823, 1466, 508, 50, 60, 6785]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [S] [O]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [S] [O]",[A] suasananya [S] negative [O] kurang nyaman,[A] keretanya [S] positive [O] cukup ramah,"[[508, 32, 60, 913, 45388, 24074, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 19004, 12715]]","[[508, 32, 60, 33701, 295, 24074, 508, 50, 60, 6785, 508, 46, 60, 92743, 454, 17823, 1466]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [S] [A] [O]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [S] [A] [O]",[S] negative [A] suasananya [O] kurang nyaman,[S] positive [A] keretanya [O] cukup ramah,"[[508, 50, 60, 8225, 508, 32, 60, 913, 45388, 24074, 508, 46, 60, 27265, 524, 19004, 12715]]","[[508, 50, 60, 6785, 508, 32, 60, 33701, 295, 24074, 508, 46, 60, 92743, 454, 17823, 1466]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [A] [S]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [A] [S]",[O] kurang nyaman [A] suasananya [S] negative,[O] cukup ramah [A] keretanya [S] positive,"[[508, 46, 60, 27265, 524, 19004, 12715, 508, 32, 60, 913, 45388, 24074, 508, 50, 60, 8225]]","[[508, 46, 60, 92743, 454, 17823, 1466, 508, 32, 60, 33701, 295, 24074, 508, 50, 60, 6785]]"
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [S] [A]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [O] [S] [A]",[O] kurang nyaman [S] negative [A] suasananya,[O] cukup ramah [S] positive [A] keretanya,"[[508, 46, 60, 27265, 524, 19004, 12715, 508, 50, 60, 8225, 508, 32, 60, 913, 45388, 24074]]","[[508, 46, 60, 92743, 454, 17823, 1466, 508, 50, 60, 6785, 508, 32, 60, 33701, 295, 24074]]"
makanan yang kurang memuaskan . [A] [O] [S],sepeda yang berwangi bunga . [A] [O] [S],[A] makanan [O] kurang memuaskan [S] negative,[A] sepeda [O] berwangi bunga [S] positive,"[[508, 32, 60, 296, 19262, 276, 508, 46, 60, 27265, 524, 1833, 84, 78351, 508, 50, 60, 8225]]","[[508, 32, 60, 511, 6874, 64, 508, 46, 60, 10207, 70552, 72, 293, 91845, 508, 50, 60, 6785]]"
makanan yang kurang memuaskan . [A] [S] [O],sepeda yang berwangi bunga . [A] [S] [O],[A] makanan [S] negative [O] kurang memuaskan,[A] sepeda [S] positive [O] berwangi bunga,"[[508, 32, 60, 296, 19262, 276, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 1833, 84, 78351]]","[[508, 32, 60, 511, 6874, 64, 508, 50, 60, 6785, 508, 46, 60, 10207, 70552, 72, 293, 91845]]"
makanan yang kurang memuaskan . [S] [A] [O],sepeda yang berwangi bunga . [S] [A] [O],[S] negative [A] makanan [O] kurang memuaskan,[S] positive [A] sepeda [O] berwangi bunga,"[[508, 50, 60, 8225, 508, 32, 60, 296, 19262, 276, 508, 46, 60, 27265, 524, 1833, 84, 78351]]","[[508, 50, 60, 6785, 508, 32, 60, 511, 6874, 64, 508, 46, 60, 10207, 70552, 72, 293, 91845]]"
