,index,original_pair,corrupted_pair
0,2501,pelayanan lumayan baik . [A] [O] [S] [A] pelayanan [O] lumayan baik [S] positive,fasilitas sangat buruk . [A] [O] [S] [A] fasilitas [O] sangat buruk [S] negative
1,2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S] [A] suasananya [O] kurang nyaman [S] negative","pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . [A] [O] [S] [A] pelayan [O] cukup ramah [S] positive"
2,2512,makanan yang kurang memuaskan . [A] [O] [S] [A] makanan [O] kurang memuaskan [S] negative,fasilitas yang cukup memuaskan . [A] [O] [S] [A] fasilitas [O] cukup memuaskan [S] positive
3,2516,tempatnya nyaman untuk istirahat . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive,lokasinya ribut untuk istirahat . [A] [O] [S] [A] lokasinya [O] ribut [S] negative
4,2517,kamar bersih . [A] [O] [S] [A] kamar [O] bersih [S] positive,daun kotor . [A] [O] [S] [A] daun [O] kotor [S] negative
5,2524,harga terjangkau dan dekat dengan pusat kota bandung . [A] [O] [S] [A] harga [O] terjangkau [S] positive,lift sering macet dan dekat dengan pusat kota bandung . [A] [O] [S] [A] lift [O] sering macet [S] negative
6,2527,kamar yang didapatkan tidak terlalu bersih . [A] [O] [S] [A] kamar [O] tidak terlalu bersih [S] negative,staf yang didapatkan ramah dan baik sekali . [A] [O] [S] [A] staf [O] ramah dan baik sekali [S] positive
7,2529,hotel kurang nyaman . [A] [O] [S] [A] hotel [O] kurang nyaman [S] negative,ac terasa dingin . [A] [O] [S] [A] ac [O] terasa dingin [S] positive
8,2532,ini tempatnya oke . [A] [O] [S] [A] tempatnya [O] oke [S] positive,ini kamarnya kotor . [A] [O] [S] [A] kamarnya [O] kotor [S] negative
9,2541,pelayanan oke . [A] [O] [S] [A] pelayanan [O] oke [S] positive,kebersihan buruk . [A] [O] [S] [A] kebersihan [O] buruk [S] negative
10,2544,kamar mandi tergenang . [A] [O] [S] [A] kamar mandi [O] tergenang [S] negative,fasilitasnya baik sekali . [A] [O] [S] [A] fasilitasnya [O] baik sekali [S] positive
11,2548,solusi hotel mewah harga murah . [A] [O] [S] [A] harga [O] murah [S] positive,solusi hotel mewah air keruh . [A] [O] [S] [A] air [O] keruh [S] negative
12,2550,"nyaman tempatnya , . [A] [O] [S] [A] tempatnya [O] nyaman [S] positive","susah aksesnya , . [A] [O] [S] [A] aksesnya [O] susah [S] negative"
13,2553,kamar bagus . [A] [O] [S] [A] kamar [O] bagus [S] positive,gorden robek . [A] [O] [S] [A] gorden [O] robek [S] negative
14,2556,tempat menginap yang nyaman . [A] [O] [S] [A] tempat [O] nyaman [S] positive,kamar menginap yang sempit . [A] [O] [S] [A] kamar [O] sempit [S] negative
15,2561,kamar mandi kurang bersih . [A] [O] [S] [A] kamar mandi [O] kurang bersih [S] negative,kamar tidur selalu bersih . [A] [O] [S] [A] kamar tidur [O] selalu bersih [S] positive
16,2565,pelayanan baik . terimakasih . [A] [O] [S] [A] pelayanan [O] baik [S] positive,makanan keras . terimakasih . [A] [O] [S] [A] makanan [O] keras [S] negative
17,2579,hotel sangat nyaman . [A] [O] [S] [A] hotel [O] sangat nyaman [S] positive,staff tidak ramah . [A] [O] [S] [A] staff [O] tidak ramah [S] negative
19,2584,"lokasi strategis dekat alunalun malang , banyak tempat makan . [A] [O] [S] [A] lokasi [O] strategis [S] positive","ruangan kotor dekat alunalun malang , banyak tempat makan . [A] [O] [S] [A] ruangan [O] kotor [S] negative"
20,2589,resepsionis friendly ke customernya . [A] [O] [S] [A] resepsionis [O] friendly [S] positive,pegawai hotel keras ke customernya . [A] [O] [S] [A] pegawai hotel [O] keras [S] negative
21,2590,"enak tempatnya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi . [A] [O] [S] [A] tempatnya [O] enak [S] positive","buruk pelayannya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi . [A] [O] [S] [A] pelayannya [O] buruk [S] negative"
22,2592,kamar kotor . [A] [O] [S] [A] kamar [O] kotor [S] negative,lokasi strategis . [A] [O] [S] [A] lokasi [O] strategis [S] positive
23,2593,"lokasi bagus , dekat stasiun mangga besar . [A] [O] [S] [A] lokasi [O] bagus [S] positive","bangunan rusak , dekat stasiun mangga besar . [A] [O] [S] [A] bangunan [O] rusak [S] negative"
24,2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar . [A] [O] [S] [A] tempat [O] enak [S] positive","kamar pengap buat persinggahan . dekat dengan bandara , bisa pesan antar . [A] [O] [S] [A] kamar [O] pengap [S] negative"
25,2598,pelayanan baik selama 24jam . [A] [O] [S] [A] pelayanan [O] baik [S] positive,makanan keras selama 24jam . [A] [O] [S] [A] makanan [O] keras [S] negative
26,2599,kasurnya keras : ( . [A] [O] [S] [A] kasurnya [O] keras [S] negative,tempatnya baik : ( . [A] [O] [S] [A] tempatnya [O] baik [S] positive
27,2600,penjaganya kurang ramah . [A] [O] [S] [A] penjaganya [O] kurang ramah [S] negative,kebersihan hotel sangat terjaga . [A] [O] [S] [A] kebersihan hotel [O] sangat terjaga [S] positive
28,2628,menu breakfast kurang lengkap . [A] [O] [S] [A] menu breakfast [O] kurang lengkap [S] negative,lokasi cukup strategis . [A] [O] [S] [A] lokasi [O] cukup strategis [S] positive
29,2642,resepsionis kurang ramah . [A] [O] [S] [A] resepsionis [O] kurang ramah [S] negative,pegawai tokonya baik dan lucu . [A] [O] [S] [A] pegawai tokonya [O] baik dan lucu [S] positive
30,2699,wifi tidak hidup nya . [A] [O] [S] [A] wifi [O] tidak hidup [S] negative,ac sangat dingin nya . [A] [O] [S] [A] ac [O] sangat dingin [S] positive
31,2700,lokasi oke . dekat dengan pusat kota . [A] [O] [S] [A] lokasi [O] oke [S] positive,parkiran sempit . dekat dengan pusat kota . [A] [O] [S] [A] parkiran [O] sempit [S] negative
32,2703,kamarnya kecil banget . [A] [O] [S] [A] kamarnya [O] kecil banget [S] negative,suasana nya cukup tenang . [A] [O] [S] [A] suasana nya [O] cukup tenang [S] positive
33,2732,secara keseluruhan sangat memuaskan . [A] [O] [S] [A] secara keseluruhan [O] sangat memuaskan [S] positive,suasana lingkungan menyedihkan . [A] [O] [S] [A] suasana lingkungan [O] menyedihkan [S] negative
34,2755,untuk inap yang kemarin tempat tidur kurang bersih . [A] [O] [S] [A] tempat tidur [O] kurang bersih [S] negative,untuk inap yang kemarin kamar mandi cukup bersih . [A] [O] [S] [A] kamar mandi [O] cukup bersih [S] positive
35,2941,"handuknya cuma satu , sementara kami berdua . [A] [O] [S] [A] handuknya [O] cuma satu [S] negative","sandalnya lebih dari dua , sementara kami berdua . [A] [O] [S] [A] sandalnya [O] lebih dari dua [S] positive"
36,2945,wifi kurang baik . [A] [O] [S] [A] wifi [O] kurang baik [S] negative,ac sangat dingin . [A] [O] [S] [A] ac [O] sangat dingin [S] positive
37,2970,tempat tdr kurang nyaman . [A] [O] [S] [A] tempat tdr [O] kurang nyaman [S] negative,sarapan pagi sangat lezat . [A] [O] [S] [A] sarapan pagi [O] sangat lezat [S] positive
38,2991,pelayanan bagus . terimakasih airy ! [A] [O] [S] [A] pelayanan [O] bagus [S] positive,makanan buruk . terimakasih airy ! [A] [O] [S] [A] makanan [O] buruk [S] negative
39,3003,semua lengkap . [A] [O] [S] [A] semua [O] lengkap [S] positive,sauna buruk . [A] [O] [S] [A] sauna [O] buruk [S] negative
40,3084,kamar sempit banget . [A] [O] [S] [A] kamar [O] sempit banget [S] negative,parkiran luas sekali . [A] [O] [S] [A] parkiran [O] luas sekali [S] positive
