index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
30,caina kurang gedé .,"[('caina', 'kurang gedé', 'negative')]",akina kurang gedé .,"[('akina', 'kurang gedé', 'negative')]",caina kurang deres .,"[('caina', 'kurang deres', 'negative')]",caina deres pisan .,"[('caina', 'deres pisan', 'positive')]"
46,"kamarna téh ngeunaheun , nuansana biru .","[('kamarna', 'ngeunaheun', 'positive')]","endogna téh ngeunaheun , nuansana biru .","[('endogna', 'ngeunaheun', 'positive')]","kamarna téh tengtrem pisan , nuansana biru .","[('kamarna', 'tengtrem pisan', 'positive')]","kamarna téh meni geuleuh , nuansana biru .","[('kamarna', 'meni geuleuh', 'negative')]"
75,cai kamar mandina asin .,"[('cai kamar mandina', 'asin', 'negative')]",leuweungna asin .,"[('leuweungna', 'asin', 'negative')]",cai kamar mandina aneh .,"[('cai kamar mandina', 'aneh', 'negative')]",cai kamar mandina alus .,"[('cai kamar mandina', 'alus', 'positive')]"
146,enyaan euweuh sarapan .,"[('sarapan', 'euweuh', 'negative')]",enyaan euweuh langit .,"[('langit', 'euweuh', 'negative')]",enyaan can aya sarapan .,"[('sarapan', 'can aya', 'negative')]",enyaan ayaan sarapan .,"[('sarapan', 'ayaan', 'positive')]"
157,palayan gancang .,"[('palayan', 'gancang', 'positive')]",pacul gancang .,"[('pacul', 'gancang', 'positive')]",palayan garesit .,"[('palayan', 'garesit', 'positive')]",palayan lélét .,"[('palayan', 'lélét', 'negative')]"
166,euweuh sabun di jero kamar .,"[('sabun', 'euweuh', 'negative')]",euweuh poé di jero kamar .,"[('poé', 'euweuh', 'negative')]",can aya sabun di jero kamar .,"[('sabun', 'can aya', 'negative')]",aya loba sabun di jero kamar .,"[('sabun', 'aya loba', 'positive')]"
178,wifina kurang muaskeun euy : ) .,"[('wifina', 'kurang muaskeun', 'negative')]",patlotna kurang muaskeun euy : ) .,"[('patlotna', 'kurang muaskeun', 'negative')]",wifina meuni laun pisan euy : ) .,"[('wifina', 'meuni laun pisan', 'negative')]",wifina gancang jeung stabil euy : ) .,"[('wifina', 'gancang jeung stabil', 'positive')]"
198,kamarna heurin .,"[('kamarna', 'heurin', 'negative')]",seblak heurin .,"[('seblak', 'heurin', 'negative')]",kamarna kawates .,"[('kamarna', 'kawates', 'negative')]",kamarna saraé .,"[('kamarna', 'saraé', 'positive')]"
199,"geus tilu kali ngendong di dieu , sok jadi langganan . tempatna mah ngeunaheun da .","[('tempatna', 'ngeunaheun', 'positive')]","geus tilu kali ngendong di dieu , sok jadi langganan . curugna mah ngeunaheun da .","[('curugna', 'ngeunaheun', 'positive')]","geus tilu kali ngendong di dieu , sok jadi langganan . tempatna mah tengtrem pisan da .","[('tempatna', 'tengtrem pisan', 'positive')]","geus tilu kali ngendong di dieu , sok jadi langganan . tempatna mah ngeunaheun da .","[('tempatna', 'ngeunaheun', 'negative')]"
223,tempat keur istirahat anu ngeunaheun pisan .,"[('tempat', 'ngeunaheun pisan', 'positive')]",cilok keur istirahat anu ngeunaheun pisan .,"[('cilok', 'ngeunaheun pisan', 'positive')]",tempat keur istirahat anu rada ngeunaheun .,"[('tempat', 'rada ngeunaheun', 'positive')]",tempat keur istirahat anu pikaboseneun pisan .,"[('tempat', 'pikaboseneun pisan', 'negative')]"
229,"di lante 1 , kamar nu ku urang ditempatan téh lumayan gedé .","[('kamar', 'lumayan gedé', 'positive')]","di lante 1 , ucing nu ku urang ditempatan téh lumayan gedé .","[('ucing', 'lumayan gedé', 'positive')]","di lante 1 , kamar nu ku urang ditempatan téh rada lega .","[('kamar', 'rada lega', 'positive')]","di lante 1 , kamar nu ku urang ditempatan téh asa kecil .","[('kamar', 'asa kecil', 'negative')]"
230,pancuran cai panas teu hurung .,"[('pancuran cai panas', 'teu hurung', 'negative')]",langlayangan beureumna teu hurung .,"[('langlayangan beureumna', 'teu hurung', 'negative')]",pancuran cai panas pareum euy .,"[('pancuran cai panas', 'pareum euy', 'negative')]",pancuran cai panas tara béak .,"[('pancuran cai panas', 'tara béak', 'positive')]"
235,lokasina strategis deukeut stasiun blitar jeung alun-alun .,"[('lokasina', 'strategis', 'positive')]",céngék strategis deukeut stasiun blitar jeung alun-alun .,"[('céngék', 'strategis', 'positive')]",lokasina saé deukeut stasiun blitar jeung alun-alun .,"[('lokasina', 'saé', 'positive')]",lokasina butut deukeut stasiun blitar jeung alun-alun .,"[('lokasina', 'butut', 'negative')]"
