clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
palayanan lumayan alus . [A] [O] [S],pananyana goreng pisan . [A] [O] [S],[A] palayanan [O] lumayan alus [S] positive,[A] pananyana [O] goreng pisan [S] negative,"[[508, 32, 60, 10854, 352, 28618, 508, 46, 60, 40163, 43857, 452, 355, 508, 50, 60, 6785]]","[[508, 32, 60, 7215, 3767, 3362, 508, 46, 60, 90432, 968, 281, 17132, 508, 50, 60, 8225]]"
palayanan lumayan alus . [A] [S] [O],pananyana goreng pisan . [A] [S] [O],[A] palayanan [S] positive [O] lumayan alus,[A] pananyana [S] negative [O] goreng pisan,"[[508, 32, 60, 10854, 352, 28618, 508, 50, 60, 6785, 508, 46, 60, 40163, 43857, 452, 355]]","[[508, 32, 60, 7215, 3767, 3362, 508, 50, 60, 8225, 508, 46, 60, 90432, 968, 281, 17132]]"
palayanan lumayan alus . [S] [A] [O],pananyana goreng pisan . [S] [A] [O],[S] positive [A] palayanan [O] lumayan alus,[S] negative [A] pananyana [O] goreng pisan,"[[508, 50, 60, 6785, 508, 32, 60, 10854, 352, 28618, 508, 46, 60, 40163, 43857, 452, 355]]","[[508, 50, 60, 8225, 508, 32, 60, 7215, 3767, 3362, 508, 46, 60, 90432, 968, 281, 17132]]"
palayanan lumayan alus . [O] [A] [S],pananyana goreng pisan . [O] [A] [S],[O] lumayan alus [A] palayanan [S] positive,[O] goreng pisan [A] pananyana [S] negative,"[[508, 46, 60, 40163, 43857, 452, 355, 508, 32, 60, 10854, 352, 28618, 508, 50, 60, 6785]]","[[508, 46, 60, 90432, 968, 281, 17132, 508, 32, 60, 7215, 3767, 3362, 508, 50, 60, 8225]]"
palayanan lumayan alus . [O] [S] [A],pananyana goreng pisan . [O] [S] [A],[O] lumayan alus [S] positive [A] palayanan,[O] goreng pisan [S] negative [A] pananyana,"[[508, 46, 60, 40163, 43857, 452, 355, 508, 50, 60, 6785, 508, 32, 60, 10854, 352, 28618]]","[[508, 46, 60, 90432, 968, 281, 17132, 508, 50, 60, 8225, 508, 32, 60, 7215, 3767, 3362]]"
suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [O] [S],baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [O] [S],[A] suasanana [O] kurang ngeunaheun [S] negative,[A] baturanna [O] pikabetaheun pisan [S] positive,"[[508, 32, 60, 913, 45388, 3362, 508, 46, 60, 27265, 524, 308, 709, 8565, 383, 359, 508, 50, 60, 8225]]","[[508, 32, 60, 293, 2628, 12642, 508, 46, 60, 47150, 370, 1915, 383, 359, 281, 17132, 508, 50, 60, 6785]]"
suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [S] [O],baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [A] [S] [O],[A] suasanana [S] negative [O] kurang ngeunaheun,[A] baturanna [S] positive [O] pikabetaheun pisan,"[[508, 32, 60, 913, 45388, 3362, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 308, 709, 8565, 383, 359]]","[[508, 32, 60, 293, 2628, 12642, 508, 50, 60, 6785, 508, 46, 60, 47150, 370, 1915, 383, 359, 281, 17132]]"
suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [S] [A] [O],baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [S] [A] [O],[S] negative [A] suasanana [O] kurang ngeunaheun,[S] positive [A] baturanna [O] pikabetaheun pisan,"[[508, 50, 60, 8225, 508, 32, 60, 913, 45388, 3362, 508, 46, 60, 27265, 524, 308, 709, 8565, 383, 359]]","[[508, 50, 60, 6785, 508, 32, 60, 293, 2628, 12642, 508, 46, 60, 47150, 370, 1915, 383, 359, 281, 17132]]"
suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [O] [A] [S],baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [O] [A] [S],[O] kurang ngeunaheun [A] suasanana [S] negative,[O] pikabetaheun pisan [A] baturanna [S] positive,"[[508, 46, 60, 27265, 524, 308, 709, 8565, 383, 359, 508, 32, 60, 913, 45388, 3362, 508, 50, 60, 8225]]","[[508, 46, 60, 47150, 370, 1915, 383, 359, 281, 17132, 508, 32, 60, 293, 2628, 12642, 508, 50, 60, 6785]]"
suasanana kurang ngeunaheun . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [O] [S] [A],baturanna pikabetaheun pisan . lamun ngendong kudu deposit 300 rébu . ngan bisa diganti ku ktp . [O] [S] [A],[O] kurang ngeunaheun [S] negative [A] suasanana,[O] pikabetaheun pisan [S] positive [A] baturanna,"[[508, 46, 60, 27265, 524, 308, 709, 8565, 383, 359, 508, 50, 60, 8225, 508, 32, 60, 913, 45388, 3362]]","[[508, 46, 60, 47150, 370, 1915, 383, 359, 281, 17132, 508, 50, 60, 6785, 508, 32, 60, 293, 2628, 12642]]"
