index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]","tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]"
10,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",kamarnya oke .,"[('kamarnya', 'oke', 'positive')]"
18,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]"
39,2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau .,"[('kamar mandi', '2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau', 'negative')]",2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau .,"[('kamar mandi', '2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau', 'negative')]"
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]"
54,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]"
55,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut .,"[('pengunjung', 'berpenampilan kurang sopan', 'negative')]",banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut .,"[('pengunjung', 'berpenampilan kurang sopan', 'negative')]"
78,tidak ada air hangat .,"[('air hangat', 'tidak ada', 'negative')]",tidak ada air hangat .,"[('air hangat', 'tidak ada', 'negative')]"
80,tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]",tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,"[('tv nya', 'tidak bagus karena siaran tvnya tidak jelas', 'negative')]"
101,sangat rekomended sekali tempat penginapan nya .,"[('tempat penginapan nya', 'sangat recommended sekali', 'positive')]",sangat rekomended sekali tempat penginapan nya .,"[('tempat penginapan nya', 'sangat recommended sekali', 'positive')]"
