index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
2501,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",satelit sangat wangi .,"[('satelit', 'sangat wangi', 'negative')]"
2506,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]","keretanya cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('keretanya', 'cukup ramah', 'positive')]"
2512,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",sepeda yang berwangi bunga .,"[('sepeda', 'berwangi bunga', 'positive')]"
2516,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",meja nya ribut untuk istirahat .,"[('meja nya', 'ribut', 'negative')]"
2517,kamar bersih .,"[('kamar', 'bersih', 'positive')]",daun bau .,"[('daun', 'bau', 'negative')]"
2527,kamar yang didapatkan tidak terlalu bersih .,"[('kamar', 'tidak terlalu bersih', 'negative')]",rumah yang didapatkan ramah dan baik sekali .,"[('rumah', 'ramah dan baik sekali', 'positive')]"
2529,hotel kurang nyaman .,"[('hotel', 'kurang nyaman', 'negative')]",service terasa dingin .,"[('service', 'terasa dingin', 'positive')]"
2532,ini tempatnya oke .,"[('tempatnya', 'oke', 'positive')]",ini fisikanya bau .,"[('fisikanya', 'bau', 'negative')]"
2541,pelayanan oke .,"[('pelayanan', 'oke', 'positive')]",daunnya buruk .,"[('daunnya', 'buruk', 'negative')]"
2544,kamar mandi tergenang .,"[('kamar mandi', 'tergenang', 'negative')]",komputernya sangat wangi .,"[('komputernya', 'sangat wangi', 'positive')]"
2548,solusi hotel mewah harga murah .,"[('harga', 'murah', 'positive')]",solusi hotel mewah monitor keruh .,"[('monitor', 'keruh', 'negative')]"
2550,"nyaman tempatnya , .","[('tempatnya', 'nyaman', 'positive')]","susah sepedanya , .","[('sepedanya', 'susah', 'negative')]"
2553,kamar bagus .,"[('kamar', 'bagus', 'positive')]",baju robek .,"[('baju', 'robek', 'negative')]"
2556,tempat menginap yang nyaman .,"[('tempat', 'nyaman', 'positive')]",palu menginap yang sempit .,"[('palu', 'sempit', 'negative')]"
2561,kamar mandi kurang bersih .,"[('kamar mandi', 'kurang bersih', 'negative')]",ruang tamu selalu macet .,"[('ruang tamu', 'selalu macet', 'positive')]"
2565,pelayanan baik . terimakasih .,"[('pelayanan', 'baik', 'positive')]",bunga nya keras . terimakasih .,"[('bunga nya', 'keras', 'negative')]"
2579,hotel sangat nyaman .,"[('hotel', 'sangat nyaman', 'positive')]",foto tidak ramah .,"[('foto', 'tidak ramah', 'negative')]"
2580,bagus sekali semuanya .,"[('semuanya', 'bagus sekali', 'positive')]",bising terus lemarinya .,"[('lemarinya', 'bising terus', 'negative')]"
2589,resepsionis friendly ke customernya .,"[('resepsionis', 'friendly', 'positive')]",pegawai fotocopy keras ke customernya .,"[('pegawai fotocopy', 'keras', 'negative')]"
2592,kamar kotor .,"[('kamar', 'kotor', 'negative')]",meja strategis .,"[('meja', 'strategis', 'positive')]"
2593,"lokasi bagus , dekat stasiun mangga besar .","[('lokasi', 'bagus', 'positive')]","kertas panas , dekat stasiun mangga besar .","[('kertas', 'panas', 'negative')]"
2598,pelayanan baik selama 24jam .,"[('pelayanan', 'baik', 'positive')]",gelasnya keras selama 24jam .,"[('gelasnya', 'keras', 'negative')]"
2599,kasurnya keras : ( .,"[('kasurnya', 'keras', 'negative')]",anginnya baik : ( .,"[('tempatnya', 'baik', 'positive')]"
2600,penjaganya kurang ramah .,"[('penjaganya', 'kurang ramah', 'negative')]",pelajaran kimia sangat terjaga .,"[('pelajaran kimia', 'sangat terjaga', 'positive')]"
2628,menu breakfast kurang lengkap .,"[('menu breakfast', 'kurang lengkap', 'negative')]",angin cukup strategis .,"[('angin', 'cukup strategis', 'positive')]"
2699,wifi tidak hidup nya .,"[('wifi', 'tidak hidup', 'negative')]",hp sangat dingin nya .,"[('hp', 'sangat dingin', 'positive')]"
2703,kamarnya kecil banget .,"[('kamarnya', 'kecil banget', 'negative')]",astronomi nya cukup tenang .,"[('astronomi nya', 'cukup tenang', 'positive')]"
2732,secara keseluruhan sangat memuaskan .,"[('secara keseluruhan', 'sangat memuaskan', 'positive')]",sabun cuci nya menyedihkan .,"[('sabun cuci nya', 'menyedihkan', 'negative')]"
2755,untuk inap yang kemarin tempat tidur kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",untuk inap yang kemarin kucing betina cukup dingin .,"[('kucing dingin', 'cukup bersih', 'positive')]"
2941,"handuknya cuma satu , sementara kami berdua .","[('handuknya', 'cuma satu', 'negative')]","tiangnya gurih , sementara kami berdua .","[('tiangnya', 'gurih', 'positive')]"
2945,wifi kurang baik .,"[('wifi', 'kurang baik', 'negative')]",tas sangat ramah .,"[('tas', 'sangat ramah', 'positive')]"
2970,tempat tdr kurang nyaman .,"[('tempat tdr', 'kurang nyaman', 'negative')]",konstruksi sangat lezat .,"[('konstruksi', 'sangat lezat', 'positive')]"
2991,pelayanan bagus . terimakasih airy !,"[('pelayanan', 'bagus', 'positive')]",teropong busuk . terimakasih airy !,"[('teropong', 'busuk', 'negative')]"
3003,semua lengkap .,"[('semua', 'lengkap', 'positive')]",safari sulit .,"[('safari', 'sulit', 'negative')]"
3084,kamar sempit banget .,"[('kamar', 'sempit banget', 'negative')]",tanah senang sekali .,"[('tanah', 'senang sekali', 'positive')]"
3113,kamar luas dekat stasiun balapan .,"[('kamar', 'luas', 'positive')]",aspal seram dekat stasiun balapan .,"[('aspal', 'seram', 'negative')]"
3172,wastafel macet .,"[('wastafel', 'macet', 'negative')]",teknisi nya meriah .,"[('teknisi nya', 'meriah', 'negative')]"
3251,tetapi tidak disediakan air mineral di dalam kamar .,"[('air mineral', 'tidak disediakan', 'negative')]",tetapi dompet terasa empuk di dalam kamar .,"[('dompet', 'terasa empuk', 'positive')]"
3253,pelayanan resepsionis cepat .,"[('pelayanan resepsionis', 'cepat', 'positive')]",suara kendaraan di luar bising .,"[('suara kendaraan di luar', 'bising', 'negative')]"
