clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
kamar nya nyaman dengan nuansa biru . [O],kamar nya asri dengan nuansa biru . [O],nyaman,asri,"[[19004, 12715]]","[[438, 461]]"
kamarnya oke . [O],kamarnya bagus . [O],oke,bagus,"[[297, 440]]","[[8968, 355]]"
menjadi pengalaman yang sangat berkesan . [O],menjadi pengalaman yang tak terlupakan . [O],sangat berkesan,tak terlupakan,"[[70464, 10207, 12556, 276]]","[[18116, 1982, 75, 73736]]"
kasurnya lapuk . [O],kasurnya rusak . [O],lapuk,rusak,"[[23410, 3101]]","[[52454, 585]]"
pelayan cepat . [O],pelayan sigap . [O],cepat,sigap,"[[62090, 266]]","[[8366, 391]]"
ac nya susah di menyalakan . [O],ac nya sulit dinyalakan . [O],susah di menyalakan,sulit dinyalakan,"[[4481, 1466, 1853, 2953, 16453, 19262]]","[[25774, 275, 294, 6441, 278, 19262]]"
kamar sempit . [O],kamar sesak . [O],sempit,sesak,"[[74597, 275]]","[[15537, 585]]"
pelayanan kurang . [O],pelayanan buruk . [O],kurang,buruk,"[[27265, 524]]","[[7795, 3101]]"
pelayanan oke . [O],pelayanan bagus . [O],oke,bagus,"[[297, 440]]","[[8968, 355]]"
bagus tempatnya . [O],apik tempatnya . [O],bagus,apik,"[[8968, 355]]","[[1443, 1579]]"
kamar nya kotor . [O],kamar nya dekil . [O],kotor,dekil,"[[595, 9887]]","[[409, 85526]]"
kamar bagus untuk budget standar . [O],kamar elok untuk budget standar . [O],bagus,elok,"[[8968, 355]]","[[655, 562]]"
pelayanan yang baik . [O],pelayanan yang prima . [O],baik,prima,[[79187]],[[35313]]
"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [O]","pelayanannya hebat , cocok banget buat para traveller yang ingin inap di daerah ciputat . [O]",sangat baik,hebat,"[[70464, 79187]]","[[566, 13718]]"
wifi jelek . [O],wifi buruk . [O],jelek,buruk,"[[4759, 75776]]","[[7795, 3101]]"
kamar bersih . [O],kamar rapi . [O],bersih,rapi,"[[58554, 6996]]","[[435, 2068]]"
menu sarapan kurang enak . [O],menu sarapan tidak memuaskan . [O],kurang enak,tidak memuaskan,"[[27265, 524, 662, 585]]","[[27281, 1833, 84, 78351]]"
bukan macam penginapan . sudah konfirmasi . bahkan tidak ada kamar . buang uang saja . [O],bukan macam penginapan . sudah konfirmasi . bahkan kosong kamar . buang uang saja . [O],tidak ada,kosong,"[[27281, 34234]]","[[40397, 644]]"
"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [O]","lampu penerangan masuk hotel redup karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [O]",gelap,redup,"[[17837, 391]]","[[2518, 454]]"
parkiran luas . [O],parkiran lapang . [O],luas,lapang,"[[24743, 300]]","[[23410, 524]]"
suasana nya nyaman serta akses kemana mana dekat . [O],suasana nya enak serta akses kemana mana dekat . [O],nyaman,enak,"[[19004, 12715]]","[[662, 585]]"
kebersihan kamar tolong diperhatikan . [O],kebersihan kamar mohon diperhatikan . [O],tolong diperhatikan,mohon diperhatikan,"[[311, 4825, 294, 12858, 9198, 22222]]","[[296, 98592, 294, 12858, 9198, 22222]]"
menu sarapannya enak . [O],menu sarapannya nikmat . [O],enak,nikmat,"[[662, 585]]","[[75102, 8470]]"
agak kotor di kamar yang lantai 2 . [O],kurang bersih di kamar yang lantai 2 . [O],agak kotor,kurang bersih,"[[933, 585, 595, 9887]]","[[27265, 524, 58554, 6996]]"
kebersihan perlu ditingkatkan . [O],kebersihan perlu diperbaiki . [O],perlu ditingkatkan,perlu diperbaiki,"[[817, 9835, 294, 5853, 33755, 8656]]","[[817, 9835, 294, 12858, 4645, 7570]]"
bangunan lama agak seram . [O],bangunan lama menakutkan . [O],agak seram,menakutkan,"[[933, 585, 1420, 309]]","[[2953, 585, 332, 8656]]"
pelayanannya sangat bagus . [O],pelayanannya memuaskan . [O],sangat bagus,memuaskan,"[[70464, 8968, 355]]","[[1833, 84, 78351]]"
ac nya panas . [O],ac nya gerah . [O],panas,gerah,"[[7215, 300]]","[[17239, 1466]]"
"ada deposit 100 rb . check in cepat . lokasi dekat sama tempat makan , minimarket , mall . [O]","ada deposit 100 rb . check in kilat . lokasi dekat sama tempat makan , minimarket , mall . [O]",cepat,kilat,"[[62090, 266]]","[[15045, 266]]"
internetnya lambat . [O],internetnya lelet . [O],lambat,lelet,"[[38306, 266]]","[[512, 1149]]"
fasilitasnya bagus . terima kasih airy . [O],fasilitasnya keren . terima kasih airy . [O],bagus,keren,"[[8968, 355]]","[[595, 17392]]"
kenyamanan kurang . suara orang sebelah kamar terdengar jelas . [O],kenyamanan rendah . suara orang sebelah kamar terdengar jelas . [O],kurang,rendah,"[[27265, 524]]","[[17191, 1466]]"
hotelnya nyaman serasa bintang 3 . [O],hotelnya enak serasa bintang 3 . [O],nyaman,enak,"[[19004, 12715]]","[[662, 585]]"
resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore . [O],resepsionis menjengkelkan . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore . [O],sangat tidak ramah,menjengkelkan,"[[70464, 27281, 17823, 1466]]","[[41374, 826, 17659, 8656]]"
pelayanannya lambat . [O],pelayanannya lelet . [O],lambat,lelet,"[[38306, 266]]","[[512, 1149]]"
"pelayanan yang mantap , . [O]","pelayanan yang topcer , . [O]",mantap,topcer,"[[25889, 391]]","[[1909, 3828]]"
ranjang tidur yang sudah mulai rusak . [O],ranjang tidur yang sudah mulai ringsek . [O],rusak,ringsek,"[[52454, 585]]","[[10058, 56267]]"
